"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Education","Children's Workforce Development Council","Business Development & Performance","CWDC-BDP601","EO or equivalent","21968","28996","Business Support Assistant","1","Operational delivery","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts2"
"Department for Education","Children's Workforce Development Council","Business Development & Performance","CWDC-BDP601","EO or equivalent","21968","28996","Business Support Assistant","1","Communications","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts3"
"Department for Education","Children's Workforce Development Council","Business Development & Performance","CWDC-BDP601","EO or equivalent","21968","28996","Business Support Assistant","2","Human resources","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts4"
"Department for Education","Children's Workforce Development Council","Business Development & Performance","CWDC-BDP601","EO or equivalent","21968","28996","Executive Personal Assistant","3","Operational delivery","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts5"
"Department for Education","Children's Workforce Development Council","Business Development & Performance","CWDC-BDP601","EO or equivalent","21968","28996","HR Assistant","1","Human resources","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts6"
"Department for Education","Children's Workforce Development Council","Business Development & Performance","CWDC-BDP601","EO or equivalent","21968","28996","Project Assistant","2","Operational delivery","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts7"
"Department for Education","Children's Workforce Development Council","Business Development & Performance","CWDC-BDP601","HEO or equivalent","27525","35707","Project Officer","4.97","Operational delivery","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts8"
"Department for Education","Children's Workforce Development Council","Business Development & Performance","CWDC-BDP601","HEO or equivalent","27525","35707","Project Officer","4","Communications","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts9"
"Department for Education","Children's Workforce Development Council","Business Development & Performance","CWDC-BDP601","HEO or equivalent","27525","35707","Research Officer","1","Operational Research","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts10"
"Department for Education","Children's Workforce Development Council","Business Development & Performance","CWDC-BDP601","SEO or equivalent","39624","51401","Communications Manager","1","Communications","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts11"
"Department for Education","Children's Workforce Development Council","Business Development & Performance","CWDC-BDP601","SEO or equivalent","39624","51401","HR Business Partner","2","Human resources","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts12"
"Department for Education","Children's Workforce Development Council","Business Development & Performance","CWDC-BDP601","SEO or equivalent","39624","51401","Senior Project Manager","8.54","Programme and Project Management (PPM)","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts13"
"Department for Education","Children's Workforce Development Council","Business Development & Performance","CWDC-BDP601","Grade 7 or equivalent","52301","59054","Employer Engagement Manager","1","Programme and Project Management (PPM)","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts14"
"Department for Education","Children's Workforce Development Council","Business Development & Performance","CWDC-BDP601","Grade 7 or equivalent","52301","59054","National Manager","1","Programme and Project Management (PPM)","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts15"
"Department for Education","Children's Workforce Development Council","Business Development & Performance","CWDC-BDP601","Grade 6 or equivalent","57040","67845","Assistant Director","1","Human resources","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts16"
"Department for Education","Children's Workforce Development Council","Business Development & Performance","CWDC-BDP601","Grade 6 or equivalent","57040","67845","Assistant Director","0.6","Policy","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts17"
"Department for Education","Children's Workforce Development Council","Early Years/Sector Leadership","CWDC-EIP601","EO or equivalent","21968","28996","Business Support Assistant","4","Operational delivery","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts18"
"Department for Education","Children's Workforce Development Council","Early Years/Sector Leadership","CWDC-EIP601","EO or equivalent","21968","28996","Project Assistant","2","Operational delivery","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts19"
"Department for Education","Children's Workforce Development Council","Early Years/Sector Leadership","CWDC-EIP601","HEO or equivalent","27525","35707","Project Officer","11","Operational delivery","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts20"
"Department for Education","Children's Workforce Development Council","Early Years/Sector Leadership","CWDC-EIP601","HEO or equivalent","27525","35707","Project Officer","1.8","Communications","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts21"
"Department for Education","Children's Workforce Development Council","Early Years/Sector Leadership","CWDC-EIP601","HEO or equivalent","27525","35707","Research Officer","2","Operational Research","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts22"
"Department for Education","Children's Workforce Development Council","Early Years/Sector Leadership","CWDC-EIP601","SEO or equivalent","39624","51401","Senior Project Manager","9.6","Programme and Project Management (PPM)","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts23"
"Department for Education","Children's Workforce Development Council","Early Years/Sector Leadership","CWDC-EIP601","Grade 7 or equivalent","52301","59054","National Manager","4","Programme and Project Management (PPM)","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts24"
"Department for Education","Children's Workforce Development Council","Early Years/Sector Leadership","CWDC-EIP601","Grade 6 or equivalent","57040","67845","Assistant Director","2","Policy","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts25"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","AO or equivalent","16356","21219","Receptionist","1","Operational delivery","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts26"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","AO or equivalent","16356","21219","Apprentice","1","Operational delivery","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts27"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","EO or equivalent","21968","28996","Finance Assistant","2","Finance","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts28"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","EO or equivalent","21968","28996","IT Service Desk Officer","2","Information Technology","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts29"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","HEO or equivalent","27525","35707","Assistant Accountant","2","Finance","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts30"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","HEO or equivalent","27525","35707","Contracts Officer","1","Procurement","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts31"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","HEO or equivalent","27525","35707","Finance Officer","1","Finance","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts32"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","HEO or equivalent","27525","35707","IT Technical Officer","1","Information Technology","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts33"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","HEO or equivalent","27525","35707","Office Facilities Manager","1","Operational delivery","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts34"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","HEO or equivalent","27525","35707","Procurement Officer","1","Procurement","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts35"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","SEO or equivalent","39624","51401","Applications Support Specialist","1","Information Technology","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts36"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","SEO or equivalent","39624","51401","Contracts Manager","1","Procurement","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts37"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","SEO or equivalent","39624","51401","Financial Controller","0.92","Finance","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts38"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","SEO or equivalent","39624","51401","Financial Systems Accountant","1","Finance","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts39"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","SEO or equivalent","39624","51401","Head of Procurement","1","Procurement","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts40"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","SEO or equivalent","39624","51401","Information Assurance Manager","1","Information Technology","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts41"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","SEO or equivalent","39624","51401","IT Development Manager","1","Information Technology","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts42"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","SEO or equivalent","39624","51401","IT Service Manager","1","Information Technology","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts43"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","Grade 7 or equivalent","52301","59054","Head of IT & Facilities","1","Information Technology","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts44"
"Department for Education","Children's Workforce Development Council","Finance & Company Secretary","CWDC-FCS601","Grade 6 or equivalent","57040","67845","Assistant Director","1","Finance","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts45"
"Department for Education","Children's Workforce Development Council","Social Work","CWDC-CTD601","AO or equivalent","16356","21219","Apprentice","1","Operational delivery","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts46"
"Department for Education","Children's Workforce Development Council","Social Work","CWDC-CTD601","EO or equivalent","21968","28996","Business Support Assistant","1","Operational delivery","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts47"
"Department for Education","Children's Workforce Development Council","Social Work","CWDC-CTD601","EO or equivalent","21968","28996","Comms Assistant","1","Communications","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts48"
"Department for Education","Children's Workforce Development Council","Social Work","CWDC-CTD601","EO or equivalent","21968","28996","Project Assistant","4","Operational delivery","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts49"
"Department for Education","Children's Workforce Development Council","Social Work","CWDC-CTD601","EO or equivalent","21968","28996","Research Assistant","1","Operational Research","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts50"
"Department for Education","Children's Workforce Development Council","Social Work","CWDC-CTD601","HEO or equivalent","27525","35707","Project Officer","13","Operational delivery","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts51"
"Department for Education","Children's Workforce Development Council","Social Work","CWDC-CTD601","HEO or equivalent","27525","35707","Project Officer","3","Communications","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts52"
"Department for Education","Children's Workforce Development Council","Social Work","CWDC-CTD601","HEO or equivalent","27525","35707","Research Officer","2","Operational Research","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts53"
"Department for Education","Children's Workforce Development Council","Social Work","CWDC-CTD601","SEO or equivalent","39624","51401","Senior Project Manager","9.3","Programme and Project Management (PPM)","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts54"
"Department for Education","Children's Workforce Development Council","Social Work","CWDC-CTD601","SEO or equivalent","39624","51401","Senior Project Manager","1","Communications","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts55"
"Department for Education","Children's Workforce Development Council","Social Work","CWDC-CTD601","Grade 7 or equivalent","52301","59054","National Manager","5.58","Programme and Project Management (PPM)","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts56"
"Department for Education","Children's Workforce Development Council","Social Work","CWDC-CTD601","Grade 7 or equivalent","52301","59054","Peer Support Manager","2","Programme and Project Management (PPM)","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts57"
"Department for Education","Children's Workforce Development Council","Social Work","CWDC-CTD601","Grade 6 or equivalent","57040","67845","Assistant Director","1","Policy","/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls","juniorPosts58"
