"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department of Energy and Climate Change","Civil Nuclear Police Authority","Support Services","DCC","M3","53769","71692","Business Manager","3","Policy","/data/cnc/2011-09-30/Copy-of-government-staff-and-salary-data-template2---September-2011.xls","juniorPosts2"
"Department of Energy and Climate Change","Civil Nuclear Police Authority","Support Services","DCC","M2","41504","55339","Senior HR Manager","4.95","Policy","/data/cnc/2011-09-30/Copy-of-government-staff-and-salary-data-template2---September-2011.xls","juniorPosts3"
"Department of Energy and Climate Change","Civil Nuclear Police Authority","Support Services","DCC","M1","32332","43109","HR Officer","4.52","Policy","/data/cnc/2011-09-30/Copy-of-government-staff-and-salary-data-template2---September-2011.xls","juniorPosts4"
"Department of Energy and Climate Change","Civil Nuclear Police Authority","Support Services","DCC","T2","27717","36956","Technical Adviser","43.78","Policy","/data/cnc/2011-09-30/Copy-of-government-staff-and-salary-data-template2---September-2011.xls","juniorPosts5"
"Department of Energy and Climate Change","Civil Nuclear Police Authority","Support Services","DCC","T1","22253","29671","Policy Support Officer","8.05","Policy","/data/cnc/2011-09-30/Copy-of-government-staff-and-salary-data-template2---September-2011.xls","juniorPosts6"
"Department of Energy and Climate Change","Civil Nuclear Police Authority","Support Services","DCC","P2","18260","22318","HR support officer","17.24","Policy","/data/cnc/2011-09-30/Copy-of-government-staff-and-salary-data-template2---September-2011.xls","juniorPosts7"
"Department of Energy and Climate Change","Civil Nuclear Police Authority","Support Services","DCC","Csupt","73643","77842","Business Manager","1","Policy","/data/cnc/2011-09-30/Copy-of-government-staff-and-salary-data-template2---September-2011.xls","juniorPosts8"
"Department of Energy and Climate Change","Civil Nuclear Police Authority","Support Services","DCC","Supt","61669","71852","Business Manager","2","Policy","/data/cnc/2011-09-30/Copy-of-government-staff-and-salary-data-template2---September-2011.xls","juniorPosts9"
"Department of Energy and Climate Change","Civil Nuclear Police Authority","Support Services","DCC","Cinsp","51266","53375","Senior Technical Adviser","1","Policy","/data/cnc/2011-09-30/Copy-of-government-staff-and-salary-data-template2---September-2011.xls","juniorPosts10"
"Department of Energy and Climate Change","Civil Nuclear Police Authority","Support Services","DCC","Insp","46316","50239","Technical Adviser","6","Policy","/data/cnc/2011-09-30/Copy-of-government-staff-and-salary-data-template2---September-2011.xls","juniorPosts11"
"Department of Energy and Climate Change","Civil Nuclear Police Authority","Support Services","DCC","Sgt","36151","40626","Technical Adviser","7","Policy","/data/cnc/2011-09-30/Copy-of-government-staff-and-salary-data-template2---September-2011.xls","juniorPosts12"
