"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Home Office","Civil Service Learning","Professions and Skills Development","1CSL01","Grade 6","54705","67699","Team Leader","2","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts2"
"Home Office","Civil Service Learning","Professions and Skills Development","1CSL01","Grade 7","44656","55264","Learning Consultant","2.8","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts3"
"Home Office","Civil Service Learning","Professions and Skills Development","1CSL01","Grade 7","44656","55264","Professions' Advisor and Apprenticeship Manager","1","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts4"
"Home Office","Civil Service Learning","Professions and Skills Development","1CSL01","Grade 7","44656","55264","L&D Professions Advisor (Vacant)","1","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts5"
"Home Office","Civil Service Learning","Professions and Skills Development","1CSL01","EO","20235","23802","Support Officers","1","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts6"
"Home Office","Civil Service Learning","Professions and Skills Development","1CSL01","Grade 7","44656","55264","Policy Profession Advisor","1.6","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts7"
"Home Office","Civil Service Learning","Professions and Skills Development","1CSL01","HEO","25297","29757","Support Officers","1","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts8"
"Home Office","Civil Service Learning","Professions and Skills Development","1CSL01","HEO","25297","29757","Support Officers (Vacant)","1","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts9"
"Home Office","Civil Service Learning","CSL Operations","1CSL02","Grade 6","54705","67699","Team Leader","4","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts10"
"Home Office","Civil Service Learning","CSL Operations","1CSL02","Grade 7","44656","55264","Strategy and Curriculum Development Lead","2","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts11"
"Home Office","Civil Service Learning","CSL Operations","1CSL02","Grade 7","44656","55264","Communications Manager","2","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts12"
"Home Office","Civil Service Learning","CSL Operations","1CSL02","Grade 7","44656","55264","IT Manager","1","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts13"
"Home Office","Civil Service Learning","CSL Operations","1CSL02","Grade 7","44656","55264","Online Learning Manager (Vacant)","1","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts14"
"Home Office","Civil Service Learning","CSL Operations","1CSL02","SEO","32602","37964","Logistics Coordinator","1","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts15"
"Home Office","Civil Service Learning","CSL Operations","1CSL02","SEO","32602","37964","Learning and Development Contract Manager","1","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts16"
"Home Office","Civil Service Learning","CSL Operations","1CSL02","SEO","32602","37964","Business Support Manager","1","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts17"
"Home Office","Civil Service Learning","CSL Operations","1CSL02","SEO","32602","37964","QA Manager","1","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts18"
"Home Office","Civil Service Learning","CSL Operations","1CSL02","HEO","25297","29757","Online Learning Specialist","1","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts19"
"Home Office","Civil Service Learning","CSL Operations","1CSL02","HEO-D","23802","33953","Deputy Business Support Manager (Vacant)","1","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts20"
"Home Office","Civil Service Learning","CSL Operations","1CSL02","EO","20235","23802","Support Officers","3.83","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts21"
"Home Office","Civil Service Learning","Leadership and Management Development","1CSL03","Grade 6","54705","67699","Team Leader","2","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts22"
"Home Office","Civil Service Learning","Leadership and Management Development","1CSL03","Grade 6","54705","67699","Team Leader (Vacant)","2","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts23"
"Home Office","Civil Service Learning","Leadership and Management Development","1CSL03","Grade 7","44656","55264","Learning Consultant","11.67","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts24"
"Home Office","Civil Service Learning","Leadership and Management Development","1CSL03","Grade 7","44656","55264","Learning Consultant (Vacant)","3","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts25"
"Home Office","Civil Service Learning","Leadership and Management Development","1CSL03","HEO","25297","29757","Facility Support Manager","1","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts26"
"Home Office","Civil Service Learning","Leadership and Management Development","1CSL03","EO","20235","23802","Support Officers","4","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts27"
"Home Office","Civil Service Learning","Operational Delivery Support","1CSL04","Grade 7","44656","55264","Operational Delivery Profession Advisor","1.88","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts28"
"Home Office","Civil Service Learning","Operational Delivery Support","1CSL04","HEO","25297","29757","Support Officers","0.88","Human resources","/data/homeoffice/2011-09-30/300911-CivilServiceLearning-Organogramdata-final.xls","juniorPosts29"
