"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA6","44864","58900","Head of Public Safety & Subsidence","1","Operational Delivery","/data/coal/2011-03-31/TCA-final-government-staff-and-salary-data.xls","juniorPosts2"
"Department of Energy and Climate Change","Coal Authority","Executive","1","CA6","44864","58900","Head of HR and Organsiational Development","0.8","Human Resources","/data/coal/2011-03-31/TCA-final-government-staff-and-salary-data.xls","juniorPosts3"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA6","44864","58900","Head of Environment","1","Operational Delivery","/data/coal/2011-03-31/TCA-final-government-staff-and-salary-data.xls","juniorPosts4"
"Department of Energy and Climate Change","Coal Authority","Corporate Services","11","CA6","44864","58900","Corporate Affairs Manager","1","Knowledge and Information Management (KIM)","/data/coal/2011-03-31/TCA-final-government-staff-and-salary-data.xls","juniorPosts5"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5","30283","40777","Principal Property Manager","1","Operational Delivery","/data/coal/2011-03-31/TCA-final-government-staff-and-salary-data.xls","juniorPosts6"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5","30283","40777","Principal Project Manager - Tips","1","Operational Delivery","/data/coal/2011-03-31/TCA-final-government-staff-and-salary-data.xls","juniorPosts7"
"Department of Energy and Climate Change","Coal Authority","Operations","13","CA5","30283","40777","Principal Manager Planning","1","Operational Delivery","/data/coal/2011-03-31/TCA-final-government-staff-and-salary-data.xls","juniorPosts8"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5","30283","40777","Senior Projects Manager","1","Operational Delivery","/data/coal/2011-03-31/TCA-final-government-staff-and-salary-data.xls","juniorPosts9"
"Department of Energy and Climate Change","Coal Authority","Corporate Services","11","CA5","30283","40777","Head of Finance","1","Finance","/data/coal/2011-03-31/TCA-final-government-staff-and-salary-data.xls","juniorPosts10"
"Department of Energy and Climate Change","Coal Authority","Corporate Services","11","CA5","30283","40777","Head of Procurement","1","Procurement","/data/coal/2011-03-31/TCA-final-government-staff-and-salary-data.xls","juniorPosts11"
"Department of Energy and Climate Change","Coal Authority","Operations","13","CA5","30283","40777","Principal Manager L & P","1","Operational Delivery","/data/coal/2011-03-31/TCA-final-government-staff-and-salary-data.xls","juniorPosts12"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5","30283","40777","Principal Project Manager - Environment","2","Operational Delivery","/data/coal/2011-03-31/TCA-final-government-staff-and-salary-data.xls","juniorPosts13"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5","30283","40777","Principal Project Manager - PS & S","2","Operational Delivery","/data/coal/2011-03-31/TCA-final-government-staff-and-salary-data.xls","juniorPosts14"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5","30283","40777","Senior Structural Engineer","1","Operational Delivery","/data/coal/2011-03-31/TCA-final-government-staff-and-salary-data.xls","juniorPosts15"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5","30283","40777","Principal Engineer Design","1","Operational Delivery","/data/coal/2011-03-31/TCA-final-government-staff-and-salary-data.xls","juniorPosts16"
