"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","HCS","Grade 7","46975","56597","Business Manager","1","Finance","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts2"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","HCS","Grade 7","46975","56597","Communications Manager","1","Communications","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts3"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","HCS","HEO","29261","34424","Finance Officer","1","Finance","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts4"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","HCS","HEO","29261","34424","Communications support officer","1","Communications","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts5"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","Grade 6","56767","68322","Senior Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts6"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","Grade 6","56767","68322","Senior Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts7"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","Grade 6","56767","68322","Senior Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts8"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","Grade 7","46975","56597","Analyst","0.5","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts9"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","Grade 7","46975","56597","Analyst","0.5","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts10"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","Grade 7","46975","56597","Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts11"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","Grade 7","46975","56597","Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts12"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","Grade 7","46975","56597","Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts13"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","Grade 7","46975","56597","Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts14"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","Grade 7","46975","56597","Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts15"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","Grade 7","46975","56597","Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts16"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","Grade 7","46975","56597","Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts17"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","Grade 7","46975","56597","Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts18"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","Grade 7","46975","56597","Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts19"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","HEO(D)","27000","33654","Junior Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts20"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","HEO(D)","27000","33654","Junior Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts21"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","HEO(D)","27000","33654","Junior Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts22"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","CEC","EO","24992","29060","Junior Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts23"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","HOA","HEO","29261","34424","Junior Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts24"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","HOA","HEO(D)","27000","33654","Junior Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts25"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","HOA","HEO(D)","27000","33654","Junior Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts26"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","HOA","Grade 7","46975","56597","Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts27"
"Department of Energy and Climate Change","Committee on Climate Change","Committee on Climate Change","HOA","Grade 7","46975","56597","Analyst","1","Economics","/data/theccc/2011-09-30/300911-CCC-Organogram-v3.xls","juniorPosts28"
