"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","Competition Commission","Professional Groups","FAOL","Band A","42000","63800","Economic Adviser Band A","5","economics","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts2"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FJKI","Band A","42000","63800","Media Relations Manager","1","Communications","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts3"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FJKI","Band A","42000","63800","Policy Coordinator","1","Policy","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts4"
"Department for Business Innovation and Skills","Competition Commission","Professional Groups","FDRO","Band A","42000","63800","Remedies Manager","1","Programme and Project Management (PPM)","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts5"
"Department for Business Innovation and Skills","Competition Commission","Inquiry Teams","FMRA","Band A","42000","63800","Inquiry Manager","5","Programme and Project Management (PPM)","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts6"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band A","42000","63800","Head of Planning","1","Planning","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts7"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band A","42000","63800","Head of Finance and Facilities","1","Finance","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts8"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band A","42000","63800","Head of HR","1","Human Resources","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts9"
"Department for Business Innovation and Skills","Competition Commission","Professional Groups","FRGR","Band A","42000","63800","Legal Assistant","2","Law","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts10"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band A","42000","63800","Head of Information Services","1","Information Technology","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts11"
"Department for Business Innovation and Skills","Competition Commission","Professional Groups","FAOL","Band B","30800","49300","Assistant Economist","5","economics","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts12"
"Department for Business Innovation and Skills","Competition Commission","Professional Groups","FAOL","Band B","30800","49300","Statistician","1","statisticians","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts13"
"Department for Business Innovation and Skills","Competition Commission","Inquiry Teams","FMRA","Band B","30800","49300","Inquiry Manager","2","Programme and Project Management (PPM)","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts14"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band D","20200","29100","Finance and Security Officer","1","Finance","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts15"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band B","30800","49300","HR Manager","1","Human Resources","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts16"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band B","30800","49300","Information Centre Manager","1","Knowledge and Information Management (KIM)","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts17"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band B","30800","49300","ICT Manager","2.83","Information Technology","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts18"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band B","30800","49300","ICT Senior Administrator","2","Information Technology","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts19"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FJKI","Band C","26400","34700","Media Officer","1","Communications","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts20"
"Department for Business Innovation and Skills","Competition Commission","Inquiry Teams","FMRA","Band C","26400","34700","Inquiry Co-ordinator","7","Programme and Project Management (PPM)","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts21"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band C","26400","34700","Building Services Manager","1","Property and asset management","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts22"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band C","26400","34700","Procurement Officer","1","Finance","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts23"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band C","26400","34700","HR Adviser (Operations)","1","Human Resources","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts24"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band C","26400","34700","Administrative Services Manager","1","Information Technology","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts25"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band C","26400","34700","Publishing Manager","1","Communications","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts26"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band C","26400","34700","ICT Administrator","4","Information Technology","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts27"
"Department for Business Innovation and Skills","Competition Commission","Professional Groups","FRLA","Band D","20200","29100","PS to Chief Financial and Business Adviser","0.61","Programme and Project Management (PPM)","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts28"
"Department for Business Innovation and Skills","Competition Commission","Inquiry Teams","FMRA","Band D","20200","29100","Inquiry Administrator","3","Programme and Project Management (PPM)","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts29"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band D","20200","29100","PA to Secretariat and Economic Group","1","Operational Delivery","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts30"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band D","20200","29100","Facilities Coordinator","1","Property and asset management","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts31"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band D","20200","29100","Finance Officer","2","Finance","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts32"
"Department for Business Innovation and Skills","Competition Commission","Professional Groups","FDRO","Band D","20200","29100","PS to Chief Executive","1","Operational Delivery","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts33"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band D","20200","29100","Publishing Officer","1.83","Communications","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts34"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band D","20200","29100","Information and Records Officer","2","Knowledge and Information Management (KIM)","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts35"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band E","17200","21800","Facilities Assistant","2","Property and asset management","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts36"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band D","20200","29100","HR Officer","1","Human Resources","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts37"
"Department for Business Innovation and Skills","Competition Commission","Corporate Services & Secretariat","FRLA","Band E","17200","21800","ICT Service Desk Analyst & Procurement Officer","1","Information Technology","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts38"
"Department for Business Innovation and Skills","Competition Commission","Professional Groups","FAOL","Shadow Band A","56300","77300","Economic Adviser","7.62","economics","/data/cc/2011-03-31/NEW-CC_government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts39"
