"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Governance","EXEC1","PA","18153","23033","Personal Assistant","1","Communications","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts2"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Policy and Research","EXEC6","PM","31558","40625","Policy Manager","10","Policy","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts3"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Policy and Research","EXEC6","APM","25460","30638","Assistant Policy Manager","3","Policy","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts4"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Policy and Research","EXEC6","SM","34152","43037","Research Manager","1","Policy","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts5"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Policy and Research","EXEC6","ANA","24708","30420","Programme Manager","1","Policy","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts6"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Policy and Research","EXEC6","PA","18153","23033","Personal Assistant","1","Communications","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts7"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Corporate Services","EXEC3","SM2","39436","49647","Senior Manager 2","4.5","Operational Delivery","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts8"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Corporate Services","EXEC3","MAN","20616","25924","Manager","1.5","Operational Delivery","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts9"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Corporate Services","EXEC3","OFF","18693","23500","Officer","4.6","Operational Delivery","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts10"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Corporate Services","EXEC3","PA","18153","23033","Personal Assistant","1","Communications","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts11"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Consumer Relations","EXEC4","SPM 2","28906","36372","Specialist Manager 2","1","Operational Delivery","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts12"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Consumer Relations","EXEC4","CRM","26281","34375","Consumer Relations Manager","6","Operational Delivery","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts13"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Consumer Relations","EXEC4","SPM","28856","36372","Specialist Manager","1","Operational Delivery","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts14"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Consumer Relations","EXEC4","AM","19340","23758","Assistant Manager","18.2","Operational Delivery","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts15"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Consumer Relations","EXEC4","OFF","18693","23500","Officer","1","Internal Audit","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts16"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Consumer Relations","EXEC4","PA","18153","23033","Personal Assistant","1","Communications","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts17"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Consumer Relations","EXEC4","SEC","17878","18375","Office Secretary","2","Operational Delivery","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts18"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Consumer Relations","EXEC4","CA","14670","18250","Complaints Administrator","6","Operational Delivery","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts19"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Public Relations","EXEC5","MAN","20616","25924","Communications Support Officer","2","Communications","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts20"
"Department for Environment, Food and Rural Affairs","Consumer Council for Water","Corporate Services","EXEC3","PM","31558","40625","Policy Manager","1","Policy","/data/ccwater/2011-03-31/CCWater-staff-and-salary-data-3.xls","juniorPosts21"
