"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","1","Band B","19000","29000","PA","0.61","Operational Delivery","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts2"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","12","Band B","19000","29000","PA","1","Operational Delivery","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts3"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","12","Band D","34000","49000","Head of Communications","1","Operational Delivery","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts4"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","12","Band D","34000","49000","Customer Service Manager","0.77","Operational Delivery","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts5"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","12","Band D","34000","49000","HR & Facilities Manager","1","Human Resources","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts6"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","12","Band B","19000","29000","HR & Payroll Officer","1","Human Resources","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts7"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","12","Band A","15000","20000","HR & Training Administrator","0.91","Human Resources","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts8"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","12","Band A","15000","20000","Facilities Administrator","1","Operational Delivery","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts9"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","12","Band A","15000","20000","Receptionist/Telephonist","1.2","Operational Delivery","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts10"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","13","Band D","34000","49000","Accountant","0.61","Finance","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts11"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","13","Band D","34000","49000","IT Systems Manager","1","Information Technology","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts12"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","13","Band D","34000","49000","Information Manager","1","Operational Delivery","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts13"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","13","Band B","19000","29000","Finance & Information Administrator","1","Finance","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts14"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","13","Band A","15000","20000","IT Helpdesk 1st Line support","2","Information Technology","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts15"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","13","Band A","15000","20000","Records Management Administrator","1","Operational Delivery","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts16"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","13","Band A","15000","20000","Finance Assistant","1","Finance","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts17"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","13","Band A","15000","20000","Records Management Assistant","1.61","Operational Delivery","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts18"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","14","Band F","61000","70000","Investigations Adviser","1.91","Operational Delivery","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts19"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","14","Band F","61000","70000","Legal Adviser","2","Operational Delivery","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts20"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","14","Band D","34000","49000","Casework Support Manager","1","Operational Delivery","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts21"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","14","Band D","34000","49000","Group Leader","4.81","Operational Delivery","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts22"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","14","Band D","34000","49000","Case Review Manager","29.65","Operational Delivery","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts23"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","14","Band C","22000","30000","Assistant Case Review Manager","2","Operational Delivery","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts24"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","14","Band A","15000","20000","Casework Administrator","10.95","Operational Delivery","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts25"
"Ministry of Justice","Criminal Cases Review Commission","Criminal Cases Review Commission","14","Band A","15000","20000","Casework Administration Assistant","1","Operational Delivery","/data/ccrc/2011-03-31/CCRC-upload-v2.3.xls","juniorPosts26"
