"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Justice","Criminal Injuries Compensation Authority","CICA","CICA1","Band A","42034","60649","Director of Regional Caseworking","1","Operational delivery","/data/justice/2011-09-30/300911-CICA-Organogram(final).xls","juniorPosts2"
"Ministry of Justice","Criminal Injuries Compensation Authority","CICA","CICA2","Band A","42034","60649","Head of Business Support","1","Operational delivery","/data/justice/2011-09-30/300911-CICA-Organogram(final).xls","juniorPosts3"
"Ministry of Justice","Criminal Injuries Compensation Authority","CICA","CICA1","Band A","42034","60649","Head of Legal Services & Executive Office","1","Law","/data/justice/2011-09-30/300911-CICA-Organogram(final).xls","juniorPosts4"
"Ministry of Justice","Criminal Injuries Compensation Authority","CICA","CICA2","Band A","42034","60649","Director of IT","1","Information Technology","/data/justice/2011-09-30/300911-CICA-Organogram(final).xls","juniorPosts5"
"Ministry of Justice","Criminal Injuries Compensation Authority","CICA","CICA1","Band C","25392","31939","Policy Advisor","1","Operational delivery","/data/justice/2011-09-30/300911-CICA-Organogram(final).xls","juniorPosts6"
"Ministry of Justice","Criminal Injuries Compensation Authority","CICA","CICA1","Band C","25392","31939","Customer Service Manager","2.92","Operational delivery","/data/justice/2011-09-30/300911-CICA-Organogram(final).xls","juniorPosts7"
"Ministry of Justice","Criminal Injuries Compensation Authority","CICA","CICA1","Band C","25392","31939","Senior Decision Maker","14.59","Operational delivery","/data/justice/2011-09-30/300911-CICA-Organogram(final).xls","juniorPosts8"
"Ministry of Justice","Criminal Injuries Compensation Authority","CICA","CICA2","Band C","25392","31939","Technical Support Officer","3","Operational delivery","/data/justice/2011-09-30/300911-CICA-Organogram(final).xls","juniorPosts9"
"Ministry of Justice","Criminal Injuries Compensation Authority","CICA","CICA1","Band D","20367","24727","Administrative Support Officer","3.68","Operational delivery","/data/justice/2011-09-30/300911-CICA-Organogram(final).xls","juniorPosts10"
"Ministry of Justice","Criminal Injuries Compensation Authority","CICA","CICA2","Band E","16813","19550","Casework Officer","2","Operational delivery","/data/justice/2011-09-30/300911-CICA-Organogram(final).xls","juniorPosts11"
