"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","Grade 6 (CRB)","54978","70856","senior finance manager","1","Finance","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts2"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","Grade 7 (CRB)","44880","57841","senior policy adviser","1","Policy","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts3"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","Grade 7 (CRB)","44880","57841","Senior Support Officer","1.54","Planning","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts4"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","Grade 7 (CRB)","44880","57841","Senior Human Resources Manager","1.46","Human Resources","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts5"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","SEO (CRB)","33779","38936","policy adviser","1.65","Policy","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts6"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","SEO (CRB)","33779","38936","Senior Human Resources Manager","3.62","Human Resources","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts7"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","SEO (CRB)","33779","38936","Senior Support Officer","1","Planning","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts8"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","SEO Acountant (CRB)","37386","43534","senior finance manager","1.95","Finance","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts9"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","HEO (CRB)","26209","32108","Policy Support Officer","3","Policy","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts10"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","HEO (CRB)","26209","32108","Correspondence Manager","1","Communications","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts11"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","HEO (CRB)","26209","32108","Finance Officer","3.68","Finance","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts12"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","HEO (CRB)","26209","32108","Human Resources Officer","5.76","Human Resources","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts13"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","EO (CRB)","20965","24913","Correspondence Support Officer","3.26","Policy","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts14"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","EO (CRB)","20965","24913","Knowledge Information Management Support Officer","1","Knowledge and Information Management (KIM)","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts15"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","EO (CRB)","20965","24913","Finance Support Officer","7.4","Finance","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts16"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","EO (CRB)","20965","24913","Human Resources Support Officer","4","Human Resources","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts17"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","EO (CRB)","20965","24913","diary manager","0.65","Planning","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts18"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","AO (CRB)","15779","19000","Operations Support Officer","0.81","Policy","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts19"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","AO (CRB)","15779","19000","diary manager","1","Finance","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts20"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","AO (CRB)","15779","19000","Finance Support Officer","3","Finance","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts21"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","AO (CRB)","15779","19000","Human Resources Support Officer","2.61","Human Resources","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts22"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","AO (CRB)","15779","19000","Correspondence Support Officer","1","Policy","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts23"
"Home Office","Criminal Records Bureau","Chief Executive's Office","1aCRB01","SPS (CRB)","21395","24913","diary manager","0.81","Planning","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts24"
"Home Office","Criminal Records Bureau","Service Delivery and Commercial Directorate","1CRB02","Grade 6 (CRB)","54978","70856","senior operational manager","1","Operational Delivery","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts25"
"Home Office","Criminal Records Bureau","Service Delivery and Commercial Directorate","1CRB02","Grade 7 (CRB)","44880","57841","senior operational manager","4","Operational Delivery","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts26"
"Home Office","Criminal Records Bureau","Service Delivery and Commercial Directorate","1CRB02","Grade 7 (CRB)","44880","57841","Senior Procurement Officer","2","Procurement","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts27"
"Home Office","Criminal Records Bureau","Service Delivery and Commercial Directorate","1CRB02","SEO (CRB)","33779","38936","senior operational manager","11.86","Operational Delivery","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts28"
"Home Office","Criminal Records Bureau","Service Delivery and Commercial Directorate","1CRB02","SEO (CRB)","33779","38936","Senior Communications Manager","1","Communications","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts29"
"Home Office","Criminal Records Bureau","Service Delivery and Commercial Directorate","1CRB02","SEO (CRB)","33779","38936","Senior Procurement Officer","1","Procurement","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts30"
"Home Office","Criminal Records Bureau","Service Delivery and Commercial Directorate","1CRB02","HEO (CRB)","26209","32108","Operational manager","43.47","Operational Delivery","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts31"
"Home Office","Criminal Records Bureau","Service Delivery and Commercial Directorate","1CRB02","HEO (CRB)","26209","32108","Communications Manager","3","Communications","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts32"
"Home Office","Criminal Records Bureau","Service Delivery and Commercial Directorate","1CRB02","EO (CRB)","20965","24913","Operational manager","142.38","Operational Delivery","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts33"
"Home Office","Criminal Records Bureau","Service Delivery and Commercial Directorate","1CRB02","EO (CRB)","20965","24913","Communications Manager","6","Communications","/data/homeoffice/2011-03-31/CriminalRecordsBureau_organogramdata_310311.xls","juniorPosts34"
