"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","Level A2 (Lon)","17275","20381","Fees Clerk","1","Operational Delivery","/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls","juniorPosts2"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","Level B2 (Lon)","26905","31864","Finance Manager","1","Operational Delivery","/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls","juniorPosts3"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","Level D Admin (Lon)","48665","63121","Senior Business Manager","1","Operational Delivery","/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls","juniorPosts4"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","RCPO - Admin Assistant (Lon)","18015","20412","administrative Assistant","1","Operational Delivery","/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls","juniorPosts5"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","RCPO - Admin Officer (Lon)","20275","23381","Administrative Officer","2","Operational Delivery","/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls","juniorPosts6"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","RCPO - Admin Officer (Lon)","20275","23381","Fees Clerk","1","Operational Delivery","/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls","juniorPosts7"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","RCPO - Higher Exec Officer (Lon)","29905","36200","Personal Assistant","1","Operational Delivery","/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls","juniorPosts8"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","RCPO - Higher Exec Officer (Lon)","29905","36200","Business Manager","1","Operational Delivery","/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls","juniorPosts9"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","RCPO - Grade 6 Legal (Lon)","68005","76708","Prosecutor","1","Operational Delivery","/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls","juniorPosts10"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","RCPO - Executive Officer (Lon)","24304","30132","Fees Manager","1","Operational Delivery","/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls","juniorPosts11"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-002","RCPO - Executive Officer (Lon)","24304","30132","Business Operations Officer","1","Operational Delivery","/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls","juniorPosts12"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","Level A2 (Lon)","17275","20381","Casework Assistant","2","Operational Delivery","/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls","juniorPosts13"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","RCPO - Admin Assistant (Lon)","18015","20412","administrative Assistant","1","Operational Delivery","/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls","juniorPosts14"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","RCPO - Admin Officer (Lon)","20275","23381","Casework Assistant","1","Operational Delivery","/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls","juniorPosts15"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","RCPO - Admin Officer (Lon)","20275","23381","Administrative Officer","5","Operational Delivery","/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls","juniorPosts16"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","RCPO - Higher Exec Officer (Lon)","29905","36200","Senior Casework Manager","2.8","Operational Delivery","/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls","juniorPosts17"
"Crown Prosecution Service","Crown Prosecution Service","Central Fraud Group","CPS-S-005","RCPO - Senior Exec Officer (Lon)","36239","44430","Prosecutor","2","Operational Delivery","/data/cps/2011-03-31/Government-staff-and-salary-data-(CPS).xls","juniorPosts18"
