"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Defence","Defence Support Group","Human Resources","HRDIR","PB1/Band B","48500","69500","Senior HR Managers","2.65","Human resources","/data/dsg/2011-09-30/Government-staff-and-salary-data--template---October-2011.xls","juniorPosts2"
"Ministry of Defence","Defence Support Group","Human Resources","HRDIR","PB2/Band C","29400","42400","HR Officer","6","Human resources","/data/dsg/2011-09-30/Government-staff-and-salary-data--template---October-2011.xls","juniorPosts3"
"Ministry of Defence","Defence Support Group","Human Resources","HRDIR","PB3/Band D","20900","28200","HR Officer","4.81","Human resources","/data/dsg/2011-09-30/Government-staff-and-salary-data--template---October-2011.xls","juniorPosts4"
"Ministry of Defence","Defence Support Group","Human Resources","HRDIR","PB4/Band E and equiv","15700","20800","HR support officer","5.81","Human resources","/data/dsg/2011-09-30/Government-staff-and-salary-data--template---October-2011.xls","juniorPosts5"
"Ministry of Defence","Defence Support Group","Finance","FINDIR","PB1/Band B","48500","69500","Senior Finance Managers","8","Finance","/data/dsg/2011-09-30/Government-staff-and-salary-data--template---October-2011.xls","juniorPosts6"
"Ministry of Defence","Defence Support Group","Finance","FINDIR","PB2/Band C","29400","42400","Finance Officer","7.81","Finance","/data/dsg/2011-09-30/Government-staff-and-salary-data--template---October-2011.xls","juniorPosts7"
"Ministry of Defence","Defence Support Group","Finance","FINDIR","PB3/Band D","20900","28200","Finance Officer","5.86","Finance","/data/dsg/2011-09-30/Government-staff-and-salary-data--template---October-2011.xls","juniorPosts8"
"Ministry of Defence","Defence Support Group","Finance","FINDIR","PB4/Band E and equiv","15700","20800","Finance Support Officer","3.61","Finance","/data/dsg/2011-09-30/Government-staff-and-salary-data--template---October-2011.xls","juniorPosts9"
"Ministry of Defence","Defence Support Group","Commercial","COMDIR","PB1/Band B","48500","69500","Senior Procurement Officer","10","Operational delivery","/data/dsg/2011-09-30/Government-staff-and-salary-data--template---October-2011.xls","juniorPosts10"
"Ministry of Defence","Defence Support Group","Commercial","COMDIR","PB2/Band C","29400","42400","Procurement Officer","48.9","Operational delivery","/data/dsg/2011-09-30/Government-staff-and-salary-data--template---October-2011.xls","juniorPosts11"
