"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","Department for Business, Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-01","AO-B","16325","21869","Personal Assistant","0.81","Policy","/data/bis/2011-03-31/BIS-Transparency-Data---March-2011-v3.xls","juniorPosts2"
"Department for Business Innovation and Skills","Department for Business, Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-01","AO-B","16325","21869","policy adviser","0.83","Policy","/data/bis/2011-03-31/BIS-Transparency-Data---March-2011-v3.xls","juniorPosts3"
"Department for Business Innovation and Skills","Department for Business, Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-01","EO-D","20133","27281","policy adviser","0.59","Policy","/data/bis/2011-03-31/BIS-Transparency-Data---March-2011-v3.xls","juniorPosts4"
"Department for Business Innovation and Skills","Department for Business, Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-01","G6-B","50043","67313","senior policy adviser","4","Policy","/data/bis/2011-03-31/BIS-Transparency-Data---March-2011-v3.xls","juniorPosts5"
"Department for Business Innovation and Skills","Department for Business, Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-01","G6-B","50043","67313","senior policy adviser","1","Policy","/data/bis/2011-03-31/BIS-Transparency-Data---March-2011-v3.xls","juniorPosts6"
"Department for Business Innovation and Skills","Department for Business, Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-01","G7-B","40686","55562","senior policy adviser","11.83","Policy","/data/bis/2011-03-31/BIS-Transparency-Data---March-2011-v3.xls","juniorPosts7"
"Department for Business Innovation and Skills","Department for Business, Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-01","G7-B","40686","55562","senior policy adviser","1","Policy","/data/bis/2011-03-31/BIS-Transparency-Data---March-2011-v3.xls","juniorPosts8"
"Department for Business Innovation and Skills","Department for Business, Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-01","HEO-B","23570","32866","policy adviser","1","Policy","/data/bis/2011-03-31/BIS-Transparency-Data---March-2011-v3.xls","juniorPosts9"
"Department for Business Innovation and Skills","Department for Business, Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-01","HEO-D","25152","33027","policy adviser","1","Policy","/data/bis/2011-03-31/BIS-Transparency-Data---March-2011-v3.xls","juniorPosts10"
"Department for Business Innovation and Skills","Department for Business, Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-02","AO-B","16325","21869","Personal Assistant","1","Policy","/data/bis/2011-03-31/BIS-Transparency-Data---March-2011-v3.xls","juniorPosts11"
"Department for Business Innovation and Skills","Department for Business, Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-02","AO-B","16325","21869","policy adviser","1","Policy","/data/bis/2011-03-31/BIS-Transparency-Data---March-2011-v3.xls","juniorPosts12"
"Department for Business Innovation and Skills","Department for Business, Innovation and Skills","AMS - Advanced Manufacturing and Services (BS)","SCS1-01-01-02","G6-B","50043","67313","senior policy adviser","1","Policy","/data/bis/2011-03-31/BIS-Transparency-Data---March-2011-v3.xls","juniorPosts13"
