"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG134","Executive Officer (EO)","22279","31225","Diary Manager","1","Finance","/data/communities/2011-09-30/DCLG-Organogram-Data-Template---October-2011.xls","juniorPosts2"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG134","Higher Executive Officer (HEO)","26058","39513","Private Secretary","1","Finance","/data/communities/2011-09-30/DCLG-Organogram-Data-Template---October-2011.xls","juniorPosts3"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG144","Administrative Officer (AO)","19335","25847","Diary Manager","1","Finance","/data/communities/2011-09-30/DCLG-Organogram-Data-Template---October-2011.xls","juniorPosts4"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG144","Executive Officer (EO)","22279","31225","Finance Support Officer","1","Finance","/data/communities/2011-09-30/DCLG-Organogram-Data-Template---October-2011.xls","juniorPosts5"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG144","Grade 6 (G6)","50203","70375","Senior Finance Manager","2","Finance","/data/communities/2011-09-30/DCLG-Organogram-Data-Template---October-2011.xls","juniorPosts6"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG144","Grade 7 (G7)","40852","57110","Senior Finance Manager","2","Finance","/data/communities/2011-09-30/DCLG-Organogram-Data-Template---October-2011.xls","juniorPosts7"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG144","Grade 7 (G7)","40852","57110","Senior Information Manager","0.69","Knowledge and Information Management (KIM)","/data/communities/2011-09-30/DCLG-Organogram-Data-Template---October-2011.xls","juniorPosts8"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG144","Higher Executive Officer (HEO)","26058","39513","Knowledge Information Management Manager","1","Knowledge and Information Management (KIM)","/data/communities/2011-09-30/DCLG-Organogram-Data-Template---October-2011.xls","juniorPosts9"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG144","Senior Executive Officer (SEO)","32311","45985","Finance Officer","1","Finance","/data/communities/2011-09-30/DCLG-Organogram-Data-Template---October-2011.xls","juniorPosts10"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG144","Senior Executive Officer (SEO)","32311","45985","Knowledge Information Management Manager","1","Knowledge and Information Management (KIM)","/data/communities/2011-09-30/DCLG-Organogram-Data-Template---October-2011.xls","juniorPosts11"
