"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Communications, Content & Inclusion","PSO100036","A","45380","54595","Senior Communications Manager","9","Communications","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts2"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Communications, Content & Inclusion","PSO100036","A(U)","52963","66005","Senior Communications Manager","1","Communications","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts3"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Communications, Content & Inclusion","PSO100036","A(U)","52963","66005","Senior policy adviser","1","Communications","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts4"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Communications, Content & Inclusion","PSO100036","B","29263","36403","Communications Manager","11","Communications","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts5"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Communications, Content & Inclusion","PSO100036","B","29263","36403","Operational Manager","5","Communications","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts6"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Communications, Content & Inclusion","PSO100036","B","29263","36403","Policy Adviser","4","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts7"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Communications, Content & Inclusion","PSO100036","C","23197","25952","Operations Support Officer","3","Operational delivery","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts8"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Communications, Content & Inclusion","PSO100036","D","19836","21023","Operations Support Officer","1","Operational delivery","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts9"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Delivery","IET100024","A","45380","54595","Senior policy adviser","5","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts10"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Delivery","IET100024","A(U)","52963","66005","Senior policy adviser","2","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts11"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Delivery","IET100024","B","29263","36403","Policy Adviser","4","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts12"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Delivery","IET100024","C","23197","25952","Operations Support Officer","1","Operational delivery","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts13"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Delivery","IET100024","D","19836","21023","Operations Support Officer","2","Operational delivery","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts14"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Spectrum, Resilience & Security","PSO100036","A","45380","54595","Senior policy adviser","5","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts15"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Spectrum, Resilience & Security","PSO100036","A(U)","52963","66005","Senior policy adviser","2","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts16"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Spectrum, Resilience & Security","PSO100036","B","29263","36403","Policy Adviser","5","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts17"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Spectrum, Resilience & Security","PSO100036","C","23197","25952","Policy Adviser","1","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts18"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Broadband Spectrum, Resilience & Security","PSO100036","D","19836","21023","Operations Support Officer","2","Operational delivery","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts19"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Departmental Flexible Pool","PSO100036","A","45380","54595","Senior policy adviser","43","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts20"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Departmental Flexible Pool","PSO100036","A(U)","52963","66005","Senior policy adviser","6","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts21"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Departmental Flexible Pool","PSO100036","B","29263","36403","Policy Adviser","64","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts22"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Departmental Flexible Pool","PSO100036","C","23197","25952","Policy Support Officer","23","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts23"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Departmental Flexible Pool","PSO100036","D","19836","21023","Policy Support Officer","8","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts24"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance","PSO100036","A","45380","54595","Senior Finance Manager","3","Finance","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts25"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance","PSO100036","A(U)","52963","66005","Senior Finance Manager","2","Finance","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts26"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance","PSO100036","B","29263","36403","Finance Manager","10","Finance","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts27"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance","PSO100036","B","29263","36403","Financial liaison manager","2","Finance","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts28"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance","PSO100036","C","23197","25952","Finance Officer","2","Finance","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts29"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance","PSO100036","C","23197","25952","Assistant analyst","2","Finance","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts30"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","Finance","PSO100036","D","19836","21023","Finance Officer","1","Finance","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts31"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Communications","GOE100001","A","45380","54595","Senior researcher","1","Communications","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts32"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Communications","GOE100001","A","45380","54595","Senior Communications Manager","6","Communications","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts33"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Communications","GOE100001","A(U)","52963","66005","Senior Communications Manager","1","Communications","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts34"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Communications","GOE100001","B","29263","36403","Communications Manager","4","Communications","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts35"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Communications","GOE100001","C","23197","25952","Communications support officer","1","Communications","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts36"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Finance and Sponsorship","GOE100001","A","45380","54595","Senior policy adviser","2","Finance","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts37"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Finance and Sponsorship","GOE100001","A","45380","54595","Senior Finance Manager","3","Finance","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts38"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Finance and Sponsorship","GOE100001","A(U)","52963","66005","Senior Finance Manager","1","Finance","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts39"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Finance and Sponsorship","GOE100001","B","29263","36403","Finance Manager","3","Finance","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts40"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Government Services Team","GOE100001","A","45380","54595","Senior policy adviser","3","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts41"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Government Services Team","GOE100001","A","45380","54595","Senior Project Manager","1","Programme and Project Management (PPM)","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts42"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Government Services Team","GOE100001","A(U)","52963","66005","Senior policy adviser","1","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts43"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Government Services Team","GOE100001","B","29263","36403","Policy Adviser","4","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts44"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Government Services Team","GOE100001","B","29263","36403","Project Manager","3","Programme and Project Management (PPM)","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts45"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Government Services Team","GOE100001","C","23197","25952","Project Support Officer","1","Programme and Project Management (PPM)","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts46"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE International & Dignitary Management","GOE100001","A","45380","54595","Senior Project Manager","5","Programme and Project Management (PPM)","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts47"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE International & Dignitary Management","GOE100001","A(U)","52963","66005","Senior Programme Manager","2","Programme and Project Management (PPM)","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts48"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE International & Dignitary Management","GOE100001","B","29263","36403","Project Manager","7","Programme and Project Management (PPM)","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts49"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Olympic Legacy","GOE100001","A","45380","54595","Senior policy adviser","2","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts50"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Olympic Legacy","GOE100001","A","45380","54595","Senior Project Manager","2","Programme and Project Management (PPM)","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts51"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Olympic Legacy","GOE100001","A(U)","52963","66005","Senior Programme Manager","3","Programme and Project Management (PPM)","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts52"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Olympic Legacy","GOE100001","B","29263","36403","Project Manager","8","Programme and Project Management (PPM)","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts53"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Programmes","GOE100001","A","45380","54595","Assurance Manager","2","Programme and Project Management (PPM)","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts54"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Programmes","GOE100001","B","29263","36403","Policy Adviser","1","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts55"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Programmes","GOE100001","C","23197","25952","Programme support officer","2","Programme and Project Management (PPM)","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts56"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Security and Regeneration","GOE100001","A","45380","54595","Senior Assurance Manager","0.67","Property and Asset Management","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts57"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Security and Regeneration","GOE100001","A(U)","52963","66005","Senior Assurance Manager","1","Property and Asset Management","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts58"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Security and Regeneration","GOE100001","B","29263","36403","Assurance Manager","2","Property and Asset Management","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts59"
"Department for Culture, Media and Sport","Department for Culture, Media and Sport","GOE Security and Regeneration","GOE100001","B","29263","36403","Policy Adviser","1","Policy","/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls","juniorPosts60"
