"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Arm's Length Bodies Change Programme","19","AO (L)","21024","22816","Office Manager","1","Policy","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts2"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Arm's Length Bodies Change Programme","94","FS (N)","24075","30154","policy adviser","1","Policy","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts3"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Arm's Length Bodies Change Programme","92","G7 (L)","47847","57432","Programme Manager","3","Policy","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts4"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Arm's Length Bodies Change Programme","94","G7 (L)","47847","57432","Programme Manager","1","Policy","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts5"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Arm's Length Bodies Change Programme","94","HEO (L)","29848","34584","policy adviser","1","Policy","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts6"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","CAP Reform, EU Strategy & Evidence","37","AO (L)","21024","22816","Analyst","1","economics","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts7"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","CAP Reform, EU Strategy & Evidence","41","AO (L)","21024","22816","Analyst","4","economics","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts8"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","CAP Reform, EU Strategy & Evidence","41","AO (L)","21024","22816","Executive Assistant","1","economics","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts9"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","CAP Reform, EU Strategy & Evidence","8","AO (L)","21024","22816","Policy Support Officer","3","Policy","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts10"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","CAP Reform, EU Strategy & Evidence","40","AO (L)","21024","22816","Policy Support Officer","0.6","Policy","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts11"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","CAP Reform, EU Strategy & Evidence","40","AO (L)","21024","22816","Programme Support Officer","2","Policy","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts12"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","CAP Reform, EU Strategy & Evidence","39","AO (N)","18148","19657","Analyst","13.29","statisticians","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts13"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","CAP Reform, EU Strategy & Evidence","39","AO (N)","18148","19657","Executive Assistant","0.49","statisticians","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts14"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","CAP Reform, EU Strategy & Evidence","41","AO (N)","18148","19657","Executive Assistant","0.83","statisticians","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts15"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","CAP Reform, EU Strategy & Evidence","41","EO (L)","25363","29063","Analyst","2","economics","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts16"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","CAP Reform, EU Strategy & Evidence","37","EO (L)","25363","29063","Analyst","1","Knowledge and Information Management (KIM)","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts17"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","CAP Reform, EU Strategy & Evidence","8","EO (L)","25363","29063","Policy Support Officer","2","Policy","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts18"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","CAP Reform, EU Strategy & Evidence","40","EO (L)","25363","29063","Policy Support Officer","1","Policy","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts19"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","CAP Reform, EU Strategy & Evidence","40","EO (L)","25363","29063","Scientific Support Officer","1","Science & Engineering","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts20"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","CAP Reform, EU Strategy & Evidence","37","EO (N)","22698","25903","Analyst","1","statisticians","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts21"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","CAP Reform, EU Strategy & Evidence","39","EO (N)","22698","25903","Analyst","15.58","statisticians","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts22"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","CAP Reform, EU Strategy & Evidence","37","FS (L)","26840","33654","Economist","3.8","economics","/data/defra/2011-03-31/DEFRA-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts23"
