"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for International Development","Department for International Development","Corporate Performance","B47","A1 (G6)","55505","66221","Administrator","2","Human resources","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts2"
"Department for International Development","Department for International Development","Corporate Performance","B47","A2 (G7)","43895","56293","Administrator","6","Human resources","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts3"
"Department for International Development","Department for International Development","Corporate Performance","B47","A2L (SEO)","36700","43938","Administrator","5","Human resources","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts4"
"Department for International Development","Department for International Development","Corporate Performance","B47","B1 (HEO)","26830","34534","Administrator","11.23","Human resources","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts5"
"Department for International Development","Department for International Development","Corporate Performance","B47","B2 (EO)","21289","27317","Administrator","25.89","Human resources","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts6"
"Department for International Development","Department for International Development","Corporate Performance","B47","C1 (AO)","18622","22530","Administrator","7.5","Human resources","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts7"
"Department for International Development","Department for International Development","Corporate Performance","B47","C2 (AA)","15305","19200","Administrator","9.5","Human resources","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts8"
"Department for International Development","Department for International Development","Policy & International","B65","A1 (G6)","55505","66221","Administrator","3","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts9"
"Department for International Development","Department for International Development","Policy & International","B65","A2 (G7)","43895","56293","Administrator","6","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts10"
"Department for International Development","Department for International Development","Policy & International","B65","A2L (SEO)","36700","43938","Administrator","0.81","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts11"
"Department for International Development","Department for International Development","Policy & International","B65","B1 (HEO)","26830","34534","Administrator","1","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts12"
"Department for International Development","Department for International Development","Policy & International","B65","B1D (Faststream)","26800","36377","Administrator","1","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts13"
"Department for International Development","Department for International Development","Policy & International","B65","B2 (EO)","21289","27317","Administrator","2","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts14"
"Department for International Development","Department for International Development","Policy & International","A14","A1 (G6)","55505","66221","Administrator","1","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts15"
"Department for International Development","Department for International Development","Policy & International","A14","B2 (EO)","21289","27317","Administrator","1","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts16"
"Department for International Development","Department for International Development","Policy & International","B81","A1 (G6)","55505","66221","Administrator","6","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts17"
"Department for International Development","Department for International Development","Policy & International","B81","A2 (G7)","43895","56293","Administrator","11.7","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts18"
"Department for International Development","Department for International Development","Policy & International","B81","A2L (SEO)","36700","43938","Administrator","3","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts19"
"Department for International Development","Department for International Development","Policy & International","B81","B1D (Faststream)","26800","36377","Administrator","4","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts20"
"Department for International Development","Department for International Development","Policy & International","B81","B1 (HEO)","26830","34534","Administrator","4","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts21"
"Department for International Development","Department for International Development","Policy & International","B81","B2 (EO)","21289","27317","Administrator","3","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts22"
"Department for International Development","Department for International Development","Policy & International","B81","C1 (AO)","18622","22530","Administrator","2","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts23"
"Department for International Development","Department for International Development","Policy & International","B92","A1 (G6)","55505","66221","Administrator","1","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts24"
"Department for International Development","Department for International Development","Policy & International","A17","A1 (G6)","55505","66221","Administrator","1","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts25"
"Department for International Development","Department for International Development","Policy & International","A17","B2 (EO)","21289","27317","Administrator","1","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts26"
"Department for International Development","Department for International Development","Finance & Corporate Performance","B41","A1 (G6)","55505","66221","Administrator","4","Information Technology","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts27"
"Department for International Development","Department for International Development","Finance & Corporate Performance","B41","A2 (G7)","43895","56293","Administrator","8.75","Information Technology","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts28"
"Department for International Development","Department for International Development","Finance & Corporate Performance","B41","A2L (SEO)","36700","43938","Administrator","20.81","Information Technology","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts29"
"Department for International Development","Department for International Development","Finance & Corporate Performance","B41","B1D (Faststream)","26800","36377","Administrator","3","Information Technology","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts30"
"Department for International Development","Department for International Development","Finance & Corporate Performance","B41","B1 (HEO)","26830","34534","Administrator","28.9","Information Technology","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts31"
"Department for International Development","Department for International Development","Finance & Corporate Performance","B41","B2 (EO)","21289","27317","Administrator","36.53","Information Technology","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts32"
"Department for International Development","Department for International Development","Finance & Corporate Performance","B41","C1 (AO)","18622","22530","Administrator","4","Information Technology","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts33"
"Department for International Development","Department for International Development","Policy & International","A20","A1 (G6)","55505","66221","Administrator","3","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts34"
"Department for International Development","Department for International Development","Policy & International","A20","A2 (G7)","43895","56293","Administrator","7.95","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts35"
"Department for International Development","Department for International Development","Policy & International","A20","A2L (SEO)","36700","43938","Administrator","1","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts36"
"Department for International Development","Department for International Development","Policy & International","A20","B1D (Faststream)","26800","36377","Administrator","2","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts37"
"Department for International Development","Department for International Development","Policy & International","A20","B1 (HEO)","26830","34534","Administrator","5.54","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts38"
"Department for International Development","Department for International Development","Policy & International","A20","B2 (EO)","21289","27317","Administrator","5","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts39"
"Department for International Development","Department for International Development","Policy & International","A20","C1 (AO)","18622","22530","Administrator","5.7","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts40"
"Department for International Development","Department for International Development","Policy & International","B59","A1 (G6)","55505","66221","Administrator","3","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts41"
"Department for International Development","Department for International Development","Policy & International","B59","A2 (G7)","43895","56293","Administrator","6","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts42"
"Department for International Development","Department for International Development","Policy & International","B59","A2L (SEO)","36700","43938","Administrator","1","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts43"
"Department for International Development","Department for International Development","Policy & International","B59","B1D (Faststream)","26800","36377","Administrator","2","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts44"
"Department for International Development","Department for International Development","Policy & International","B59","B1 (HEO)","26830","34534","Administrator","4.59","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts45"
"Department for International Development","Department for International Development","Policy & International","B59","B2 (EO)","21289","27317","Administrator","2.76","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts46"
"Department for International Development","Department for International Development","Policy & International","B59","C1 (AO)","18622","22530","Administrator","1","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts47"
"Department for International Development","Department for International Development","Policy & International","B95","A1 (G6)","55505","66221","Administrator","11","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts48"
"Department for International Development","Department for International Development","Policy & International","B95","A2 (G7)","43895","56293","Administrator","11","Policy","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","juniorPosts49"
