"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for International Development","Department for International Development","Corporate Performance","A2","A1 (G6)","61381","70290","operational manager","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A2","A1 (G6)","61381","70290","Policy Adviser","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A2","A1 (G6)","61381","70290","Senior Operational Manager","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A2","A2 (G7)","49410","58160","Policy Adviser","3.8","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A2","A2L (SEO)","41218","45380","Finance Officer","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A2","B1 (HEO)","31320","35680","Finance Officer","3","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A25","A2L (SEO)","41218","45380","operational manager","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","A27","A1 (G6)","61381","70290","HR officer","8.6","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","A1 (G6)","61381","70290","Senior Operational Manager","1","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","A2 (G7)","49410","58160","HR officer","8.1","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","A2 (G7)","49410","58160","operational manager","1","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","A2L (SEO)","41218","45380","HR officer","4.8","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","B2 (EO)","23615","28210","Diary Manager","3","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","B2 (EO)","23615","28210","operational manager","1","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","B1D (Faststream)","26800","37195","HR officer","1","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A44","B2 (EO)","23615","28210","Diary Manager","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B38","A1 (G6)","61381","70290","Communications Manager","4","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","A1 (G6)","61381","70290","Programme Manager","1","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","A2 (G7)","49410","58160","Communications Manager","7.6","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","A2 (G7)","49410","58160","operational manager","1","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","A2 (G7)","49410","58160","Policy Adviser","1","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","A2 (G7)","49410","58160","Programme Manager","1","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","A2L (SEO)","41218","45380","Communications Manager","10.8","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","A2L (SEO)","41218","45380","Programme Manager","1","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","B1 (HEO)","31320","35680","Communications Manager","5","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","B1 (HEO)","31320","35680","operational manager","1","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","B1 (HEO)","31320","35680","Programme Manager","2","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","B2 (EO)","23615","28210","Diary Manager","1","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","B2 (EO)","23615","28210","operational manager","1","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","B1D (Faststream)","26800","37195","operational manager","1","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B41","A1 (G6)","61381","70290","IT Manager","5","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","A1 (G6)","61381","70290","operational manager","1","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","A2 (G7)","49410","58160","IT Manager","13.8","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","A2 (G7)","49410","58160","Knowledge Information Management Manager","1","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","A2 (G7)","49410","58160","operational manager","2","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","A2L (SEO)","41218","45380","IT Manager","20","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","A2L (SEO)","41218","45380","Knowledge Information Management Manager","1","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","A2L (SEO)","41218","45380","operational manager","2","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","B1 (HEO)","31320","35680","IT Manager","17.1","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","B1 (HEO)","31320","35680","Knowledge Information Management Manager","1","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","B1 (HEO)","31320","35680","operational manager","3","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","B2 (EO)","23615","28210","Diary Manager","1","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","B2 (EO)","23615","28210","IT Manager","15.4","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","B2 (EO)","23615","28210","operational manager","7.3","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","C1 (AO)","19500","23276","operational manager","1","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","B1D (Faststream)","26800","37195","IT Manager","4","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B47","A1 (G6)","61381","70290","operational manager","3","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","A1 (G6)","61381","70290","Senior Operational Manager","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","A2 (G7)","49410","58160","operational manager","6.7","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","A2 (G7)","49410","58160","Procurement Officer","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","A2 (G7)","49410","58160","Senior Operational Manager","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","A2L (SEO)","41218","45380","operational manager","6","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","B1 (HEO)","31320","35680","operational manager","9","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","B2 (EO)","23615","28210","Diary Manager","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","B2 (EO)","23615","28210","operational manager","19.2","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","B2 (EO)","23615","28210","Operations Support Officer","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","C1 (AO)","19500","23276","operational manager","12.4","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","C2 (AA)","16080","20090","operational manager","9","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B80","A1 (G6)","61381","70290","operational manager","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B105","A1 (G6)","61381","70290","Finance Officer","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B105","A1 (G6)","61381","70290","operational manager","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B105","A2 (G7)","49410","58160","Finance Officer","3","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B105","A2 (G7)","49410","58160","operational manager","1","Finance"
