"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI"
"A29","Shaila Khan Leekha","SCS2","Director, International Finance","Director, International Finance","Department for International Development","Department for International Development","Economic Development","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","95000","99999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A29"
"A44","Les Campbell","SCS2","Director, Value For Money","Director, Value For Money","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","115000","119999","","Finance","","","http://reference.data.gov.uk/id/public-body/dfid/post/A44"
"B139","Simon McGee","SCS1","Head of News and Press Secretary to the Secretary of State","Head of News and Press Secretary to the Secretary of State","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","B38","","1","85000","89999","","Communications","","","http://reference.data.gov.uk/id/public-body/dfid/post/B139"
"B164","Meenakshi Nath","SCS1","Head of Private Sector Department","Head of Private Sector Department","Department for International Development","Department for International Development","Economic Development","0845 300 4100","enquiry@dfid.gov.uk","A46","","1","60000","64999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B164"
"B43","Chris Austin","SCS1","Head of DFID Afghanistan","Head of DFID Afghanistan","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A43","","1","85000","89999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B43"
"B77","Christopher Pycroft","SCS1","Head of DFID Democratic Republic of Congo","Head of DFID Democratic Republic of Congo","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B77"
"B108","Velavan Gnanendran","SCS1","Head of DFID Tanzania","Head of DFID Tanzania","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B108"
"B123","Jennifer Barugh","SCS1","Head of Finance and Corporate Performance","Head of Finance and Corporate Performance","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B123"
"B129","Lisa Phillips","SCS1","Head of DFID Kenya","Head of DFID Kenya","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B129"
"B133","Neil Jackson","SCS1","Chief Statistician","Chief Statistician","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B133"
"A1","Mark Lowcock","SCS4","Permanent Secretary","Permanent Secretary","Department for International Development","Department for International Development","TMG","0845 300 4100","enquiry@dfid.gov.uk","XX","","1","160000","164999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A1"
"A43","Lindy Cameron","SCS2","Director, Middle East, Humanitarian and Conflict","Director, Middle East, Humanitarian and Conflict","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","90000","94999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A43"
"B91","Timothy Wheeler","SCS1","Deputy Chief Scientific Adviser","Deputy Chief Scientific Adviser","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A20","","0.8","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B91"
"B38","James Helm","SCS1","Director, Communications","Director, Communications","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","85000","89999","","Communications","","","http://reference.data.gov.uk/id/public-body/dfid/post/B38"
"B52","Sarah Cooke","SCS1","Head of DFID Bangladesh","Head of DFID Bangladesh","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A25","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B52"
"B73","Dominic O'Neill","SCS1","UK Executive Director to the African Development Bank","UK Executive Director to the African Development Bank","Department for International Development","Department for International Development","Economic Development","0845 300 4100","enquiry@dfid.gov.uk","B87","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B73"
"B165","Paul Wafer","SCS1","Head of Africa Directorate","Head of Africa Directorate","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B165"
"A40","David Hallam","SCS2","Director and UK Envoy, Post-2015 Development Goals","Director and UK Envoy, Post-2015 Development Goals","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A40"
"A42","Keith Mackiggan","SCS1","Head of Department","Head of Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A42"
"B109","Anthony Garnett","SCS1","Head of Audit","Head of Audit","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","","1","80000","84999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B109"
"B124","Joanna Reid","SCS1","Head of DFID Sudan","Head of DFID Sudan","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B124"
"A28","Rachel Turner","SCS2","Director, East and Central Africa","Director, East and Central Africa","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","","1","90000","94999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A28"
"B80","Sarah Sanyahumbi","SCS1","Head of OneHMG","Head of OneHMG","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A27","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B80"
"B134","Nicholas Ford","SCS1","Head of Procurement & Commercial","Head of Procurement & Commercial","Department for International Development","Department for International Development","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A44","","1","70000","74999","","Finance","","","http://reference.data.gov.uk/id/public-body/dfid/post/B134"
"B61","Michael Hammond","SCS1","Head of DFID Southern Africa","Head of DFID Southern Africa","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","75000","79999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B61"
"B93","Matthew Wyatt","SCS1","Head of Syria Crisis Unit","Head of Syria Crisis Unit","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A43","","1","75000","79999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B93"
"B101","Ben Mellor","SCS1","Head of DFID Nigeria","Head of DFID Nigeria","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B101"
"B121","Helen Winterton","SCS1","Deputy Director - Middle East and North Africa","Deputy Director - Middle East and North Africa","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A43","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B121"
"B55","Sarah Dunn","SCS1","Head of DFID Southern Africa","Head of DFID Southern Africa","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","B54","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B55"
"B57","Philip Evans","SCS1","Head of DFID Somalia","Head of DFID Somalia","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B57"
"B89","William Turkington","SCS1","Head of Conflict, Humanitarian and Security Department","Head of Conflict, Humanitarian and Security Department","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A43","","1","75000","79999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B89"
"B86","Sally Taylor","SCS1","Deputy Director, DFID Ghana","Deputy Director, DFID Ghana","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A30","","1","75000","79999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B86"
"B49","Elizabeth Carriere","SCS1","Head of DFID South Sudan","Head of DFID South Sudan","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B49"
"A2","Richard Calvert","SCS3","Director General, Finance and Corporate Performance","Responsible for high quality financial & corporate management with focus on results, VfM & Transparency. Delivery of lower cost professional sorporate centre & increrasing shared services with OGDs.","Department for International Development","Department for International Development","TMG","0845 300 4100","enquiry@dfid.gov.uk","A1","","1","125000","129999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/A2"
"B56","Marshall Elliott","SCS1","Deputy Director, DFID India","Deputy Director, DFID India","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A25","","1","75000","79999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B56"
"B111","Barbara Hendrie","SCS1","Deputy Director, Global Partnerships Department","Deputy Director, Global Partnerships Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A40","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B111"
"B117","Ellen Wratten","SCS1","Deputy Director, Policy and Innovation","Deputy Director, Policy and Innovation","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A21","","1","75000","79999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B117"
"B54","Richard Dewdney","SCS1","Deputy Director, Africa Region","Deputy Director, Africa Region","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B54"
"B122","Jane Edmondson","SCS1","Head of Human Development Department","Head of Human Development Department","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A21","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B122"
"B118","Gail Marzetti","SCS1","Head of DFID Nepal","Head of DFID Nepal","Department for International Development","Department for International Development","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A25","","1","70000","74999","","Policy","","","http://reference.data.gov.uk/id/public-body/dfid/post/B118"
