"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Transport","Department for Transport","General Counsel","26","PB7","52406","69497","Grade 6","3","Operational Delivery","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts2"
"Department for Transport","Department for Transport","General Counsel","26","PB6","42643","56400","Knowledge Information Management Manager","1","Operational Delivery","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts3"
"Department for Transport","Department for Transport","General Counsel","26","PB5","33516","42240","Senior Executive Officer","5","Operational Delivery","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts4"
"Department for Transport","Department for Transport","General Counsel","26","PB4","27653","34710","Higher Executive Officer","1","Operational Delivery","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts5"
"Department for Transport","Department for Transport","General Counsel","26","PB4FS","26765","36435","Economist","2","economics","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts6"
"Department for Transport","Department for Transport","General Counsel","26","PB3","22838","27992","Executive Officer","2","Operational Delivery","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts7"
"Department for Transport","Department for Transport","General Counsel","26","PB2","19426","23355","Administrator","1","Operational Delivery","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts8"
"Department for Transport","Department for Transport","Corporate Group","33","PB7","52406","69497","HR Business Partner","1","Human Resources","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts9"
"Department for Transport","Department for Transport","Corporate Group","33","PB6","42643","56400","HR Business Partner","2","Human Resources","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts10"
"Department for Transport","Department for Transport","Corporate Group","33","PB5","33516","42240","HR Project Lead","1","Human Resources","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts11"
"Department for Transport","Department for Transport","Corporate Group","33","PB4","27653","34710","HR Adviser","3.6","Human Resources","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts12"
"Department for Transport","Department for Transport","Corporate Group","33","PB4FS","26765","36435","HR Project Adviser","1","Human Resources","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts13"
"Department for Transport","Department for Transport","Corporate Group","33","PB3","22838","27992","HR support officer","3","Human Resources","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts14"
"Department for Transport","Department for Transport","Corporate Group","34","AA (National)","14000","15200","Admin Assistant","19","Operational Delivery","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts15"
"Department for Transport","Department for Transport","Corporate Group","34","AO (National)","16735","18000","Administrator","85","Operational Delivery","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts16"
"Department for Transport","Department for Transport","Corporate Group","34","EO (National)","20235","23320","Executive Officer","87","Operational Delivery","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts17"
"Department for Transport","Department for Transport","Corporate Group","34","HEO (National)","25880","29255","Higher Executive Officer","35","Operational Delivery","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts18"
"Department for Transport","Department for Transport","Corporate Group","34","SEO (National)","32230","35900","Senior Executive Officer","17","Operational Delivery","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts19"
"Department for Transport","Department for Transport","Corporate Group","34","Grade 7 (National)","43125","52357","GRADE 7","10","Operational Delivery","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts20"
"Department for Transport","Department for Transport","Corporate Group","34","Grade 6 (National)","57855","63765","Grade 6","5","Operational Delivery","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts21"
"Department for Transport","Department for Transport","Corporate Group","46","PB4FS","26765","36435","Business Manager","1","Policy","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts22"
"Department for Transport","Department for Transport","Corporate Group","46","PB3","22838","27992","Business Support","1","Policy","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts23"
"Department for Transport","Department for Transport","Domestic Group","47","PB4FS","26765","36435","Business Manager","1","Policy","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts24"
"Department for Transport","Department for Transport","Domestic Group","47","PB2","19426","23355","Business Support","1","Policy","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts25"
"Department for Transport","Department for Transport","International, Strategy & Environment","48","PB6","42643","56400","Sponsorship Manager","1","Policy","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts26"
"Department for Transport","Department for Transport","International, Strategy & Environment","48","PB4FS","26765","36435","Business Manager","1","Policy","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts27"
"Department for Transport","Department for Transport","International, Strategy & Environment","48","PB3","22838","27992","Business Support","1","Policy","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts28"
"Department for Transport","Department for Transport","Corporate Group","50","PB4","27653","34710","Business Manager","1","Finance","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts29"
"Department for Transport","Department for Transport","Corporate Group","50","PB3","22838","27992","Business Support","1","Finance","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts30"
"Department for Transport","Department for Transport","Corporate Group","51","PB7","52406","69497","Senior IT Manager","1","Information Technology","/data/dft/2011-03-31/Final-DfT(C)-Transparency-Return-15-June-2011.xls","juniorPosts31"
