"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band A (National)","14000","14820","Accounting Support officer","5.76","Finance","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts2"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band A (National)","14000","14820","Accounting Support officer","6.77","Finance","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts3"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band B (National)","15615","18245","Accounting officer","61.96","Finance","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts4"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band B (National)","15615","18245","Administration Officer","9.53","Human Resources","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts5"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band B (National)","15615","18245","Commercial Officer","2.64","Human Resources","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts6"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band B (National)","15615","18245","Finance Officer","92.52","Finance","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts7"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band B (National)","15615","18245","Operational Delivery Officer","114.03","Operational Research","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts8"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band C (National)","20780","24230","Accounts Officer","25.36","Finance","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts9"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band C (National)","20780","24230","Accounts Team Leader","15.52","Finance","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts10"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band C (National)","20780","24230","Commercial Team Leader","14.94","Human Resources","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts11"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band C (National)","20780","24230","Finance Team Leader","18.17","Finance","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts12"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band C (National)","20780","24230","Support Officer","2.59","Human Resources","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts13"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band C (National)","20780","24230","Team Leader","1.81","Human Resources","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts14"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band C (National)","20780","24230","Team Leader / Payments Manager","33.84","Human Resources","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts15"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band D (National)","24660","29800","Accounts Team Leader","26.2","Finance","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts16"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band D (National)","24660","29800","Commercial Manager","8.57","Human Resources","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts17"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band D (National)","24660","29800","Finance Manager","6.81","Finance","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts18"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band D (National)","24660","29800","Office Manager","7","Human Resources","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts19"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band D (National)","24660","29800","Operational manager","13.09","Operational Delivery","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts20"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band D (National)","24660","29800","Private Secretary","1","Human Resources","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","juniorPosts21"
