"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Education","Department of Education","Private Office","DfE-1001","Grade 7","45300","57222","Private Secretary","1","Operational Delivery","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts2"
"Department for Education","Department of Education","Private Office","DfE-1001","HEO","25000","40828","Private Office Manager","1","Operational Delivery","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts3"
"Department for Education","Department of Education","Legal Advisers Office","DfE-1001","HEO","25000","40828","Legal Adviser","1","Law","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts4"
"Department for Education","Department of Education","Legal Advisers Office","DfE-1001","EO","21916","32232","Legal Adviser","2","Law","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts5"
"Department for Education","Department of Education","Private Office","DfE-1001","EO","21916","32232","Private Office Support Officer","1","Operational Delivery","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts6"
"Department for Education","Department of Education","Legal Advisers Office","DfE-1001","EA/AO","15266","24858","Legal Support Officer","1","Law","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts7"
"Department for Education","Department of Education","Private Office","DfE-1001","EA/AO","15266","24858","Private Office Support Officer","2.8","Operational Delivery","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts8"
"Department for Education","Department of Education","Private Office","DfE-1002","Grade 7","45300","57222","Private Office Senior Manager","2","Operational Delivery","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts9"
"Department for Education","Department of Education","Private Office","DfE-1002","SEO","33200","49008","Private Office Manager","1","Operational Delivery","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts10"
"Department for Education","Department of Education","Private Office","DfE-1002","HEO","25000","40828","Private Office Manager","11.63","Operational Delivery","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts11"
"Department for Education","Department of Education","Private Office","DfE-1002","EO","21916","32232","Private Office Support Officer","17","Operational Delivery","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts12"
"Department for Education","Department of Education","Private Office","DfE-1002","EA/AO","15266","24858","Private Office Support Officer","8.69","Operational Delivery","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts13"
"Department for Education","Department of Education","CYPFD Children Young People and Families Directorate Support Group","DfE-2002","Grade 6","55431","69187","senior finance manager","1","Finance","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts14"
"Department for Education","Department of Education","CYPFD Children Young People and Families Directorate Support Group","DfE-2002","Grade 7","45300","57222","senior finance manager","2","Finance","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts15"
"Department for Education","Department of Education","CYPFD Children Young People and Families Directorate Support Group","DfE-2002","Grade 7","45300","57222","senior policy adviser","1","Policy","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts16"
"Department for Education","Department of Education","CYPFD Children Young People and Families Directorate Support Group","DfE-2002","SEO","33200","49008","Finance Officer","4","Finance","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts17"
"Department for Education","Department of Education","CYPFD Children Young People and Families Directorate Support Group","DfE-2002","SEO","33200","49008","policy adviser","1","Policy","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts18"
"Department for Education","Department of Education","CYPFD Children Young People and Families Directorate Support Group","DfE-2002","HEO","25000","40828","policy adviser","1","Policy","/data/education/2011-03-31/DfE_March-2011-Upload.xls","juniorPosts19"
