"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Education","Department of Education","Finance and Commercial Group","DfE-4050","EA/AO","15266","24858","Finance Support Officer","2","Finance","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts10"
"Department for Education","Department of Education","Finance and Commercial Group","DfE-4050","EO","21916","32232","Finance Support Officer","5","Finance","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts11"
"Department for Education","Department of Education","Finance and Commercial Group","DfE-4050","HEO","25000","40828","Finance Officer","4.86","Finance","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts12"
"Department for Education","Department of Education","Finance and Commercial Group","DfE-4050","SEO","33200","49008","Management Accountant","1","Finance","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts13"
"Department for Education","Department of Education","Finance and Commercial Group","DfE-4050","SEO","33200","49008","Senior Finance Manager","3","Finance","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts14"
"Department for Education","Department of Education","Finance and Commercial Group","DfE-4050","SEO","33200","49008","Senior Management Accountant","1","Finance","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts15"
"Department for Education","Department of Education","Finance and Commercial Group","DfE-4050","Grade 7","45300","57222","Analyst","1","Finance","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts16"
"Department for Education","Department of Education","Finance and Commercial Group","DfE-4050","Grade 7","45300","57222","Senior Finance Manager","2","Finance","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts17"
"Department for Education","Department of Education","Finance and Commercial Group","DfE-4050","Grade 7","45300","57222","Senior Management Accountant","2","Finance","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts18"
"Department for Education","Department of Education","Finance and Commercial Group","DfE-4050","Grade 6","55431","69187","Senior Finance Manager","2","Finance","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts19"
"Department for Education","Department of Education","Free Schools Group","DfE-5033","EO","21916","32232","Policy Adviser","2","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts65"
"Department for Education","Department of Education","Free Schools Group","DfE-5033","Grade 6","55431","69187","Senior policy adviser","2","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts66"
"Department for Education","Department of Education","Free Schools Group","DfE-5033","Grade 7","45300","57222","Senior policy adviser","8","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts67"
"Department for Education","Department of Education","Free Schools Group","DfE-5033","HEO","25000","40828","Policy Adviser","4.67","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts68"
"Department for Education","Department of Education","Free Schools Group","DfE-5033","SEO","33200","49008","Policy Adviser","2","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts69"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","EO","21916","32232","Policy Adviser","4.96","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts77"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","EO","21916","32232","Policy Adviser","4.96","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts77"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","Grade 6","55431","69187","Senior policy adviser","0.81","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts78"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","Grade 6","55431","69187","Senior policy adviser","0.81","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts78"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","Grade 7","45300","57222","Senior policy adviser","3.9","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts79"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","Grade 7","45300","57222","Senior policy adviser","3.9","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts79"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","HEO","25000","40828","Policy Adviser","8","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts80"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","HEO","25000","40828","Policy Adviser","8","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts80"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","SEO","33200","49008","Policy Adviser","2.6","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts81"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","SEO","33200","49008","Policy Adviser","2.6","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts81"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","EO","21916","32232","Policy Adviser","4.96","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts82"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","EO","21916","32232","Policy Adviser","4.96","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts82"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","Grade 6","55431","69187","Senior policy adviser","0.81","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts83"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","Grade 6","55431","69187","Senior policy adviser","0.81","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts83"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","Grade 7","45300","57222","Senior policy adviser","3.9","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts84"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","Grade 7","45300","57222","Senior policy adviser","3.9","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts84"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","HEO","25000","40828","Policy Adviser","8","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts85"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","HEO","25000","40828","Policy Adviser","8","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts85"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","SEO","33200","49008","Policy Adviser","2.6","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts86"
"Department for Education","Department of Education","Education Funding Group","DfE-5043","SEO","33200","49008","Policy Adviser","2.6","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts86"
"Department for Education","Department of Education","Free Schools Group","DfE-5031","EA/AO","15266","24858","Policy Adviser","1","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts101"
"Department for Education","Department of Education","Free Schools Group","DfE-5031","Grade 6","55431","69187","Senior policy adviser","5.48","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts102"
"Department for Education","Department of Education","Free Schools Group","DfE-5031","Grade 7","45300","57222","Senior policy adviser","20.14","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts103"
"Department for Education","Department of Education","Free Schools Group","DfE-5031","HEO","25000","40828","Policy Adviser","5.97","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts104"
"Department for Education","Department of Education","Free Schools Group","DfE-5031","SEO","33200","49008","Policy Adviser","6","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts105"
"Department for Education","Department of Education","Free Schools Group","DfE-5031","EO","21916","32232","Policy Adviser","2.65","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts106"
"Department for Education","Department of Education","Academies Delivery Group","DfE-5015","Grade 6","55431","69187","Programme Manager","3","Operational delivery","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts107"
"Department for Education","Department of Education","Academies Delivery Group","DfE-5015","EA/AO","15266","24858","Programme support officer","7.84","Operational delivery","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts108"
"Department for Education","Department of Education","Academies Delivery Group","DfE-5015","EO","21916","32232","Programme support officer","14.2","Operational delivery","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts109"
"Department for Education","Department of Education","Academies Delivery Group","DfE-5015","Grade 7","45300","57222","Project Manager","13.61","Operational delivery","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts110"
"Department for Education","Department of Education","Academies Delivery Group","DfE-5015","HEO","25000","40828","Project Support Officer","36.89","Operational delivery","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts111"
"Department for Education","Department of Education","Academies Delivery Group","DfE-5015","SEO","33200","49008","Project Support Officer","26.67","Operational delivery","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts112"
"Department for Education","Department of Education","Education Funding Group","DfE-5062","EO","21916","32232","Policy Adviser","1.81","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts124"
"Department for Education","Department of Education","Education Funding Group","DfE-5062","Grade 6","55431","69187","Senior policy adviser","1.8","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts125"
"Department for Education","Department of Education","Education Funding Group","DfE-5062","Grade 7","45300","57222","Senior policy adviser","3","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts126"
"Department for Education","Department of Education","Education Funding Group","DfE-5062","HEO","25000","40828","Policy Adviser","2.71","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts127"
"Department for Education","Department of Education","Education Funding Group","DfE-5062","SEO","33200","49008","Policy Adviser","3","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts128"
"Department for Education","Department of Education","Infrastructure and Funding Directorate Support Team","DfE-5001","Grade 7","45300","57222","Business and Programme Team Leader","1","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts152"
"Department for Education","Department of Education","Infrastructure and Funding Directorate Support Team","DfE-5001","EO","21916","32232","Diary Manager","1","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts153"
"Department for Education","Department of Education","Infrastructure and Funding Directorate Support Team","DfE-5001","EO","21916","32232","Office Manager","1","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts154"
"Department for Education","Department of Education","Infrastructure and Funding Directorate Support Team","DfE-5001","EO","21916","32232","Personal Assistant","0.75","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts155"
"Department for Education","Department of Education","Infrastructure and Funding Directorate Support Team","DfE-5001","Grade 6","55431","69187","Policy Adviser","1","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts156"
"Department for Education","Department of Education","Infrastructure and Funding Directorate Support Team","DfE-5001","SEO","33200","49008","Policy Adviser","0.5","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts157"
"Department for Education","Department of Education","Infrastructure and Funding Directorate Support Team","DfE-5001","EA/AO","15266","24858","Policy Support Officer","1","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts158"
"Department for Education","Department of Education","Infrastructure and Funding Directorate Support Team","DfE-5001","EO","21916","32232","Policy Support Officer","3.92","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts159"
"Department for Education","Department of Education","Infrastructure and Funding Directorate Support Team","DfE-5001","Grade 7","45300","57222","Programme officer manager","1","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts160"
"Department for Education","Department of Education","Free Schools Group","DfE-5032","EA/AO","15266","24858","Policy Adviser","2","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts161"
"Department for Education","Department of Education","Free Schools Group","DfE-5032","EO","21916","32232","Policy Adviser","4","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts162"
"Department for Education","Department of Education","Free Schools Group","DfE-5032","Grade 6","55431","69187","Senior policy adviser","2","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts163"
"Department for Education","Department of Education","Free Schools Group","DfE-5032","Grade 7","45300","57222","Senior policy adviser","5.83","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts164"
"Department for Education","Department of Education","Free Schools Group","DfE-5032","HEO","25000","40828","Policy Adviser","3","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts165"
"Department for Education","Department of Education","Free Schools Group","DfE-5032","SEO","33200","49008","Policy Adviser","2.5","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts166"
"Department for Education","Department of Education","Free Schools Group","DfE-5030","EA/AO","15266","24858","Programme support officer","2","Programme and Project Management (PPM)","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts167"
"Department for Education","Department of Education","Free Schools Group","DfE-5030","EO","21916","32232","Programme support officer","1.87","Programme and Project Management (PPM)","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts168"
"Department for Education","Department of Education","Free Schools Group","DfE-5030","HEO","25000","40828","Programme support officer","2","Programme and Project Management (PPM)","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts169"
"Department for Education","Department of Education","Free Schools Group","DfE-5030","SEO","33200","49008","Policy Adviser","1","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts170"
"Department for Education","Department of Education","Free Schools Group","DfE-5030","SEO","33200","49008","Project Support Officer","1","Programme and Project Management (PPM)","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts171"
"Department for Education","Department of Education","Academies Policy and School Organisation Group","DfE-5024","EA/AO","15266","24858","Policy Adviser","1","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts172"
"Department for Education","Department of Education","Academies Policy and School Organisation Group","DfE-5024","EO","21916","32232","Policy Adviser","7.49","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts173"
"Department for Education","Department of Education","Academies Policy and School Organisation Group","DfE-5024","Grade 7","45300","57222","Senior policy adviser","10.8","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts174"
"Department for Education","Department of Education","Academies Policy and School Organisation Group","DfE-5024","Grade 6","55431","69187","Senior policy adviser","3","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts175"
"Department for Education","Department of Education","Academies Policy and School Organisation Group","DfE-5024","HEO","25000","40828","Policy Adviser","16.45","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts176"
"Department for Education","Department of Education","Academies Policy and School Organisation Group","DfE-5024","SEO","33200","49008","Policy Adviser","14","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts177"
"Department for Education","Department of Education","Free Schools Group","DfE-5036","EA/AO","15266","24858","Policy Adviser","3","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts188"
"Department for Education","Department of Education","Free Schools Group","DfE-5036","EO","21916","32232","Policy Adviser","4","Policy","/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls","juniorPosts189"
