"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","3","Executive Officer London","24992","29060","Diary Manager","1","Other","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts2"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","3","Executive Officer London","24992","29060","Diary Manager","2","Other","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts3"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","3","Higher Executive Officer London","29261","34424","Policy Support Officer","1","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts4"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","3","Senior Executive Officer London","34713","41851","Policy Adviser","1","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts5"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","8","Executive Officer London","24992","29060","Diary Manager","1","Other","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts6"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","8","Grade 7 London","46975","56597","Senior policy adviser","3","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts7"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","8","Grade 6 London","56707","68322","Senior policy adviser","1","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts8"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","11","Executive Officer London","24992","29060","Diary Manager","1","Other","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts9"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","11","Higher Executive Officer London","29261","34424","Policy Support Officer","1","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts10"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","11","Grade 7 London","46975","56597","Policy Adviser","1","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts11"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","11","Grade 6 London","56707","68322","Senior policy adviser","2","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts12"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","13","Executive Officer London","24992","29060","Policy Support Officer","2","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts13"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","13","Higher Executive Officer London","29261","34424","Policy Support Officer","2","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts14"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","13","Fast Stream London","27000","33654","Policy Adviser","1","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts15"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","13","Grade 7 London","46975","56597","Senior policy adviser","6","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts16"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","13","Grade 6 London","56707","68322","Senior policy adviser","2","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts17"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","16","Executive Officer London","24992","29060","Policy Support Officer","1","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts18"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","16","Higher Executive Officer London","29261","34424","Policy Support Officer","4","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts19"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","16","Fast Stream London","27000","33654","Policy Adviser","1","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts20"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","16","Grade 6 London","56707","68322","Senior policy adviser","2","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts21"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","16","Grade 7 London","46975","56597","Senior policy adviser","3.6","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts22"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","17","Executive Officer London","24992","29060","Policy Support Officer","1","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts23"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","17","Executive Officer National","21250","25060","Policy Support Officer","1","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts24"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","17","Higher Executive Officer London","29261","34424","Policy Support Officer","2","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts25"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","17","Higher Executive Officer National","25261","30424","Policy Support Officer","1","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts26"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","17","Senior Executive Officer London","34713","41851","Policy Adviser","3","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts27"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","17","Grade 7 London","46975","56597","Senior policy adviser","3.26","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts28"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","17","Grade 7 National","42975","52597","Senior policy adviser","1","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts29"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","17","Grade 6 London","56707","68322","Senior policy adviser","3","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts30"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","19","Executive Officer London","24992","29060","Policy Support Officer","2","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts31"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","19","Higher Executive Officer London","29261","34424","Policy Support Officer","2","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts32"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","19","Higher Executive Officer National","25261","30424","Policy Support Officer","0.97","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts33"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","19","Senior Executive Officer London","34713","41851","Policy Adviser","1","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts34"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","19","Grade 7 London","46975","56597","Senior policy adviser","7","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts35"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","19","Grade 6 London","56707","68322","Senior policy adviser","2","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts36"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","20","Executive Officer London","24992","29060","Policy Support Officer","2","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts37"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","20","Higher Executive Officer London","29261","34424","Policy Support Officer","5","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts38"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","20","Fast Stream London","27000","33654","Policy Adviser","2","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts39"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","20","Grade 7 London","46975","56597","Senior policy adviser","14","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts40"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","20","Grade 6 London","56707","68322","Senior policy adviser","7","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts41"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","21","Administrative Officer National","17534","19146","Policy Support Officer","13.64","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts42"
"Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","21","Executive Officer National","21250","25060","Policy Support Officer","8.49","Policy","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","juniorPosts43"
