"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department of Health","Department of Health","Chief Medical Officer's Private Office","CMO001","G6","57075","75035","Admin Support","1","Policy","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts2"
"Department of Health","Department of Health","Chief Medical Officer's Private Office","CMO001","G7","45299","61976","Private Secretary","1","Policy","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts3"
"Department of Health","Department of Health","Chief Medical Officer's Private Office","CMO001","G7","45299","61976","Not in post","1","Policy","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts4"
"Department of Health","Department of Health","Chief Medical Officer's Private Office","CMO001","FS","29992","41546","Private Secretary","1","Policy","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts5"
"Department of Health","Department of Health","Chief Medical Officer's Private Office","CMO001","SEO","33675","45769","Private Secretary","1","Policy","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts6"
"Department of Health","Department of Health","Chief Medical Officer's Private Office","CMO001","SEO","33675","45769","Not in post","1","Policy","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts7"
"Department of Health","Department of Health","Chief Medical Officer's Private Office","CMO001","HEO","26492","37316","Private Secretary","1","Policy","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts8"
"Department of Health","Department of Health","Chief Medical Officer's Private Office","CMO001","HEO","26492","37316","Not in post","1","Policy","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts9"
"Department of Health","Department of Health","Chief Medical Officer's Private Office","CMO001","EO","21438","30275","Diary secretary","1","Policy","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts10"
"Department of Health","Department of Health","Chief Medical Officer's Private Office","CMO001","EO","21438","30275","Executive Assistant","2","Policy","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts11"
"Department of Health","Department of Health","Chief Medical Officer's Private Office","CMO001","EO","21438","30275","Not in post","1","Policy","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts12"
"Department of Health","Department of Health","Chief Medical Officer's Private Office","CMO001","AO","17209","23567","Project Support Officer","1","Policy","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts13"
"Department of Health","Department of Health","Advisory Committee on Clinical Excellence Awards","RDD003","G7","45299","61976","Business Manager","1","Policy","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts14"
"Department of Health","Department of Health","Advisory Committee on Clinical Excellence Awards","RDD003","SEO","33675","45769","Executive Assistant","1","Policy","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts15"
"Department of Health","Department of Health","Advisory Committee on Clinical Excellence Awards","RDD003","HEO","26492","37316","Executive Assistant","1","Policy","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts16"
"Department of Health","Department of Health","Advisory Committee on Clinical Excellence Awards","RDD003","EO","21438","30275","Executive Assistant","4","Policy","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts17"
"Department of Health","Department of Health","Advisory Committee on Clinical Excellence Awards","RDD003","EO","21438","30275","Finance Support Officer","1","Policy","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts18"
"Department of Health","Department of Health","Chief Nursing Officer's Directorate","CNO001","G6","57075","75035","Private Secretary","1","Operational delivery","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts19"
"Department of Health","Department of Health","Chief Nursing Officer's Directorate","CNO001","EO","21438","30275","Private Secretary","1","Operational delivery","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts20"
"Department of Health","Department of Health","Chief Nursing Officer's Directorate","CNO001","EO","21438","30275","Diary secretary","1","Operational delivery","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts21"
"Department of Health","Department of Health","Chief Nursing Officer's Directorate","CNO001","AO","17209","23567","Admin Support","0.8","Operational delivery","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts22"
"Department of Health","Department of Health","Chief Nursing Officer's Directorate","CNO002","G6","57075","75035","Statistician","2","Statisticians","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts23"
"Department of Health","Department of Health","Chief Nursing Officer's Directorate","CNO002","G7","45299","61976","Statistician","2","Statisticians","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","juniorPosts24"
