"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Transport","Driver and Vehicle Licensing Agency","Chief Executive","16","SEO (National)","32230","35900","Business Manager","1","Operational Delivery","/data/dft/2011-03-31/Final-DVLA-Transparency-Return-26-May-2011.xls","juniorPosts2"
"Department for Transport","Driver and Vehicle Licensing Agency","Chief Executive","16","HEO (National)","25880","29255","Business Support","1","Operational Delivery","/data/dft/2011-03-31/Final-DVLA-Transparency-Return-26-May-2011.xls","juniorPosts3"
"Department for Transport","Driver and Vehicle Licensing Agency","Chief Executive","16","AO (National)","16735","18000","Personal Assistant","1","Operational Delivery","/data/dft/2011-03-31/Final-DVLA-Transparency-Return-26-May-2011.xls","juniorPosts4"
"Department for Transport","Driver and Vehicle Licensing Agency","DVLA E-Services & Enforcement","191","Grade 7 (National)","43125","52357","senior operational manager","2","Operational Delivery","/data/dft/2011-03-31/Final-DVLA-Transparency-Return-26-May-2011.xls","juniorPosts5"
"Department for Transport","Driver and Vehicle Licensing Agency","DVLA E-Services & Enforcement","191","SEO (National)","32230","35900","senior operational manager","8.9","Operational Delivery","/data/dft/2011-03-31/Final-DVLA-Transparency-Return-26-May-2011.xls","juniorPosts6"
"Department for Transport","Driver and Vehicle Licensing Agency","DVLA E-Services & Enforcement","191","HEO (National)","25880","29255","Operational manager","28.4","Operational Delivery","/data/dft/2011-03-31/Final-DVLA-Transparency-Return-26-May-2011.xls","juniorPosts7"
"Department for Transport","Driver and Vehicle Licensing Agency","DVLA E-Services & Enforcement","191","EO (National)","20235","23320","Operational manager","95","Operational Delivery","/data/dft/2011-03-31/Final-DVLA-Transparency-Return-26-May-2011.xls","juniorPosts8"
"Department for Transport","Driver and Vehicle Licensing Agency","DVLA E-Services & Enforcement","191","AO (National)","16735","18000","Operations Support Officer","201.5","Operational Delivery","/data/dft/2011-03-31/Final-DVLA-Transparency-Return-26-May-2011.xls","juniorPosts9"
"Department for Transport","Driver and Vehicle Licensing Agency","DVLA E-Services & Enforcement","191","AA (National)","14000","15200","Operations Support Officer","22.8","Operational Delivery","/data/dft/2011-03-31/Final-DVLA-Transparency-Return-26-May-2011.xls","juniorPosts10"
"Department for Transport","Driver and Vehicle Licensing Agency","DVLA E-Services & Enforcement","191","Grade 7 (London)","46725","55840","senior operational manager","1","Operational Delivery","/data/dft/2011-03-31/Final-DVLA-Transparency-Return-26-May-2011.xls","juniorPosts11"
