"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Transport","Driving Standards Agency","Chief Executive","15","AO","16385","19889","Fraud and Integrity Support","1","Knowledge and Information Management (KIM)","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts2"
"Department for Transport","Driving Standards Agency","Chief Executive","15","EO","21348","24687","Fraud and Integrity Adviser","2.46","Knowledge and Information Management (KIM)","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts3"
"Department for Transport","Driving Standards Agency","Chief Executive","15","HEO","26051","30427","Fraud and Integrity Adviser","6","Knowledge and Information Management (KIM)","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts4"
"Department for Transport","Driving Standards Agency","Chief Executive","15","HEO","26051","30427","Private Secretary","1","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts5"
"Department for Transport","Driving Standards Agency","Chief Executive","15","Grade 7","39620","52206","Fraud and Integrity Manager","1","Knowledge and Information Management (KIM)","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts6"
"Department for Transport","Driving Standards Agency","Corporate Support","15","AA","14351","16711","Correspondence Handler","3.67","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts7"
"Department for Transport","Driving Standards Agency","Corporate Support","15","AO","16385","19889","Correspondence Handler","25.49","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts8"
"Department for Transport","Driving Standards Agency","Corporate Support","15","AO","16385","19889","Operational Researcher","1","Social Research","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts9"
"Department for Transport","Driving Standards Agency","Corporate Support","15","EO","21348","24687","Correspondence Manager","9.34","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts10"
"Department for Transport","Driving Standards Agency","Corporate Support","15","EO","21348","24687","Policy Adviser","1","Policy","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts11"
"Department for Transport","Driving Standards Agency","Corporate Support","15","EO","21348","24687","Operational Researcher","1","Social Research","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts12"
"Department for Transport","Driving Standards Agency","Corporate Support","15","HEO","26051","30427","Correspondence Manager","1.94","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts13"
"Department for Transport","Driving Standards Agency","Corporate Support","15","HEO","26051","30427","Policy Adviser","5","Policy","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts14"
"Department for Transport","Driving Standards Agency","Corporate Support","15","HEO","26051","30427","Operational Researcher","2","Social Research","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts15"
"Department for Transport","Driving Standards Agency","Corporate Support","15","SEO","33052","38400","Senior policy adviser","2","Policy","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts16"
"Department for Transport","Driving Standards Agency","Corporate Support","15","SEO","33052","38400","Senior Operational Researcher","1","Social Research","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts17"
"Department for Transport","Driving Standards Agency","Corporate Support","15","SEO","33052","38400","Senior Correspondence Manager","2.63","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts18"
"Department for Transport","Driving Standards Agency","Corporate Support","15","Grade 7","39620","52206","Senior policy adviser","1","Policy","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts19"
"Department for Transport","Driving Standards Agency","Corporate Support","15","Grade 7","39620","52206","Senior Operational Researcher","1","Social Research","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts20"
"Department for Transport","Driving Standards Agency","Corporate Support","15","Grade 7","39620","52206","Senior Correspondence Manager","1","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts21"
"Department for Transport","Driving Standards Agency","Corporate Support","15","Grade 6 Director","54699","69828","Director","1","Policy","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts22"
"Department for Transport","Driving Standards Agency","Corporate Support","15","SPS","21348","24687","Private Secretary","1","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts23"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","AO","16385","19889","Communications support officer","1","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts24"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","AO","16385","19889","Learning Materials Support Officer","2","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts25"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","EO","21348","24687","Communications Manager","2","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts26"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","EO","21348","24687","Learning Materials Manager","7.62","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts27"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","EO","21348","24687","Press Officer","1","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts28"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","HEO","26051","30427","Communications Manager","5.6","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts29"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","HEO","26051","30427","Learning Materials Manager","2","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts30"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","HEO","26051","30427","Press Officer","1","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts31"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","SEO","33052","38400","Learning Materials Senior Manager","1","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts32"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","Grade 7","39620","52206","Learning Materials Senior Manager","1","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts33"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","Grade 7","39620","52206","Senior Communications Manager","3","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts34"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","Grade 6","51305","63335","Senior Communications Manager","1","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts35"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","Senior Driving Examiner","25409","27814","Learning Materials Manager","1","Communications","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts36"
"Department for Transport","Driving Standards Agency","Finance & Coporate Services","189","AA","14351","16711","Estates & Facilities Support Officer","2.89","Property and Asset Management","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts37"
"Department for Transport","Driving Standards Agency","Finance & Coporate Services","189","AO","16385","19889","Estates & Facilities Support Officer","3","Property and Asset Management","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts38"
"Department for Transport","Driving Standards Agency","Finance & Coporate Services","189","AO","16385","19889","Finance Support Officer","5.69","Finance","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts39"
"Department for Transport","Driving Standards Agency","Finance & Coporate Services","189","EO","21348","24687","Estates & Facilities Officer","2","Property and Asset Management","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts40"
"Department for Transport","Driving Standards Agency","Finance & Coporate Services","189","EO","21348","24687","Finance Officer","10.83","Finance","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts41"
"Department for Transport","Driving Standards Agency","Finance & Coporate Services","189","HEO","26051","30427","Estates & Facilities Officer","2","Property and Asset Management","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts42"
"Department for Transport","Driving Standards Agency","Finance & Coporate Services","189","HEO","26051","30427","Finance Officer","17","Finance","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts43"
"Department for Transport","Driving Standards Agency","Finance & Coporate Services","189","SEO","33052","38400","Senior Estates & Facilities Officer","3","Property and Asset Management","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts44"
"Department for Transport","Driving Standards Agency","Finance & Coporate Services","189","SEO","33052","38400","Senior Finance Officer","11.75","Finance","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts45"
"Department for Transport","Driving Standards Agency","Finance & Coporate Services","189","Grade 7","39620","52206","Senior Estates & Facilities Officer","1","Property and Asset Management","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts46"
"Department for Transport","Driving Standards Agency","Finance & Coporate Services","189","Grade 7","39620","52206","Senior Finance Officer","6","Finance","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts47"
"Department for Transport","Driving Standards Agency","Finance & Coporate Services","189","Grade 6","51305","63335","Senior Finance Officer","2","Finance","/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls","juniorPosts48"
