"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","Engineering and Physical Sciences Research Council","Communications, Information & Strategy","2000093","RC-G","54565","69721","Associate Director","1","Operational Delivery","/data/epsrc/2011-03-31/government-staff-and-salary-data----March-2011.xls","juniorPosts2"
"Department for Business Innovation and Skills","Engineering and Physical Sciences Research Council","Communications, Information & Strategy","2000093","RC-F","42769","54649","Head of Department/Programme","5.8","Communications","/data/epsrc/2011-03-31/government-staff-and-salary-data----March-2011.xls","juniorPosts3"
"Department for Business Innovation and Skills","Engineering and Physical Sciences Research Council","Communications, Information & Strategy","2000093","RC-F","42769","54649","Head of Performance and Evaluation","0.81","Communications","/data/epsrc/2011-03-31/government-staff-and-salary-data----March-2011.xls","juniorPosts4"
"Department for Business Innovation and Skills","Engineering and Physical Sciences Research Council","Communications, Information & Strategy","2000093","RC-F","42769","54649","Head of Strategy and Business Planning","0.86","Communications","/data/epsrc/2011-03-31/government-staff-and-salary-data----March-2011.xls","juniorPosts5"
"Department for Business Innovation and Skills","Engineering and Physical Sciences Research Council","Communications, Information & Strategy","2000093","RC-F","42769","54649","Head of Communications","1","Communications","/data/epsrc/2011-03-31/government-staff-and-salary-data----March-2011.xls","juniorPosts6"
"Department for Business Innovation and Skills","Engineering and Physical Sciences Research Council","Communications, Information & Strategy","2000093","RC-F","42769","54649","Head of Information Services","1","Communications","/data/epsrc/2011-03-31/government-staff-and-salary-data----March-2011.xls","juniorPosts7"
"Department for Business Innovation and Skills","Engineering and Physical Sciences Research Council","Communications, Information & Strategy","2000093","RC-E","33780","43164","Senior Communications Manager","4.34","Communications","/data/epsrc/2011-03-31/government-staff-and-salary-data----March-2011.xls","juniorPosts8"
"Department for Business Innovation and Skills","Engineering and Physical Sciences Research Council","Communications, Information & Strategy","2000093","RC-E","33780","43164","Senior Web Manager","1","Communications","/data/epsrc/2011-03-31/government-staff-and-salary-data----March-2011.xls","juniorPosts9"
"Department for Business Innovation and Skills","Engineering and Physical Sciences Research Council","Communications, Information & Strategy","2000093","RC-E","33780","43164","Senior Strategy Manager","4.42","Communications","/data/epsrc/2011-03-31/government-staff-and-salary-data----March-2011.xls","juniorPosts10"
"Department for Business Innovation and Skills","Engineering and Physical Sciences Research Council","Communications, Information & Strategy","2000093","RC-E","33780","43164","Senior IT Manager","2","Information Technology","/data/epsrc/2011-03-31/government-staff-and-salary-data----March-2011.xls","juniorPosts11"
