"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","Engineering Construction Industry Training Board","Executive","6038","1","14136","29000","Secretary","1","Other","/data/ecitb/2011-09-30/300911-ECITB-staff-and-salary-data-Sept-2011-HL-Version.xls","juniorPosts2"
"Department for Business Innovation and Skills","Engineering Construction Industry Training Board","Operations","6097","3","35535","51160","Regional Account Manager","15","Operational delivery","/data/ecitb/2011-09-30/300911-ECITB-staff-and-salary-data-Sept-2011-HL-Version.xls","juniorPosts3"
"Department for Business Innovation and Skills","Engineering Construction Industry Training Board","Operations","6097","2","2500","40928","Account Manager","14","Operational delivery","/data/ecitb/2011-09-30/300911-ECITB-staff-and-salary-data-Sept-2011-HL-Version.xls","juniorPosts4"
"Department for Business Innovation and Skills","Engineering Construction Industry Training Board","Operations","6097","1","14136","29000","Administrator","15","Operational delivery","/data/ecitb/2011-09-30/300911-ECITB-staff-and-salary-data-Sept-2011-HL-Version.xls","juniorPosts5"
"Department for Business Innovation and Skills","Engineering Construction Industry Training Board","Finance & Legal","6109","3","35535","51160","Head","1","Information Technology","/data/ecitb/2011-09-30/300911-ECITB-staff-and-salary-data-Sept-2011-HL-Version.xls","juniorPosts6"
"Department for Business Innovation and Skills","Engineering Construction Industry Training Board","Finance & Legal","6109","2","2500","40928","Manager","4","Other","/data/ecitb/2011-09-30/300911-ECITB-staff-and-salary-data-Sept-2011-HL-Version.xls","juniorPosts7"
"Department for Business Innovation and Skills","Engineering Construction Industry Training Board","Finance & Legal","6109","1","14136","29000","Administrator","14","Operational delivery","/data/ecitb/2011-09-30/300911-ECITB-staff-and-salary-data-Sept-2011-HL-Version.xls","juniorPosts8"
"Department for Business Innovation and Skills","Engineering Construction Industry Training Board","Development & Qualty","6051","3","35535","51160","Head","3","Operational delivery","/data/ecitb/2011-09-30/300911-ECITB-staff-and-salary-data-Sept-2011-HL-Version.xls","juniorPosts9"
"Department for Business Innovation and Skills","Engineering Construction Industry Training Board","Development & Qualty","6051","2","2500","40928","Project Manager","12","Operational delivery","/data/ecitb/2011-09-30/300911-ECITB-staff-and-salary-data-Sept-2011-HL-Version.xls","juniorPosts10"
"Department for Business Innovation and Skills","Engineering Construction Industry Training Board","Development & Qualty","6051","1","14136","29000","Administrator","7","Operational delivery","/data/ecitb/2011-09-30/300911-ECITB-staff-and-salary-data-Sept-2011-HL-Version.xls","juniorPosts11"
