"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","English Heritage","Chief Executive's Office","1","A","38933","73366","Non generic roles (less than 3 in post)","1","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts2"
"Department for Culture, Media and Sport","English Heritage","Chief Executive's Office","1","B","29023","53872","Non generic roles (less than 3 in post)","2","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts3"
"Department for Culture, Media and Sport","English Heritage","Chief Executive's Office","1","C","24764","44500","Non generic roles (less than 3 in post)","2","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts4"
"Department for Culture, Media and Sport","English Heritage","Chief Executive's Office","1","D","17506","34333","Senior Administrative/Clerical","1","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts5"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","2","A","38933","73366","Non generic roles (less than 3 in post)","1","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts6"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","2","C","24764","44500","Non generic roles (less than 3 in post)","1.9","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts7"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","2","D","17506","34333","Senior Administrative/Clerical","1","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts8"
"Department for Culture, Media and Sport","English Heritage","National Advice and Information","3","D","17506","34333","Senior Administrative/Clerical","1","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts9"
"Department for Culture, Media and Sport","English Heritage","National Collections","4","Band 3","42200","75900","Historic Properties Director","1","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts10"
"Department for Culture, Media and Sport","English Heritage","National Collections","4","A","38933","73366","Non generic roles (less than 3 in post)","1","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts11"
"Department for Culture, Media and Sport","English Heritage","National Collections","4","B","29023","53872","Finance Manager","4.7","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts12"
"Department for Culture, Media and Sport","English Heritage","National Collections","4","C","24764","44500","Non generic roles (less than 3 in post)","1","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts13"
"Department for Culture, Media and Sport","English Heritage","National Collections","4","D","17506","34333","Senior Administrative/Clerical","1","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts14"
"Department for Culture, Media and Sport","English Heritage","Resources","5","Band 3","42200","75900","Non generic roles (less than 3 in post)","1","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts15"
"Department for Culture, Media and Sport","English Heritage","Resources","5","B","29023","53872","Non generic roles (less than 3 in post)","1","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts16"
"Department for Culture, Media and Sport","English Heritage","Resources","5","C","24764","44500","Non generic roles (less than 3 in post)","2","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts17"
"Department for Culture, Media and Sport","English Heritage","Resources","5","D","17506","34333","Senior Administrative/Clerical","1","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts18"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","6","A","38933","73366","Senior Manager - Designation","4.1","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts19"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","6","B","29023","53872","Heritage Technical Expert","28.8","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts20"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","6","B","29023","53872","Non generic roles (less than 3 in post)","4","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts21"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","6","B","29023","53872","Project Manager","4","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts22"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","6","C","24764","44500","Data Coordinator","4.6","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts23"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","6","C","24764","44500","Data Standards Supervisor","3","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts24"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","6","C","24764","44500","Heritage Technical Expert","12.9","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts25"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","6","C","24764","44500","Non generic roles (less than 3 in post)","3","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts26"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","6","C","24764","44500","Project Manager","3","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts27"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","6","C","24764","44500","Senior Administrative/Clerical","1","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts28"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","6","D","17506","34333","Administrative/Clerical","0.8","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts29"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","6","D","17506","34333","Heritage Technical Expert","3","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts30"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","6","D","17506","34333","Non generic roles (less than 3 in post)","2","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts31"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","6","D","17506","34333","Senior Administrative/Clerical","23.9","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts32"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","7","A","38933","73366","Senior Manager/Specialist - Heritage Protection","18","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts33"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","7","B","29023","53872","Heritage Technical Expert","57.7","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts34"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","7","B","29023","53872","Non generic roles (less than 3 in post)","3","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts35"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","7","C","24764","44500","Heritage Investigator","19.4","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts36"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","7","C","24764","44500","Heritage Technical Expert","43.2","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts37"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","7","C","24764","44500","Non generic roles (less than 3 in post)","4.6","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts38"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","7","C","24764","44500","Project Manager","4.1","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts39"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","7","D","17506","34333","Research Officer","4.8","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts40"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","7","D","17506","34333","Senior Administrative/Clerical","7","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts41"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","7","E","15567","21848","Administrative/Clerical","6.8","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts42"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","7","F","12454","18207","General Office Support","2","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts43"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","8","Band 3","42200","75900","Planning Director","9","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts44"
"Department for Culture, Media and Sport","English Heritage","Heritage Protection and Planning","8","A","38933","73366","Senior Manager/Specialist - National Planning","3.8","","/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls","juniorPosts45"
