"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Environment, Food and Rural Affairs","Environment Agency","Anglian - Anglian Office - Anglian Office","AN_EARA001v3","AS2","15975","20525","Administration Officer","0.5","Operational Delivery","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","juniorPosts2"
"Department for Environment, Food and Rural Affairs","Environment Agency","Anglian - Anglian Office - Anglian Office","AN_EARA001v3","AS3","19850","25391","diary manager","1","Operational Delivery","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","juniorPosts3"
"Department for Environment, Food and Rural Affairs","Environment Agency","Anglian - Anglian Office - Environment Performance Manager","AN_REP1000v2","AS2","15975","20525","Business Support Officer","4.6","Operational Delivery","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","juniorPosts4"
"Department for Environment, Food and Rural Affairs","Environment Agency","Anglian - Anglian Office - Environment Performance Manager","AN_REP1000v2","AS2","15975","20525","Environment Support Officer","1","Operational Delivery","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","juniorPosts5"
"Department for Environment, Food and Rural Affairs","Environment Agency","Anglian - Anglian Office - Environment Performance Manager","AN_REP1000v2","AS3","19850","25391","diary manager","1","Operational Delivery","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","juniorPosts6"
"Department for Environment, Food and Rural Affairs","Environment Agency","Anglian - Anglian Office - Environment Performance Manager","AN_REP1000v2","AS3","19850","25391","Planning Officer","2","Planning","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","juniorPosts7"
"Department for Environment, Food and Rural Affairs","Environment Agency","Anglian - Anglian Office - Environment Performance Manager","AN_REP1000v2","AS3","19850","25391","Communications Support Officer","1","Communications","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","juniorPosts8"
"Department for Environment, Food and Rural Affairs","Environment Agency","Anglian - Anglian Office - Environment Performance Manager","AN_REP1000v2","AS4","24287","31591","Business Planning Officer","3","Planning","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","juniorPosts9"
"Department for Environment, Food and Rural Affairs","Environment Agency","Anglian - Anglian Office - Environment Performance Manager","AN_REP1000v2","AS4","24287","31591","Communications Officer","2","Communications","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","juniorPosts10"
"Department for Environment, Food and Rural Affairs","Environment Agency","Anglian - Anglian Office - Environment Performance Manager","AN_REP1000v2","AS4","24287","31591","Communications Support Officer","2","Communications","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","juniorPosts11"
