"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Government Equalities Office","Equality and Human Rights Commission","Commissioner's Office","1","Director","55000","90000","Director","0.5","Operational Delivery","/data/equalityhumanrights/2011-03-31/EHRC-Copy-of-government-staff-and-salary-data-FINAL-20110607v5.xls","juniorPosts2"
"Government Equalities Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 5","43680","53093","senior policy adviser","1","Operational Delivery","/data/equalityhumanrights/2011-03-31/EHRC-Copy-of-government-staff-and-salary-data-FINAL-20110607v5.xls","juniorPosts3"
"Government Equalities Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 5","43680","53093","Head","1","Operational Delivery","/data/equalityhumanrights/2011-03-31/EHRC-Copy-of-government-staff-and-salary-data-FINAL-20110607v5.xls","juniorPosts4"
"Government Equalities Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 5","43680","53093","Not In Post","1","Operational Delivery","/data/equalityhumanrights/2011-03-31/EHRC-Copy-of-government-staff-and-salary-data-FINAL-20110607v5.xls","juniorPosts5"
"Government Equalities Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 4","34224","41600","policy adviser","1","Operational Delivery","/data/equalityhumanrights/2011-03-31/EHRC-Copy-of-government-staff-and-salary-data-FINAL-20110607v5.xls","juniorPosts6"
"Government Equalities Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 4","34224","41600","Office Manager","1.5","Operational Delivery","/data/equalityhumanrights/2011-03-31/EHRC-Copy-of-government-staff-and-salary-data-FINAL-20110607v5.xls","juniorPosts7"
"Government Equalities Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 4","34224","41600","Correspondence Manager","1","Operational Delivery","/data/equalityhumanrights/2011-03-31/EHRC-Copy-of-government-staff-and-salary-data-FINAL-20110607v5.xls","juniorPosts8"
"Government Equalities Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 3","26815","32595","Executive Assistant","2","Operational Delivery","/data/equalityhumanrights/2011-03-31/EHRC-Copy-of-government-staff-and-salary-data-FINAL-20110607v5.xls","juniorPosts9"
"Government Equalities Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 3","26815","32595","diary manager","1","Operational Delivery","/data/equalityhumanrights/2011-03-31/EHRC-Copy-of-government-staff-and-salary-data-FINAL-20110607v5.xls","juniorPosts10"
"Government Equalities Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 2","20056","24378","Service Support Coordinator","1","Operational Delivery","/data/equalityhumanrights/2011-03-31/EHRC-Copy-of-government-staff-and-salary-data-FINAL-20110607v5.xls","juniorPosts11"
"Government Equalities Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 2","20056","24378","Operations Support Officer","2","Operational Delivery","/data/equalityhumanrights/2011-03-31/EHRC-Copy-of-government-staff-and-salary-data-FINAL-20110607v5.xls","juniorPosts12"
"Government Equalities Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 1","15000","18233","Administrator","1","Operational Delivery","/data/equalityhumanrights/2011-03-31/EHRC-Copy-of-government-staff-and-salary-data-FINAL-20110607v5.xls","juniorPosts13"
