"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Director","55000","90000","Director","0.5","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Director","55000","90000","Director","0.5","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Director","55000","90000","Director","0.5","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Director","55000","90000","Director","0.5","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 1","15000","18233","Administrator","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 1","15000","18233","Administrator","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 1","15000","18233","Administrator","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 1","15000","18233","Administrator","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 2","20056","24378","Operations Support Officer","2","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 2","20056","24378","Operations Support Officer","2","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 2","20056","24378","Operations Support Officer","2","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 2","20056","24378","Operations Support Officer","2","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 2","20056","24378","Service Support Coordinator","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 2","20056","24378","Service Support Coordinator","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 2","20056","24378","Service Support Coordinator","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 2","20056","24378","Service Support Coordinator","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 3","26815","32595","Executive Assistant","3","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 3","26815","32595","Executive Assistant","3","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 3","26815","32595","Executive Assistant","3","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 3","26815","32595","Executive Assistant","3","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 4","34224","41600","Office Manager","1.5","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 4","34224","41600","Office Manager","1.5","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 4","34224","41600","Office Manager","1.5","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 4","34224","41600","Office Manager","1.5","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 5","43680","53093","Advisor","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 5","43680","53093","Advisor","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 5","43680","53093","Advisor","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 5","43680","53093","Advisor","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 5","43680","53093","Senior policy adviser","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 5","43680","53093","Senior policy adviser","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Commissioner's Office","1","Level 5","43680","53093","Senior policy adviser","1","Operational delivery"
