"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Foreign and Commonwealth Office","FCO Services","HR","7","A2","17741","21398","HR support officer","7","Human Resources","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts2"
"Foreign and Commonwealth Office","FCO Services","HR","7","B3","21250","27180","Executive Assistant","1","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts3"
"Foreign and Commonwealth Office","FCO Services","HR","7","B3","21250","27180","HR support officer","5.76","Human Resources","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts4"
"Foreign and Commonwealth Office","FCO Services","HR","7","B3","21250","27180","Trade Union Representative","1","Human Resources","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts5"
"Foreign and Commonwealth Office","FCO Services","HR","7","C4","24775","32200","HR Officer","4.83","Human Resources","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts6"
"Foreign and Commonwealth Office","FCO Services","HR","7","C4","24775","32200","Trade Union Representative","1","Human Resources","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts7"
"Foreign and Commonwealth Office","FCO Services","HR","7","C5","32355","40750","HR Officer","5.39","Human Resources","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts8"
"Foreign and Commonwealth Office","FCO Services","HR","7","D6","43300","55150","Senior HR Manager","3.2","Human Resources","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts9"
"Foreign and Commonwealth Office","FCO Services","HR","7","D7","53000","65800","Senior HR Manager","1","Human Resources","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts10"
"Foreign and Commonwealth Office","FCO Services","Operations","4","A2","17741","21398","Finance Support Officer","5","Finance","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts11"
"Foreign and Commonwealth Office","FCO Services","Operations","4","A2","17741","21398","IT Support Officer","9.2","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts12"
"Foreign and Commonwealth Office","FCO Services","Operations","4","A2","17741","21398","Operations Support Officer","5.21","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts13"
"Foreign and Commonwealth Office","FCO Services","Operations","4","A2","17741","21398","Reprographic Support","5","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts14"
"Foreign and Commonwealth Office","FCO Services","Operations","4","A2","17741","21398","Technical Support Officer","3","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts15"
"Foreign and Commonwealth Office","FCO Services","Operations","4","B3","21250","27180","Executive Assistant","1","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts16"
"Foreign and Commonwealth Office","FCO Services","Operations","4","B3","21250","27180","Finance Support Officer","2","Finance","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts17"
"Foreign and Commonwealth Office","FCO Services","Operations","4","B3","21250","27180","IT Support Officer","24","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts18"
"Foreign and Commonwealth Office","FCO Services","Operations","4","B3","21250","27180","Operations Support Officer","1","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts19"
"Foreign and Commonwealth Office","FCO Services","Operations","4","B3","21250","27180","Policy Support Officer","1","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts20"
"Foreign and Commonwealth Office","FCO Services","Operations","4","B3","21250","27180","Project support officer","2.48","Programme and Project Management (PPM)","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts21"
"Foreign and Commonwealth Office","FCO Services","Operations","4","B3","21250","27180","Reprographic Support","1","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts22"
"Foreign and Commonwealth Office","FCO Services","Operations","4","B3","21250","27180","Technical Support Officer","5","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts23"
"Foreign and Commonwealth Office","FCO Services","Operations","4","TPB3","22000","28540","IT Manager","3","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts24"
"Foreign and Commonwealth Office","FCO Services","Operations","4","TPB3","22000","28540","IT Support Officer","3","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts25"
"Foreign and Commonwealth Office","FCO Services","Operations","4","TPB3","22000","28540","Technical Adviser","7","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts26"
"Foreign and Commonwealth Office","FCO Services","Operations","4","TPB3","22000","28540","Technical Adviser","1","Science & Engineering","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts27"
"Foreign and Commonwealth Office","FCO Services","Operations","4","TPB3","22000","28540","Technical Support Officer","14","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts28"
"Foreign and Commonwealth Office","FCO Services","Operations","4","C4","24775","32200","IT Manager","21.73","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts29"
"Foreign and Commonwealth Office","FCO Services","Operations","4","C5","32355","40750","senior operational manager","1","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts30"
"Foreign and Commonwealth Office","FCO Services","Operations","4","C5","32355","40750","Technical Adviser","1.58","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts31"
"Foreign and Commonwealth Office","FCO Services","Operations","4","C5","32355","40750","Technical Adviser","1","Science & Engineering","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts32"
"Foreign and Commonwealth Office","FCO Services","Operations","4","TPB4","26500","37740","IT Manager","35.65","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts33"
"Foreign and Commonwealth Office","FCO Services","Operations","4","TPB4","26500","37740","policy adviser","1","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts34"
"Foreign and Commonwealth Office","FCO Services","Operations","4","TPB4","26500","37740","Technical Adviser","80","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts35"
"Foreign and Commonwealth Office","FCO Services","Operations","4","TPB4","26500","37740","Technical Adviser","1","Science & Engineering","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts36"
"Foreign and Commonwealth Office","FCO Services","Operations","4","C5","32355","40750","IT Manager","19","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts37"
"Foreign and Commonwealth Office","FCO Services","Operations","4","C5","32355","40750","Project Manager","1","Programme and Project Management (PPM)","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts38"
"Foreign and Commonwealth Office","FCO Services","Operations","4","C5","32355","40750","senior operational manager","1","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts39"
"Foreign and Commonwealth Office","FCO Services","Operations","4","C5","32355","40750","Technical Adviser","6.25","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts40"
"Foreign and Commonwealth Office","FCO Services","Operations","4","TPB5","33000","42600","IT Manager","15","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts41"
"Foreign and Commonwealth Office","FCO Services","Operations","4","TPB5","33000","42600","policy adviser","1","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts42"
"Foreign and Commonwealth Office","FCO Services","Operations","4","TPB5","33000","42600","Technical Adviser","49","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts43"
"Foreign and Commonwealth Office","FCO Services","Operations","4","TPB5","33000","42600","Technical Adviser","5","Science & Engineering","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts44"
"Foreign and Commonwealth Office","FCO Services","Operations","4","D6","43300","55150","Senior IT Manager","8","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts45"
"Foreign and Commonwealth Office","FCO Services","Operations","4","D6","43300","55150","senior policy adviser","2","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts46"
"Foreign and Commonwealth Office","FCO Services","Operations","4","D6","43300","55150","Senior Technical Adviser","19","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts47"
"Foreign and Commonwealth Office","FCO Services","Operations","4","D6","43300","55150","Senior Technical Adviser","4","Science & Engineering","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts48"
"Foreign and Commonwealth Office","FCO Services","Operations","4","D7","53000","65800","Senior IT Manager","4","Operational Delivery","/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls","juniorPosts49"
