"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","South Asia & Afghanistan Directorate","11100","A1","16135","17166","policy adviser","2","Policy","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","juniorPosts2"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","South Asia & Afghanistan Directorate","11100","A2","18525","21696","policy adviser","51","Policy","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","juniorPosts3"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","South Asia & Afghanistan Directorate","11100","B3","21432","27385","policy adviser","51","Policy","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","juniorPosts4"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","South Asia & Afghanistan Directorate","11100","C4","26102","32509","policy adviser","96","Policy","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","juniorPosts5"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","South Asia & Afghanistan Directorate","11100","C5","32748","40500","policy adviser","21","Policy","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","juniorPosts6"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","South Asia & Afghanistan Directorate","11100","D6","43084","55782","policy adviser","57","Policy","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","juniorPosts7"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","South Asia & Afghanistan Directorate","11100","D7","54340","67861","policy adviser","17","Policy","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","juniorPosts8"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","South Asia & Afghanistan Directorate","11100","SMS1","58200","117750","policy adviser","18","Policy","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","juniorPosts9"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","International Institutions Directorate","11200","A1","16135","17166","policy adviser","5","Policy","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","juniorPosts10"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","International Institutions Directorate","11200","A2","18525","21696","policy adviser","38","Policy","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","juniorPosts11"
