"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Forestry Commission","Forestry Commission","Corporate & Forestry Support","FCSSGGB01","PB5","22883","27092","Administrative Manager","1","Operational delivery","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts2"
"Forestry Commission","Forestry Commission","Finance & Accounting Services","FCSSGGB02","PB1","55706","65898","Procurement Officer","1","Procurement","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts3"
"Forestry Commission","Forestry Commission","Finance & Accounting Services","FCSSGGB02","PB2","45350","53637","Finance Officer","3","Finance","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts4"
"Forestry Commission","Forestry Commission","Finance & Accounting Services","FCSSGGB02","PB3","36643","42386","Finance Officer","3","Finance","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts5"
"Forestry Commission","Forestry Commission","Finance & Accounting Services","FCSSGGB02","PB3","36643","42386","Procurement Officer","0.73","Procurement","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts6"
"Forestry Commission","Forestry Commission","Finance & Accounting Services","FCSSGGB02","PB4","30381","34997","Finance Officer","8.81","Finance","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts7"
"Forestry Commission","Forestry Commission","Finance & Accounting Services","FCSSGGB02","PB4","30381","34997","Procurement Officer","1","Procurement","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts8"
"Forestry Commission","Forestry Commission","Finance & Accounting Services","FCSSGGB02","PB5","22883","27092","Finance Officer","6.3","Finance","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts9"
"Forestry Commission","Forestry Commission","Finance & Accounting Services","FCSSGGB02","PB5","22883","27092","Procurement Officer","1.76","Procurement","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts10"
"Forestry Commission","Forestry Commission","Finance & Accounting Services","FCSSGGB02","PB6B","18145","19580","Administrative Officer","8","Finance","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts11"
"Forestry Commission","Forestry Commission","Human Resources","FCSSGGB03","PB2","45350","53637","HR Officer","3","Human resources","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts12"
"Forestry Commission","Forestry Commission","Human Resources","FCSSGGB03","PB3","36643","42386","HR Officer","7.81","Human resources","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts13"
"Forestry Commission","Forestry Commission","Human Resources","FCSSGGB03","PB4","30381","34997","HR Officer","19.88","Human resources","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts14"
"Forestry Commission","Forestry Commission","Human Resources","FCSSGGB03","PB4","30381","34997","IT Manager","1","Human resources","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts15"
"Forestry Commission","Forestry Commission","Human Resources","FCSSGGB03","PB5(OP)","26889","31807","HR Officer","11","Human resources","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts16"
"Forestry Commission","Forestry Commission","Human Resources","FCSSGGB03","PB5","22883","27092","Administrative Manager","5","Operational delivery","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts17"
"Forestry Commission","Forestry Commission","Human Resources","FCSSGGB03","PB5","22883","27092","HR Officer","4.86","Human resources","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts18"
"Forestry Commission","Forestry Commission","Human Resources","FCSSGGB03","PB6A","20023","23777","Personal Secretary","1","Human resources","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts19"
"Forestry Commission","Forestry Commission","Human Resources","FCSSGGB03","PB6B","18145","19580","Administrative Officer","17.11","Human resources","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts20"
"Forestry Commission","Forestry Commission","Human Resources","FCSSGGB03","PB6B","18145","19580","HR Officer","1","Human resources","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts21"
"Forestry Commission","Forestry Commission","Human Resources","FCSSGGB03","PB7","14449","15677","Administrative Officer","6","Human resources","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts22"
"Forestry Commission","Forestry Commission","Human Resources","FCSSGGB03","PB7","14449","15677","Cleaner","0.81","Human resources","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts23"
"Forestry Commission","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB1","55706","65898","Business Manager","1","Operational delivery","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts24"
"Forestry Commission","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB1","55706","65898","Policy Adviser","2","Policy","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts25"
"Forestry Commission","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB2","45350","53637","Auditor","1","Internal Audit","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts26"
"Forestry Commission","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB2","45350","53637","Business Manager","5","Operational delivery","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts27"
"Forestry Commission","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB2","45350","53637","Communications Manager","1","Communications","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts28"
"Forestry Commission","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB2","45350","53637","Economist","1","Economics","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts29"
"Forestry Commission","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB2","45350","53637","Policy Adviser","3","Policy","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts30"
"Forestry Commission","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB2","45350","53637","Statistician","1","Statisticians","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts31"
"Forestry Commission","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB3","36643","42386","Auditor","3","Internal Audit","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts32"
"Forestry Commission","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB3","36643","42386","Business Manager","6.76","Operational delivery","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts33"
"Forestry Commission","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB3","36643","42386","Communications Manager","3.5","Communications","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts34"
"Forestry Commission","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB3","36643","42386","Policy Adviser","2.68","Policy","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts35"
"Forestry Commission","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB3","36643","42386","Statistician","1","Statisticians","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts36"
"Forestry Commission","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB4","30381","34997","Administrative Manager","0.68","Operational delivery","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts37"
"Forestry Commission","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB4","30381","34997","Auditor","2.81","Internal Audit","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts38"
"Forestry Commission","Forestry Commission","Corporate & Forestry Support","FCSSGGB04","PB4","30381","34997","Business Manager","14","Operational delivery","/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls","juniorPosts39"
