"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","Gambling Commission","Corporate Affairs","COM_DIR","MANAGER","33896","50999","Communications Manager","2","Communications","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","juniorPosts2"
"Department for Culture, Media and Sport","Gambling Commission","Corporate Affairs","COM_DIR","OFFICER","18079","30999","Communications support officer","0.6","Communications","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","juniorPosts3"
"Department for Culture, Media and Sport","Gambling Commission","Executive","CEO","OFFICER","18079","30999","Executive Assistant","4","Operational delivery","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","juniorPosts4"
"Department for Culture, Media and Sport","Gambling Commission","Executive","CEO","SENIOR OFFICER","25587","40999","Executive Assistant","1","Operational delivery","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","juniorPosts5"
"Department for Culture, Media and Sport","Gambling Commission","Executive","CEO","SPECIALIST","43176","91584","Senior Statistician","0.1","Operational delivery","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","juniorPosts6"
"Department for Culture, Media and Sport","Gambling Commission","Finance","FIN_DIR","OFFICER","18079","30999","Finance Officer","0.7","Finance","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","juniorPosts7"
"Department for Culture, Media and Sport","Gambling Commission","Finance","FIN_DIR","ADMIN","14527","20999","Finance Support Officer","1","Finance","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","juniorPosts8"
"Department for Culture, Media and Sport","Gambling Commission","Finance","FIN_DIR","SENIOR OFFICER","25587","40999","Procurement Officer","1","Finance","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","juniorPosts9"
"Department for Culture, Media and Sport","Gambling Commission","Finance","FIN_DIR","MANAGER","33896","50999","Senior Finance Manager","2","Finance","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","juniorPosts10"
"Department for Culture, Media and Sport","Gambling Commission","Legal","LEG_DIR","OFFICER","18079","30999","Executive Assistant","3","Law","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","juniorPosts11"
"Department for Culture, Media and Sport","Gambling Commission","Legal","LEG_DIR","SENIOR OFFICER","25587","40999","Legal Adviser","1","Law","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","juniorPosts12"
"Department for Culture, Media and Sport","Gambling Commission","Legal","LEG_DIR","SPECIALIST","43176","91584","Legal Adviser","1","Law","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","juniorPosts13"
