"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department of Health","General Social Care Council","Directorate of Strategy and Social Work Education","501001","Grade 2","47659","62052","Head of Service","3","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts2"
"Department of Health","General Social Care Council","Directorate of Regulatory Operations","301001","Grade 2","47659","62052","Head of Service","1","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts3"
"Department of Health","General Social Care Council","Directorate of Corporate Resources","401001","Grade 2","47659","62052","Head of Service","4","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts4"
"Department of Health","General Social Care Council","Directorate of Strategy and Social Work Education","501001","Grade 3","38362","50003","Head of Service","2","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts5"
"Department of Health","General Social Care Council","Directorate of Corporate Resources","401001","Grade 3","38362","50003","Head of Service","3","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts6"
"Department of Health","General Social Care Council","Office of the Chair and Chief Executive","101001","Grade 4","31738","41272","Manager","1","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts7"
"Department of Health","General Social Care Council","Directorate of Strategy and Social Work Education","501001","Grade 4","31738","41272","Manager","9","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts8"
"Department of Health","General Social Care Council","Directorate of Regulatory Operations","301001","Grade 4","31738","41272","Manager","5","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts9"
"Department of Health","General Social Care Council","Directorate of Corporate Resources","401001","Grade 4","31738","41272","Manager","9","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts10"
"Department of Health","General Social Care Council","Directorate of Strategy and Social Work Education","501001","Grade 5","23509","33077","Manager","23.5","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts11"
"Department of Health","General Social Care Council","Directorate of Regulatory Operations","301001","Grade 5","23509","33077","Manager","9","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts12"
"Department of Health","General Social Care Council","Directorate of Corporate Resources","401001","Grade 5","23509","33077","Manager","11","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts13"
"Department of Health","General Social Care Council","Office of the Chair and Chief Executive","101001","Grade 6","18755","25381","Team Leader Officer","2","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts14"
"Department of Health","General Social Care Council","Directorate of Strategy and Social Work Education","501001","Grade 6","18755","25381","Team Leader Officer","21","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts15"
"Department of Health","General Social Care Council","Directorate of Regulatory Operations","301001","Grade 6","18755","25381","Team Leader Officer","20","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts16"
"Department of Health","General Social Care Council","Directorate of Corporate Resources","401001","Grade 6","18755","25381","Team Leader Officer","14","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts17"
"Department of Health","General Social Care Council","Office of the Chair and Chief Executive","101001","Grade 7","14427","19007","Officer / Administration / Assistant","2","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts18"
"Department of Health","General Social Care Council","Directorate of Strategy and Social Work Education","501001","Grade 7","14427","19007","Officer / Administration / Assistant","44","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts19"
"Department of Health","General Social Care Council","Directorate of Regulatory Operations","301001","Grade 7","14427","19007","Officer / Administration / Assistant","9","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts20"
"Department of Health","General Social Care Council","Directorate of Corporate Resources","401001","Grade 7","14427","19007","Officer / Administration / Assistant","17","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts21"
"Department of Health","General Social Care Council","Office of the Chair and Chief Executive","101001","Grade 8","11969","15635","Officer / Administration / Assistant","1","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts22"
"Department of Health","General Social Care Council","Directorate of Strategy and Social Work Education","501001","Grade 8","11969","15635","Officer / Administration / Assistant","23","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts23"
"Department of Health","General Social Care Council","Directorate of Regulatory Operations","301001","Grade 8","11969","15635","Officer / Administration / Assistant","11","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts24"
"Department of Health","General Social Care Council","Directorate of Corporate Resources","401001","Grade 8","11969","15635","Officer / Administration / Assistant","21","Operational Delivery","/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls","juniorPosts25"
