"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Government Equalities Office","Government Equalities Office","Director General's Support","1","EO","24951","30463","Personal Assistant","1","Operational Delivery","/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls","juniorPosts2"
"Government Equalities Office","Government Equalities Office","Corporate Services","3","EO","24951","30463","Corporate Support","2","Operational Delivery","/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls","juniorPosts3"
"Government Equalities Office","Government Equalities Office","Corporate Services","3","G6","58009","72464","Head of HR","1","Human Resources","/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls","juniorPosts4"
"Government Equalities Office","Government Equalities Office","Corporate Services","3","G7","47907","59708","Team Leader","3","Operational Delivery","/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls","juniorPosts5"
"Government Equalities Office","Government Equalities Office","Corporate Services","3","HEO","28668","35001","policy adviser","4.67","Operational Delivery","/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls","juniorPosts6"
"Government Equalities Office","Government Equalities Office","Corporate Services","3","SEO","36126","43309","senior policy adviser","3","Operational Delivery","/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls","juniorPosts7"
"Government Equalities Office","Government Equalities Office","Discrimination Law","4","EO","24951","30463","Personal Assistant","1","Operational Delivery","/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls","juniorPosts8"
"Government Equalities Office","Government Equalities Office","Discrimination Law","4","G6","58009","72464","Deputy Head of Division","2","Policy","/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls","juniorPosts9"
"Government Equalities Office","Government Equalities Office","Discrimination Law","4","G6","58009","72464","Team Leader","1","Policy","/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls","juniorPosts10"
"Government Equalities Office","Government Equalities Office","Discrimination Law","4","G7","47907","59708","Team Leader","7.8","Policy","/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls","juniorPosts11"
"Government Equalities Office","Government Equalities Office","Discrimination Law","4","HEO","28668","35001","policy adviser","3","Policy","/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls","juniorPosts12"
"Government Equalities Office","Government Equalities Office","Discrimination Law","4","SEO","36126","43309","senior policy adviser","9.8","Policy","/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls","juniorPosts13"
"Government Equalities Office","Government Equalities Office","Strategy and Implementation","5","EO","24951","30463","Personal Assistant","1","Operational Delivery","/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls","juniorPosts14"
"Government Equalities Office","Government Equalities Office","Strategy and Implementation","5","EO","24951","30463","Policy Support Officer","1","Policy","/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls","juniorPosts15"
"Government Equalities Office","Government Equalities Office","Strategy and Implementation","5","G6","58009","72464","Deputy Head of Division","1","Policy","/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls","juniorPosts16"
"Government Equalities Office","Government Equalities Office","Strategy and Implementation","5","G6","58009","72464","Team Leader","1","Policy","/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls","juniorPosts17"
"Government Equalities Office","Government Equalities Office","Strategy and Implementation","5","G7","47907","59708","Team Leader","4","Policy","/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls","juniorPosts18"
