"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Cabinet Office","Government Procurement Service","Corporate Services","RPSCS003","Band 1 (AO)","16229","19770","Estates Assistant","1","Planning","/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est.xls","juniorPosts10"
"Cabinet Office","Government Procurement Service","Corporate Services","RPSCS003","Band 1 (AO)","16229","19770","IT Support Assistant","1","Information Technology","/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est.xls","juniorPosts11"
"Cabinet Office","Government Procurement Service","Corporate Services","RPSCS003","Band 3 (HEO)","25534","33415","Estates Specialist","1","Planning","/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est.xls","juniorPosts12"
"Cabinet Office","Government Procurement Service","Corporate Services","RPSCS003","Band 3 (HEO)","25534","33415","IT Infrastructure Specialist","1","Information Technology","/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est.xls","juniorPosts13"
"Cabinet Office","Government Procurement Service","Corporate Services","RPSCS003","Band 3 (HEO)","25534","33415","Procurement Specialist","1.6","Operational delivery","/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est.xls","juniorPosts14"
"Cabinet Office","Government Procurement Service","Resources (Finance,IT, Internal Audit, Sourcing Operations & Whitehall)","RPSCS003","Band 1 (AO)","16229","19770","Assurance Assistant","1","Internal Audit","/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est.xls","juniorPosts15"
"Cabinet Office","Government Procurement Service","Resources (Finance,IT, Internal Audit, Sourcing Operations & Whitehall)","RPSCS003","Band 1 (AO)","16229","19770","Collections Assistant","1","Operational delivery","/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est.xls","juniorPosts16"
"Cabinet Office","Government Procurement Service","Resources (Finance,IT, Internal Audit, Sourcing Operations & Whitehall)","RPSCS003","Band 1 (AO)","16229","19770","Data Assistant","4","Other","/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est.xls","juniorPosts17"
"Cabinet Office","Government Procurement Service","Resources (Finance,IT, Internal Audit, Sourcing Operations & Whitehall)","RPSCS003","Band 1 (AO)","16229","19770","Finance Assistant Purchase Ledger","1","Finance","/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est.xls","juniorPosts18"
"Cabinet Office","Government Procurement Service","Resources (Finance,IT, Internal Audit, Sourcing Operations & Whitehall)","RPSCS003","Band 1 (AO)","16229","19770","Finance Assistant Sales","1","Finance","/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est.xls","juniorPosts19"
"Cabinet Office","Government Procurement Service","Resources (Finance,IT, Internal Audit, Sourcing Operations & Whitehall)","RPSCS003","Band 1 (AO)","16229","19770","IT Support Assistant","1","Information Technology","/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est.xls","juniorPosts20"
"Cabinet Office","Government Procurement Service","Resources (Finance,IT, Internal Audit, Sourcing Operations & Whitehall)","RPSCS003","Band 1 (AO)","16229","19770","Sourcing Assistant","1","Information Technology","/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est.xls","juniorPosts21"
"Cabinet Office","Government Procurement Service","Resources (Finance,IT, Internal Audit, Sourcing Operations & Whitehall)","RPSCS003","Band 2 (EO)","20417","28112","Collections Supervisor","1","Operational delivery","/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est.xls","juniorPosts22"
"Cabinet Office","Government Procurement Service","Resources (Finance,IT, Internal Audit, Sourcing Operations & Whitehall)","RPSCS003","Band 2 (EO)","20417","28112","eAuction Executive","1","Operational delivery","/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est.xls","juniorPosts23"
"Cabinet Office","Government Procurement Service","Resources (Finance,IT, Internal Audit, Sourcing Operations & Whitehall)","RPSCS003","Band 2 (EO)","20417","28112","Financial Executive","1","Finance","/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est.xls","juniorPosts24"
