"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Dir Sup Team","CCIDDIRB201","AO - Administration","16603","19473","AO - Administration","0.97","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts2"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Dir Sup Team","CCIDDIRB201","AO - Office Services","16603","19473","AO - Office Services","0.86","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts3"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Dir Sup Team","CCIDDIRB201","EO - Administration","22187","27288","EO - Administration","3.65","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts4"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Dir Sup Team","CCIDDIRB201","Grade 7 - Administration","45722","54695","Grade 7 - Administration","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts5"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Dir Sup Team","CCIDDIRB201","HEO - Administration","27113","32937","HEO - Administration","1.73","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts6"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Wrk Env Rad&Gas","CCIDERGB101","AO - Administration","16603","19473","AO - Administration","0.81","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts7"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Wrk Env Rad&Gas","CCIDERGB101","EO - Administration","22187","27288","EO - Administration","3.66","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts8"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Wrk Env Rad&Gas","CCIDERGB101","Grade 6 - Administration","56035","66835","Grade 6 - Administration","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts9"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Wrk Env Rad&Gas","CCIDERGB101","Grade 6 - Spec Microbiologist","56035","66835","Grade 6 - Spec Microbiologist","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts10"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Wrk Env Rad&Gas","CCIDERGB101","Grade 7 - Administration","45722","54695","Grade 7 - Administration","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts11"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Wrk Env Rad&Gas","CCIDERGB101","Grade 7 - Factories","45722","54695","Grade 7 - Factories","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts12"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Wrk Env Rad&Gas","CCIDERGB101","Grade 7 - Scientific","45722","54695","Grade 7 - Scientific","2","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts13"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Wrk Env Rad&Gas","CCIDERGB101","Grade 7 - Spec Explosives","45722","54695","Grade 7 - Spec Explosives","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts14"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Wrk Env Rad&Gas","CCIDERGB101","Grade 7 - Spec Microbiologist","45722","54695","Grade 7 - Spec Microbiologist","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts15"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Wrk Env Rad&Gas","CCIDERGB101","HEO - Administration","27113","32937","HEO - Administration","12.95","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts16"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Wrk Env Rad&Gas","CCIDERGB101","HEO - Information","27113","32937","HEO - Information","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts17"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Wrk Env Rad&Gas","CCIDERGB101","HEO - Scientific","27113","32937","HEO - Scientific","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts18"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Wrk Env Rad&Gas","CCIDERGB101","SEO - Administration","33638","42073","SEO - Administration","5","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts19"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Wrk Env Rad&Gas","CCIDERGB101","SEO - Factories","33638","42073","SEO - Factories","1.66","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts20"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Wrk Env Rad&Gas","CCIDERGB101","SEO - Information","33638","42073","SEO - Information","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts21"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - LngLat Hlth Rsk","CCIDLLHB101","EO - Administration","22187","27288","EO - Administration","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts22"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - LngLat Hlth Rsk","CCIDLLHB101","EO - Typing/Secretarial","22187","27288","EO - Typing/Secretarial","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts23"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - LngLat Hlth Rsk","CCIDLLHB101","Grade 7 - Administration","45722","54695","Grade 7 - Administration","2","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts24"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - LngLat Hlth Rsk","CCIDLLHB101","Grade 7 - Factories","45722","54695","Grade 7 - Factories","3","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts25"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - LngLat Hlth Rsk","CCIDLLHB101","Grade 7 - Scientific","45722","54695","Grade 7 - Scientific","1.81","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts26"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - LngLat Hlth Rsk","CCIDLLHB101","HEO - Administration","27113","32937","HEO - Administration","12.47","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts27"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Strtgc Intvntns","CCIDLLHB101","HEO - Administration","27113","32937","HEO - Administration","2.81","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts28"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - LngLat Hlth Rsk","CCIDLLHB101","HEO - Scientific","27113","32937","HEO - Scientific","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts29"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - LngLat Hlth Rsk","CCIDLLHB101","SEO - Administration","33638","42073","SEO - Administration","7","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts30"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Strtgc Intvntns","CCIDLLHB101","SEO - Administration","33638","42073","SEO - Administration","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts31"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - LngLat Hlth Rsk","CCIDLLHB101","SEO - Factories","33638","42073","SEO - Factories","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts32"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Strtgc Intvntns","CCIDLLHB101","SEO - Factories","33638","42073","SEO - Factories","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts33"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - LngLat Hlth Rsk","CCIDLLHB101","SEO - Scientific","33638","42073","SEO - Scientific","5.44","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts34"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Strtgc Intvntns","CCIDSIDB101","EO - Administration","22187","27288","EO - Administration","3.86","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts35"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Strtgc Intvntns","CCIDSIDB101","Grade 6 - Administration","56035","66835","Grade 6 - Administration","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts36"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Strtgc Intvntns","CCIDSIDB101","Grade 7 - Administration","45722","54695","Grade 7 - Administration","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts37"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Strtgc Intvntns","CCIDSIDB101","Grade 7 - Factories","45722","54695","Grade 7 - Factories","2","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts38"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Strtgc Intvntns","CCIDSIDB101","Grade 7 - Scientific","45722","54695","Grade 7 - Scientific","1.81","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts39"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Strtgc Intvntns","CCIDSIDB101","Grade 7 - Spec Noise/Vibration","45722","54695","Grade 7 - Spec Noise/Vibration","1","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts40"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Strtgc Intvntns","CCIDSIDB101","HEO - Administration","27113","32937","HEO - Administration","12.73","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts41"
"Department for Work and Pensions","Health and Safety Executive","Cross Cutting Interventions - Strtgc Intvntns","CCIDSIDB101","SEO - Administration","33638","42073","SEO - Administration","4.76","Policy","/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls","juniorPosts42"
