"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department of Health","Health Protection Agency","Health Protection Services","A1331764","AFC 1 - AFC 5","13903","27625","Administrator","22.11","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts2"
"Department of Health","Health Protection Agency","Health Protection Services","A1331764","AFC 1 - AFC 7","13903","40157","Health Protection Nurse","5.6","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts3"
"Department of Health","Health Protection Agency","Health Protection Services","A1331764","AFC 1 - AFC 7","13903","40157","Senior Administrator","11.12","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts4"
"Department of Health","Health Protection Agency","Health Protection Services","A1331764","AFC 1 - AFC 7","13903","40157","Scientist","5.21","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts5"
"Department of Health","Health Protection Agency","Health Protection Services","A1331764","AFC 8A- AFC 8B","38851","55945","Health Protection Senior Nurse","8.2","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts6"
"Department of Health","Health Protection Agency","Health Protection Services","A1331764","AFC 8A- AFC 8B","38851","55945","Operational Professional Specialist","7","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts7"
"Department of Health","Health Protection Agency","Health Protection Services","A1331764","AFC 1 - AFC 7","13903","40157","Medical Doctor","19.3","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts8"
"Department of Health","Health Protection Agency","Health Protection Services","1332520","AFC 1 - AFC 5","13903","27625","Administrator","23.73","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts9"
"Department of Health","Health Protection Agency","Health Protection Services","1332520","AFC 1 - AFC 7","13903","40157","Health Protection Nurse","13.3","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts10"
"Department of Health","Health Protection Agency","Health Protection Services","1332520","AFC 1 - AFC 7","13903","40157","Scientist","6","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts11"
"Department of Health","Health Protection Agency","Health Protection Services","1332520","AFC 1 - AFC 7","13903","40157","Senior Administrator","8","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts12"
"Department of Health","Health Protection Agency","Health Protection Services","1332520","AFC 8A- AFC 8B","38851","55945","Health Protection Senior Nurse","16.61","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts13"
"Department of Health","Health Protection Agency","Health Protection Services","1332520","AFC 8A - AFC 8C","38851","67134","Operational Professional Specialist","5.9","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts14"
"Department of Health","Health Protection Agency","Health Protection Services","1332520","MEDICAL","30000","100446","Medical Doctor","26.7","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts15"
"Department of Health","Health Protection Agency","Health Protection Services","1332570","AFC 1 - AFC 5","13903","27625","Administrator","12.4","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts16"
"Department of Health","Health Protection Agency","Health Protection Services","1332570","AFC 1 - AFC 7","13903","40157","Health Protection Nurse","5.4","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts17"
"Department of Health","Health Protection Agency","Health Protection Services","1332570","AFC 8A- AFC 8B","38851","55945","Operational Professional Specialist","6","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts18"
"Department of Health","Health Protection Agency","Health Protection Services","1332570","AFC 8A- AFC 8B","38851","55945","Health Protection Senior Nurse","10","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts19"
"Department of Health","Health Protection Agency","Health Protection Services","1332570","MEDICAL","30000","100446","Medical Doctor","15.6","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts20"
"Department of Health","Health Protection Agency","Health Protection Services","1332810","AFC 1 - AFC 7","13903","40157","Communications Support Assistants","7.18","Communications","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts21"
"Department of Health","Health Protection Agency","Communications Division","1332810","AFC 1 - AFC 7","13903","40157","Communications Specialist","27.79","Communications","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts22"
"Department of Health","Health Protection Agency","Communications Division","1332810","AFC 8A - AFC 8C","38851","67134","Communications Specialist","6","Communications","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts23"
"Department of Health","Health Protection Agency","Communications Division","1332810","AFC 8A - AFC 8C","38851","67134","Senior Communications Manager","15.27","Communications","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts24"
"Department of Health","Health Protection Agency","Communications Division","1333082","AFC 1 - AFC 5","13903","27625","Administrator","1","Finance","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts25"
"Department of Health","Health Protection Agency","Finance and Resources Division","1333082","AFC 8A - AFC 8C","38851","67134","Operational Professional Specialist","2","Finance","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts26"
"Department of Health","Health Protection Agency","Finance and Resources Division","1333093","AFC 1 - AFC 5","13903","27625","Administrator","22.3","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts27"
"Department of Health","Health Protection Agency","Health Protection Services","1333093","AFC 1 - AFC 7","13903","40157","Health Protection Nurse","6","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts28"
"Department of Health","Health Protection Agency","Health Protection Services","1333093","AFC 1 - AFC 7","13903","40157","Senior Administrator","9.87","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts29"
"Department of Health","Health Protection Agency","Health Protection Services","1333093","AFC 8A - AFC 8C","38851","67134","Health Protection Senior Nurse","7","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts30"
"Department of Health","Health Protection Agency","Health Protection Services","1333093","AFC 8A - AFC 8C","38851","67134","Operational Professional Specialist","7","Operational Delivery","/data/hpa/2011-03-31/final-25-May-2011-V1.xls","juniorPosts31"
