"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Admin Assistant","14255","19965","administrative Assistant","1.81","Operational Delivery","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","juniorPosts2"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Assistant Officer","17330","23892","Assistant Officer","9.81","Operational Delivery","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","juniorPosts3"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Assistant Officer","17330","23892","Officer","5","Operational Delivery","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","juniorPosts4"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Grade 6","57573","74209","Grade 6","1","Operational Delivery","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","juniorPosts5"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Grade 7","46983","61590","Adjudication Manager","1","Operational Delivery","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","juniorPosts6"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Grade 7","46983","61590","Team Leader","0.95","Operational Delivery","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","juniorPosts7"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Higher Officer","28636","37105","BAU Review Team Leader","1","Operational Delivery","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","juniorPosts8"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Higher Officer","28636","37105","Higher Officer","22.81","Operational Delivery","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","juniorPosts9"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Higher Officer","28636","37105","Team Leader","1","Operational Delivery","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","juniorPosts10"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Officer","22669","30331","Officer","10","Operational Delivery","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","juniorPosts11"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Adjudicator's Office","IC5","Senior Officer","35232","42856","Senior Officer","2","Operational Delivery","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","juniorPosts12"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Admin Assistant","14255","19965","administrative Assistant","1","Operational Delivery","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","juniorPosts13"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Assistant Officer","17330","23892","Assistant Officer","4.27","Operational Delivery","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","juniorPosts14"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Grade 6","57573","74209","Executive Assistant","1","Operational Delivery","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","juniorPosts15"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Grade 6","57573","74209","Grade 6","4","Operational Delivery","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","juniorPosts16"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Benefits & Credits","BC1","Grade 7","46983","61590","Grade 6 (TP)","1","Operational Delivery","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","juniorPosts17"
