"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Education and Participation","90284","4","17426","20002","Administrator","2","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts2"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Education and Participation","90284","5","19546","22478","Administrator","1","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts3"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","4","17426","20002","Administrator","8.67","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts4"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","5","19546","22478","Administrator","0.5","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts5"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","6","22507","25884","Administrator","1","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts6"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Research, Innovation and Skills","90250","4","17426","20002","Administrator","4","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts7"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Research, Innovation and Skills","90250","5","19546","22478","Administrator","1","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts8"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","6","22507","25884","Analyst","3","statisticians","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts9"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","7","26062","29971","Analyst","12.65","statisticians","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts10"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","8","31984","36781","Analyst","5.14","statisticians","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts11"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","4","17426","20002","Assistant Analyst","3","statisticians","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts12"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Education and Participation","90284","12","77959","85792","Associate Director","1","Policy","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts13"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","12","77959","85792","Associate Director","1","Policy","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts14"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Research, Innovation and Skills","90250","12","77959","85792","Associate Director","1","Policy","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts15"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","8","31984","36781","Assurance Adviser","5","Finance","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts16"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","10","50936","58577","Assurance Consultant","6","Finance","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts17"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","8","31984","36781","Board Secretariat","1","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts18"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","9","41461","47681","Board Secretariat","1","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts19"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","9","41461","47681","Communications Manager","2.92","Communications","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts20"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","5","19546","22478","Communications Support Officer","0.61","Communications","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts21"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","6","22507","25884","Communications Support Officer","1","Communications","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts22"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","7","26062","29971","Communications Support Officer","2.81","Communications","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts23"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","8","31984","36781","Communications Support Officer","1","Communications","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts24"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","6","22507","25884","Corporate Services Support Officer","1","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts25"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Education and Participation","90284","7","26062","29971","Executive Assistant","1","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts26"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","7","26062","29971","Executive Assistant","2.9","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts27"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Research, Innovation and Skills","90250","7","26062","29971","Executive Assistant","0.76","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts28"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Education and Participation","90284","8","31984","36781","Finance Officer","1","Finance","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts29"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","8","31984","36781","Finance Officer","3","Finance","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts30"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","9","41461","47681","Finance Officer","0.65","Finance","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts31"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","5","19546","22478","Finance Support Officer","0.84","Finance","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts32"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","6","22507","25884","Finance Support Officer","1.95","Finance","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts33"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","7","26062","29971","Finance Support Officer","2","Finance","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts34"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Education and Participation","90284","6","22507","25884","HE Policy Adviser","5.55","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts35"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Education and Participation","90284","7","26062","29971","HE Policy Adviser","4.85","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts36"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Education and Participation","90284","8","31984","36781","HE Policy Adviser","8.73","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts37"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","6","22507","25884","HE Policy Adviser","4.64","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts38"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","7","26062","29971","HE Policy Adviser","5.15","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts39"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","8","31984","36781","HE Policy Adviser","4.99","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts40"
