"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Transport","Highways Agency","HA Network Services","10","2N","17260","18314","Administrator","1","Operational Delivery","/data/dft/2011-03-31/Final-HA-Transparency-Return-26-May-2011.xls","juniorPosts2"
"Department for Transport","Highways Agency","HA Network Services","10","3N","20432","22779","Executive Officer","7","Operational Delivery","/data/dft/2011-03-31/Final-HA-Transparency-Return-26-May-2011.xls","juniorPosts3"
"Department for Transport","Highways Agency","HA Network Services","10","4N","25305","28209","Higher Executive Officer","4","Operational Delivery","/data/dft/2011-03-31/Final-HA-Transparency-Return-26-May-2011.xls","juniorPosts4"
"Department for Transport","Highways Agency","HA Network Services","10","5N","30242","34730","Higher Executive Officer","6","Operational Delivery","/data/dft/2011-03-31/Final-HA-Transparency-Return-26-May-2011.xls","juniorPosts5"
"Department for Transport","Highways Agency","HA Network Services","10","6N","37430","42952","Senior Executive Officer","24","Operational Delivery","/data/dft/2011-03-31/Final-HA-Transparency-Return-26-May-2011.xls","juniorPosts6"
"Department for Transport","Highways Agency","HA Network Services","10","7N","43412","52367","GRADE 7","13","Operational Delivery","/data/dft/2011-03-31/Final-HA-Transparency-Return-26-May-2011.xls","juniorPosts7"
"Department for Transport","Highways Agency","HA Network Services","10","8N","52813","63174","Grade 6","3","Operational Delivery","/data/dft/2011-03-31/Final-HA-Transparency-Return-26-May-2011.xls","juniorPosts8"
"Department for Transport","Highways Agency","HA Network Services","10","2L","20982","22265","Administrator","1","Operational Delivery","/data/dft/2011-03-31/Final-HA-Transparency-Return-26-May-2011.xls","juniorPosts9"
"Department for Transport","Highways Agency","HA Network Services","10","3L","24729","27568","Executive Officer","2","Operational Delivery","/data/dft/2011-03-31/Final-HA-Transparency-Return-26-May-2011.xls","juniorPosts10"
"Department for Transport","Highways Agency","HA Network Services","10","4L","28368","31613","Higher Executive Officer","2","Operational Delivery","/data/dft/2011-03-31/Final-HA-Transparency-Return-26-May-2011.xls","juniorPosts11"
"Department for Transport","Highways Agency","HA Network Services","10","5L","33456","38420","Higher Executive Officer","2","Operational Delivery","/data/dft/2011-03-31/Final-HA-Transparency-Return-26-May-2011.xls","juniorPosts12"
"Department for Transport","Highways Agency","HA Network Services","10","6L","42396","48688","Senior Executive Officer","1","Operational Delivery","/data/dft/2011-03-31/Final-HA-Transparency-Return-26-May-2011.xls","juniorPosts13"
