"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Attorney General's Office","HM Crown Prosecution Service Inspectorate","Corporate Services","HM2","SEO","34470","38784","Operational Manager","0.69","Operational delivery","/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls","juniorPosts2"
"Attorney General's Office","HM Crown Prosecution Service Inspectorate","Corporate Services","HM2","HEO","28180","31714","Operational Manager","2","Operational delivery","/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls","juniorPosts3"
"Attorney General's Office","HM Crown Prosecution Service Inspectorate","Corporate Services","HM2","EO","23890","26874","Operational Manager","3","Operational delivery","/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls","juniorPosts4"
"Attorney General's Office","HM Crown Prosecution Service Inspectorate","Corporate Services","HM2","AO","20030","21541","Operations Support Officer","2","Operational delivery","/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls","juniorPosts5"
"Attorney General's Office","HM Crown Prosecution Service Inspectorate","Corporate Services","HM2","PS","22560","24260","Operations Support Officer","1","Operational delivery","/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls","juniorPosts6"
"Attorney General's Office","HM Crown Prosecution Service Inspectorate","Audit & Research","HM2","G6","58600","68881","Senior policy adviser","1","Policy","/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls","juniorPosts7"
"Attorney General's Office","HM Crown Prosecution Service Inspectorate","Audit & Research","HM2","HEO","28180","31714","Policy Adviser","2","Policy","/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls","juniorPosts8"
"Attorney General's Office","HM Crown Prosecution Service Inspectorate","HM Inspectors: Business Management","HM2","G6","58600","68881","Senior policy adviser","2","Policy","/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls","juniorPosts9"
"Attorney General's Office","HM Crown Prosecution Service Inspectorate","HM Inspectors: Business Management","HM2","G7","46620","54802","Policy Adviser","1","Policy","/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls","juniorPosts10"
"Attorney General's Office","HM Crown Prosecution Service Inspectorate","HM Inspectors: Legal","HM2","G6","58600","68881","Senior policy adviser","4","Policy","/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls","juniorPosts11"
"Attorney General's Office","HM Crown Prosecution Service Inspectorate","Inspection Development","HM2","G6","58600","68881","Senior policy adviser","1","Policy","/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls","juniorPosts12"
"Attorney General's Office","HM Crown Prosecution Service Inspectorate","Inspection Development","HM2","G7","46620","54802","Policy Adviser","2","Policy","/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls","juniorPosts13"
"Attorney General's Office","HM Crown Prosecution Service Inspectorate","Joint Inspection","HM2","G6","58600","68881","Senior policy adviser","1","Policy","/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls","juniorPosts14"
"Attorney General's Office","HM Crown Prosecution Service Inspectorate","Prosecution & Legal Practice","HM2","G6","58600","68881","Senior policy adviser","1","Policy","/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls","juniorPosts15"
"Attorney General's Office","HM Crown Prosecution Service Inspectorate","Prosecution & Legal Practice","HM2","G7","46620","54802","Policy Adviser","8","Policy","/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls","juniorPosts16"
"Attorney General's Office","HM Crown Prosecution Service Inspectorate","Inspection Support","HM2","G7","46620","54802","Operational Manager","1","Operational delivery","/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls","juniorPosts17"
"Attorney General's Office","HM Crown Prosecution Service Inspectorate","Inspection Support","HM2","PS","22560","24260","Operations Support Officer","2","Operational delivery","/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls","juniorPosts18"
