"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Home Office","HM Inspectorate of Constabulary","Chief Inspector of Constabulary","1HMIC01","AIC","95000","135660","senior operational manager","2","Operational Delivery","/data/homeoffice/2011-03-31/HMInspectorateofConstabulary_organogramdata_310311.xls","juniorPosts2"
"Home Office","HM Inspectorate of Constabulary","Chief Inspector of Constabulary","1HMIC01","Grade 7","44656","55264","Inspection Officer","3","Operational Delivery","/data/homeoffice/2011-03-31/HMInspectorateofConstabulary_organogramdata_310311.xls","juniorPosts3"
"Home Office","HM Inspectorate of Constabulary","Chief Inspector of Constabulary","1HMIC01","SEO","32602","37964","Inspection Officer","1","Operational Delivery","/data/homeoffice/2011-03-31/HMInspectorateofConstabulary_organogramdata_310311.xls","juniorPosts4"
"Home Office","HM Inspectorate of Constabulary","Chief Inspector of Constabulary","1HMIC01","HEO Auditor","26614","30989","Inspection Officer","2","Operational Delivery","/data/homeoffice/2011-03-31/HMInspectorateofConstabulary_organogramdata_310311.xls","juniorPosts5"
"Home Office","HM Inspectorate of Constabulary","Chief Inspector of Constabulary","1HMIC01","Supt","62298","72585","Lead Inspection Officer","4","Operational Delivery","/data/homeoffice/2011-03-31/HMInspectorateofConstabulary_organogramdata_310311.xls","juniorPosts6"
"Home Office","HM Inspectorate of Constabulary","Chief Inspector of Constabulary","1HMIC01","Chief Inspector","51789","53919","Inspection Officer","2","Operational Delivery","/data/homeoffice/2011-03-31/HMInspectorateofConstabulary_organogramdata_310311.xls","juniorPosts7"
"Home Office","HM Inspectorate of Constabulary","Northern Region","1HMIC02","Grade 7","44656","55264","Inspection Officer","2","Operational Delivery","/data/homeoffice/2011-03-31/HMInspectorateofConstabulary_organogramdata_310311.xls","juniorPosts8"
"Home Office","HM Inspectorate of Constabulary","Northern Region","1HMIC02","HEO","25297","29757","Analyst","1","Knowledge and Information Management (KIM)","/data/homeoffice/2011-03-31/HMInspectorateofConstabulary_organogramdata_310311.xls","juniorPosts9"
"Home Office","HM Inspectorate of Constabulary","Northern Region","1HMIC02","SPS","20753","24662","Executive Assistant","1","Operational Delivery","/data/homeoffice/2011-03-31/HMInspectorateofConstabulary_organogramdata_310311.xls","juniorPosts10"
"Home Office","HM Inspectorate of Constabulary","Northern Region","1HMIC02","SGB1","16518","18657","Driver","1","Operational Delivery","/data/homeoffice/2011-03-31/HMInspectorateofConstabulary_organogramdata_310311.xls","juniorPosts11"
