"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Justice","HM Inspectorate of Prisons","HM Inspectorate of Prisons","89","Band A","42034","67969","Inspection Team Leader","6","Operational delivery","/data/justice/2011-09-30/HMI-Prison-Organogram-transparency-300911.xls","juniorPosts2"
"Ministry of Justice","HM Inspectorate of Prisons","HM Inspectorate of Prisons","89","Band A","42034","67969","Head of Healthcare Inspection","1","Operational delivery","/data/justice/2011-09-30/HMI-Prison-Organogram-transparency-300911.xls","juniorPosts3"
"Ministry of Justice","HM Inspectorate of Prisons","HM Inspectorate of Prisons","89","Band A","42034","67969","Head of Research, Develoment and Thematics","1","Operational Research","/data/justice/2011-09-30/HMI-Prison-Organogram-transparency-300911.xls","juniorPosts4"
"Ministry of Justice","HM Inspectorate of Prisons","HM Inspectorate of Prisons","89","Band A","42034","67969","Head of Finance, HR and Inspection Support","1","Human resources","/data/justice/2011-09-30/HMI-Prison-Organogram-transparency-300911.xls","juniorPosts5"
"Ministry of Justice","HM Inspectorate of Prisons","HM Inspectorate of Prisons","89","Band A","42034","67969","Press & Media Relations Manager","1","Communications","/data/justice/2011-09-30/HMI-Prison-Organogram-transparency-300911.xls","juniorPosts6"
"Ministry of Justice","HM Inspectorate of Prisons","HM Inspectorate of Prisons","89","Band A","42034","67969","Inspector","35","Operational delivery","/data/justice/2011-09-30/HMI-Prison-Organogram-transparency-300911.xls","juniorPosts7"
"Ministry of Justice","HM Inspectorate of Prisons","HM Inspectorate of Prisons","89","Band B","29634","44964","Senior Analyst","2","Operational Research","/data/justice/2011-09-30/HMI-Prison-Organogram-transparency-300911.xls","juniorPosts8"
"Ministry of Justice","HM Inspectorate of Prisons","HM Inspectorate of Prisons","89","Band B","29634","44964","Senior Policy Officer","1","Policy","/data/justice/2011-09-30/HMI-Prison-Organogram-transparency-300911.xls","juniorPosts9"
"Ministry of Justice","HM Inspectorate of Prisons","HM Inspectorate of Prisons","89","Band B","29634","44964","Publications Manager","1","Communications","/data/justice/2011-09-30/HMI-Prison-Organogram-transparency-300911.xls","juniorPosts10"
"Ministry of Justice","HM Inspectorate of Prisons","HM Inspectorate of Prisons","89","Band C","21096","36061","Inspection Support Manager","1","Operational delivery","/data/justice/2011-09-30/HMI-Prison-Organogram-transparency-300911.xls","juniorPosts11"
"Ministry of Justice","HM Inspectorate of Prisons","HM Inspectorate of Prisons","89","Band C","21096","36061","Analyst","7","Operational Research","/data/justice/2011-09-30/HMI-Prison-Organogram-transparency-300911.xls","juniorPosts12"
"Ministry of Justice","HM Inspectorate of Prisons","HM Inspectorate of Prisons","89","Band D","17513","28000","Senior Personal Secretary","1","Operational delivery","/data/justice/2011-09-30/HMI-Prison-Organogram-transparency-300911.xls","juniorPosts13"
"Ministry of Justice","HM Inspectorate of Prisons","HM Inspectorate of Prisons","89","Band E","15935","22250","Personal Secretary","1","Operational delivery","/data/justice/2011-09-30/HMI-Prison-Organogram-transparency-300911.xls","juniorPosts14"
"Ministry of Justice","HM Inspectorate of Prisons","HM Inspectorate of Prisons","89","Band E","15935","22250","Publications Assistant","1","Operational delivery","/data/justice/2011-09-30/HMI-Prison-Organogram-transparency-300911.xls","juniorPosts15"
"Ministry of Justice","HM Inspectorate of Prisons","HM Inspectorate of Prisons","89","Band E","15935","22250","Programme support officer","5","Operational delivery","/data/justice/2011-09-30/HMI-Prison-Organogram-transparency-300911.xls","juniorPosts16"
