"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"HM Treasury","HM Treasury","Alignment Project - Clear Line of Sight","13084","Range B","16063","21663","Treasury Official","0.6","Policy","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts2"
"HM Treasury","HM Treasury","Alignment Project - Clear Line of Sight","13084","Range E","40731","57801","Treasury Official","1","Policy","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts3"
"HM Treasury","HM Treasury","Asset Freezing Unit","10658","Range B","16063","21663","Policy Support Officer","0.61","Policy","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts4"
"HM Treasury","HM Treasury","Asset Freezing Unit","10658","Range C","18358","26720","Policy Support Officer","1","Policy","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts5"
"HM Treasury","HM Treasury","Asset Freezing Unit","10658","Range D","24094","38255","Policy Advisor","1","Economics","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts6"
"HM Treasury","HM Treasury","Asset Freezing Unit","10658","Range D","24094","38255","Policy Advisor","7","Policy","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts7"
"HM Treasury","HM Treasury","Asset Freezing Unit","10658","Range E","40731","57801","Senior Policy Advisor","3","Policy","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts8"
"HM Treasury","HM Treasury","Assurance and Financial Reporting Policy","10977","Range B","16063","21663","Policy Support Officer","1","Policy","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts9"
"HM Treasury","HM Treasury","Assurance and Financial Reporting Policy","10977","Range C","18358","26720","Policy Support Officer","1","Policy","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts10"
"HM Treasury","HM Treasury","Assurance and Financial Reporting Policy","10977","Range D","24094","38255","Policy Advisor","3","Internal Audit","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts11"
"HM Treasury","HM Treasury","Assurance and Financial Reporting Policy","10977","Range E","40731","57801","Senior Policy Advisor","5","Finance","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts12"
"HM Treasury","HM Treasury","Assurance and Financial Reporting Policy","10977","Range E","40731","57801","Senior Policy Advisor","1","Internal Audit","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts13"
"HM Treasury","HM Treasury","Assurance and Financial Reporting Policy","10977","Range E","40731","57801","Senior Policy Advisor","1","Policy","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts14"
"HM Treasury","HM Treasury","Banking & Credit","10817","Range B","16063","21663","Policy Support Officer","1","Policy","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts15"
"HM Treasury","HM Treasury","Banking & Credit","10817","Range C","18358","26720","Policy Support Officer","2","Policy","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts16"
"HM Treasury","HM Treasury","Banking & Credit","10817","Range D","24094","38255","Policy Advisor","3","Economics","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts17"
"HM Treasury","HM Treasury","Banking & Credit","10817","Range D","24094","38255","Policy Advisor","4","Policy","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts18"
"HM Treasury","HM Treasury","Banking & Credit","10817","Range D","24094","38255","Policy Advisor","1","Economics","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts19"
"HM Treasury","HM Treasury","Banking & Credit","10817","Range E","40731","57801","Senior Policy Advisor","6.6","Policy","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts20"
"HM Treasury","HM Treasury","Banking & Credit","10817","Student","18116","18116","Student","1","Policy","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts21"
"HM Treasury","HM Treasury","Banking & Financial Sector Analysis","15784","Range D","24094","38255","Policy Advisor","3","Economics","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts22"
"HM Treasury","HM Treasury","Banking & Financial Sector Analysis","15784","Range D","24094","38255","Policy Advisor","4","Policy","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","juniorPosts23"
