"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Communities and Local Government","Homes and Communities Agency","Midlands","2W0001","Senior Manager","60900","101500","Head of Area","6","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts2"
"Department for Communities and Local Government","Homes and Communities Agency","Midlands","2W0001","Manager","40600","71050","Area Manager","13","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts3"
"Department for Communities and Local Government","Homes and Communities Agency","Midlands","2W0001","Professional/Technical","30450","50750","Programme Manager","40.24","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts4"
"Department for Communities and Local Government","Homes and Communities Agency","Midlands","2W0001","Key Support","15475","30450","Team Administrator","34.63","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts5"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","2C0001","Senior Manager","60900","101500","Head of Area","5","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts6"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","2C0001","Manager","40600","71050","Area Manager","20.8","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts7"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","2C0001","Professional/Technical","30450","50750","Programme Manager","39.8","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts8"
"Department for Communities and Local Government","Homes and Communities Agency","East and South East","2C0001","Key Support","15475","30450","Team Administrator","43.91","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts9"
"Department for Communities and Local Government","Homes and Communities Agency","London","2G0001","Senior Manager","60900","101500","Head of Area","6","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts10"
"Department for Communities and Local Government","Homes and Communities Agency","London","2G0001","Manager - London","44254","71050","Area Manager","15.2","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts11"
"Department for Communities and Local Government","Homes and Communities Agency","London","2G0001","Professional/Technical - London","34104","54404","Programme Manager","30.22","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts12"
"Department for Communities and Local Government","Homes and Communities Agency","London","2G0001","Key Support - London","18879","36662","Team Administrator","29.62","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts13"
"Department for Communities and Local Government","Homes and Communities Agency","North East and Yorkshire","2P0001","Senior Manager","60900","101500","Head of Area","5","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts14"
"Department for Communities and Local Government","Homes and Communities Agency","North East and Yorkshire","2P0001","Manager","40600","71050","Area Manager","13.77","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts15"
"Department for Communities and Local Government","Homes and Communities Agency","North East and Yorkshire","2P0001","Professional/Technical","30450","50750","Programme Manager","22","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts16"
"Department for Communities and Local Government","Homes and Communities Agency","North East and Yorkshire","2P0001","Key Support","15475","30450","Team Administrator","27.11","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts17"
"Department for Communities and Local Government","Homes and Communities Agency","North West","2K0001","Senior Manager","60900","101500","Head of Area","6","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts18"
"Department for Communities and Local Government","Homes and Communities Agency","North West","2K0001","Manager","40600","71050","Area Manager","11","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts19"
"Department for Communities and Local Government","Homes and Communities Agency","North West","2K0001","Professional/Technical","30450","50750","Programme Manager","15.6","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts20"
"Department for Communities and Local Government","Homes and Communities Agency","North West","2K0001","Key Support","15475","30450","Team Administrator","22.8","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts21"
"Department for Communities and Local Government","Homes and Communities Agency","South West","2M0001","Senior Manager","60900","101500","Head of Area","5","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts22"
"Department for Communities and Local Government","Homes and Communities Agency","South West","2M0001","Manager","40600","71050","Area Manager","10","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts23"
"Department for Communities and Local Government","Homes and Communities Agency","South West","2M0001","Professional/Technical","30450","50750","Programme Manager","11.97","Programme and Project Management (PPM)","/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls","juniorPosts24"
