"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","Horniman Public Museum & Public Park Trust","Collections Management","1","C","37490","41392","Manager & Specialist","2","Operational Delivery","/data/horniman/2011-03-31/Hornimanstaff-and-salary-data.xls","juniorPosts3"
"Department for Culture, Media and Sport","Horniman Public Museum & Public Park Trust","Collections Management","1","D","30114","33248","Manager & Specialist","4","Operational Delivery","/data/horniman/2011-03-31/Hornimanstaff-and-salary-data.xls","juniorPosts4"
"Department for Culture, Media and Sport","Horniman Public Museum & Public Park Trust","Collections Management","1","E","25203","27826","Manager & Specialist","6","Operational Delivery","/data/horniman/2011-03-31/Hornimanstaff-and-salary-data.xls","juniorPosts5"
"Department for Culture, Media and Sport","Horniman Public Museum & Public Park Trust","Collections Management","1","F","22847","25225","Officer & Technical","3","Operational Delivery","/data/horniman/2011-03-31/Hornimanstaff-and-salary-data.xls","juniorPosts6"
"Department for Culture, Media and Sport","Horniman Public Museum & Public Park Trust","Collections Management","1","G","19752","20946","Officer & Technical","6.6","Operational Delivery","/data/horniman/2011-03-31/Hornimanstaff-and-salary-data.xls","juniorPosts7"
"Department for Culture, Media and Sport","Horniman Public Museum & Public Park Trust","Collections Management","1","H","17694","18762","Support & Manual","1","Operational Delivery","/data/horniman/2011-03-31/Hornimanstaff-and-salary-data.xls","juniorPosts8"
"Department for Culture, Media and Sport","Horniman Public Museum & Public Park Trust","Curatorial & Public Services","1","A","58524","64946","Senior Manager","1","Operational Delivery","/data/horniman/2011-03-31/Hornimanstaff-and-salary-data.xls","juniorPosts9"
"Department for Culture, Media and Sport","Horniman Public Museum & Public Park Trust","Curatorial & Public Services","1","C","37490","41392","Manager & Specialist","3","Operational Delivery","/data/horniman/2011-03-31/Hornimanstaff-and-salary-data.xls","juniorPosts10"
"Department for Culture, Media and Sport","Horniman Public Museum & Public Park Trust","Curatorial & Public Services","1","D","30114","33248","Manager & Specialist","8","Operational Delivery","/data/horniman/2011-03-31/Hornimanstaff-and-salary-data.xls","juniorPosts11"
"Department for Culture, Media and Sport","Horniman Public Museum & Public Park Trust","Curatorial & Public Services","1","E","25203","27826","Manager & Specialist","8.6","Operational Delivery","/data/horniman/2011-03-31/Hornimanstaff-and-salary-data.xls","juniorPosts12"
