"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Chief Executive","1","Administrative staff","administrative-staff","administrative-staff","Senior Executive Assistant","1","Policy","/data/hblb/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts2"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Chief Executive","1","Administrative staff","administrative-staff","administrative-staff","Administrative Secretary","1","Policy","/data/hblb/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts3"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Operations","2","Operations staff","operations-staff","operations-staff","Equine Grants Manager","1","Operational delivery","/data/hblb/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts4"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Operations","2","Operations staff","operations-staff","operations-staff","Operations Executive","1","Operational delivery","/data/hblb/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts5"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Finance","3","IT staff","it-staff","it-staff","IT Manager","1","Information Technology","/data/hblb/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts6"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Finance","3","IT staff","it-staff","it-staff","IT Support Officer","0.6","Information Technology","/data/hblb/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts7"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Finance","3","Finance staff","finance-staff","finance-staff","Finance Manager","1","Finance","/data/hblb/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts8"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Finance","3","Finance staff","finance-staff","finance-staff","Pensions Manager","0.5","Finance","/data/hblb/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts9"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Finance","3","Finance staff","finance-staff","finance-staff","Levy Collection Officer","1","Finance","/data/hblb/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts10"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Finance","3","Finance staff","finance-staff","finance-staff","Racecourse Accounts Administrator","1","Finance","/data/hblb/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts11"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Finance","3","Finance staff","finance-staff","finance-staff","Accounts Assistant","1","Finance","/data/hblb/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls","juniorPosts12"
