"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department of Health","Human Fertilisation and Embryology Authority","Chief Executive's Office","CEO-0-1","Band 5","71440","109750","Head of Department","1","Law","/data/hfea/2011-09-30/2011-11-10-Senior-Staff-salaries-HFEA.xls","juniorPosts2"
"Department of Health","Human Fertilisation and Embryology Authority","Chief Executive's Office","CEO-0-1","Band 4","42970","71440","Head of Department","2","Human resources","/data/hfea/2011-09-30/2011-11-10-Senior-Staff-salaries-HFEA.xls","juniorPosts3"
"Department of Health","Human Fertilisation and Embryology Authority","Chief Executive's Office","CEO-0-1","Band 3","27440","50730","Manager","1","Planning","/data/hfea/2011-09-30/2011-11-10-Senior-Staff-salaries-HFEA.xls","juniorPosts4"
"Department of Health","Human Fertilisation and Embryology Authority","Chief Executive's Office","CEO-0-1","Band 2","19680","37280","Officer","6.13","Human resources","/data/hfea/2011-09-30/2011-11-10-Senior-Staff-salaries-HFEA.xls","juniorPosts5"
"Department of Health","Human Fertilisation and Embryology Authority","Finance and Facilities","FAFIT-D-13","Band 4","42970","71440","Head of Department","5","Information Technology","/data/hfea/2011-09-30/2011-11-10-Senior-Staff-salaries-HFEA.xls","juniorPosts6"
"Department of Health","Human Fertilisation and Embryology Authority","Finance and Facilities","FAFIT-D-13","Band 3","27440","50730","Manager","8","Information Technology","/data/hfea/2011-09-30/2011-11-10-Senior-Staff-salaries-HFEA.xls","juniorPosts7"
"Department of Health","Human Fertilisation and Embryology Authority","Finance and Facilities","FAFIT-D-13","Band 2","19680","37280","Officer","5.69","Finance","/data/hfea/2011-09-30/2011-11-10-Senior-Staff-salaries-HFEA.xls","juniorPosts8"
"Department of Health","Human Fertilisation and Embryology Authority","Finance and Facilities","FAFIT-D-13","Band 1","15020","24330","Assistant","2","Operational delivery","/data/hfea/2011-09-30/2011-11-10-Senior-Staff-salaries-HFEA.xls","juniorPosts9"
"Department of Health","Human Fertilisation and Embryology Authority","Strategy and Information","STIN-D-62","Band 4","42970","71440","Head of Department","3","Policy","/data/hfea/2011-09-30/2011-11-10-Senior-Staff-salaries-HFEA.xls","juniorPosts10"
"Department of Health","Human Fertilisation and Embryology Authority","Strategy and Information","STIN-D-62","Band 3","27440","50730","Manager","9","Policy","/data/hfea/2011-09-30/2011-11-10-Senior-Staff-salaries-HFEA.xls","juniorPosts11"
"Department of Health","Human Fertilisation and Embryology Authority","Strategy and Information","STIN-D-62","Band 2","19680","37280","Officer","10.5","Knowledge and Information Management (KIM)","/data/hfea/2011-09-30/2011-11-10-Senior-Staff-salaries-HFEA.xls","juniorPosts12"
"Department of Health","Human Fertilisation and Embryology Authority","Compliance","COMP-D-37","Band 4","42970","71440","Head of Department","3","Operational delivery","/data/hfea/2011-09-30/2011-11-10-Senior-Staff-salaries-HFEA.xls","juniorPosts13"
"Department of Health","Human Fertilisation and Embryology Authority","Compliance","COMP-D-37","Band 3","27440","50730","Manager","14.5","Operational delivery","/data/hfea/2011-09-30/2011-11-10-Senior-Staff-salaries-HFEA.xls","juniorPosts14"
"Department of Health","Human Fertilisation and Embryology Authority","Compliance","COMP-D-37","Band 2","19680","37280","Officer","4","Operational delivery","/data/hfea/2011-09-30/2011-11-10-Senior-Staff-salaries-HFEA.xls","juniorPosts15"
