"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department of Health","Human Tissue Authority","Chief Executive's Office","1","Band 1","19000","26450","Assistant","3","Operational delivery","/data/hta/2012-09-30/300912-HTA-Organogram-V1.xls","juniorPosts2"
"Department of Health","Human Tissue Authority","Chief Executive's Office","1","Band 2","25000","30600","Senior Assistant","1","Operational delivery","/data/hta/2012-09-30/300912-HTA-Organogram-V1.xls","juniorPosts3"
"Department of Health","Human Tissue Authority","Chief Executive's Office","1","Band 3","30000","33911","Officer","1","Operational delivery","/data/hta/2012-09-30/300912-HTA-Organogram-V1.xls","juniorPosts4"
"Department of Health","Human Tissue Authority","Chief Executive's Office","1","Band 4","37000","48716","Manager","1","Human Resources","/data/hta/2012-09-30/300912-HTA-Organogram-V1.xls","juniorPosts5"
"Department of Health","Human Tissue Authority","Resources directorate","2","Band 4","37000","48716","Manager","1","Finance","/data/hta/2012-09-30/300912-HTA-Organogram-V1.xls","juniorPosts6"
"Department of Health","Human Tissue Authority","Resources directorate","2","Band 5","53000","56999","Head of Team","3","Operational delivery","/data/hta/2012-09-30/300912-HTA-Organogram-V1.xls","juniorPosts7"
"Department of Health","Human Tissue Authority","Communications Directorate","3","Band 3","30000","33911","Officer","1.8","Communications","/data/hta/2012-09-30/300912-HTA-Organogram-V1.xls","juniorPosts8"
"Department of Health","Human Tissue Authority","Communications Directorate","3","Band 5","53000","56999","Head of Team","1","Communications","/data/hta/2012-09-30/300912-HTA-Organogram-V1.xls","juniorPosts9"
"Department of Health","Human Tissue Authority","Strategy & Quality Directorate","4","Band 3","30000","33911","Officer","2","Operational delivery","/data/hta/2012-09-30/300912-HTA-Organogram-V1.xls","juniorPosts10"
"Department of Health","Human Tissue Authority","Strategy & Quality Directorate","4","Band 4","37000","48716","Manager","1","Operational delivery","/data/hta/2012-09-30/300912-HTA-Organogram-V1.xls","juniorPosts11"
"Department of Health","Human Tissue Authority","Strategy & Quality Directorate","4","Band 5","53000","56999","Head of Team","1","Operational delivery","/data/hta/2012-09-30/300912-HTA-Organogram-V1.xls","juniorPosts12"
"Department of Health","Human Tissue Authority","Regulation Directorate","5","Band 3","30000","33911","Officer","3","Operational delivery","/data/hta/2012-09-30/300912-HTA-Organogram-V1.xls","juniorPosts13"
"Department of Health","Human Tissue Authority","Regulation Directorate","5","Band 4","37000","48716","Manager","17","Operational delivery","/data/hta/2012-09-30/300912-HTA-Organogram-V1.xls","juniorPosts14"
"Department of Health","Human Tissue Authority","Regulation Directorate","5","Band 5","53000","56999","Head of Team","3","Operational delivery","/data/hta/2012-09-30/300912-HTA-Organogram-V1.xls","juniorPosts15"
