"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Home Office","Identity & Passport Service","Chief Executive's Office","3IPS01","Grade 7","44656","55264","Chief of Staff","1","Policy","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts2"
"Home Office","Identity & Passport Service","Chief Executive's Office","3IPS01","SEO","32602","37964","Board Secretary","1","Policy","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts3"
"Home Office","Identity & Passport Service","Chief Executive's Office","3IPS01","SEO","32602","37964","Head of Parliamentary and Correspondence Management Team","1","Policy","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts4"
"Home Office","Identity & Passport Service","Chief Executive's Office","3IPS01","HEO","25297","29757","Deputy Head of PCMT","0.83","Policy","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts5"
"Home Office","Identity & Passport Service","Chief Executive's Office","3IPS01","HEO","25297","29757","Senior Executive Assistant","1","Policy","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts6"
"Home Office","Identity & Passport Service","Chief Executive's Office","3IPS01","HEO","25297","29757","Senior FOI and PQ Policy Advisor","1","Policy","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts7"
"Home Office","Identity & Passport Service","Chief Executive's Office","3IPS01","EO","20235","23802","Correspondence Manager","1","Policy","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts8"
"Home Office","Identity & Passport Service","Chief Executive's Office","3IPS01","EO","20235","23802","FOI Practitioner","1","Policy","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts9"
"Home Office","Identity & Passport Service","Chief Executive's Office","3IPS01","EO","20235","23802","Personal Assistant","1","Policy","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts10"
"Home Office","Identity & Passport Service","Finance and Performance","2IPS01","Grade 6","54705","67699","senior finance manager","8","Finance","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts11"
"Home Office","Identity & Passport Service","Finance and Performance","2IPS01","Grade 7","44656","55264","Finance Manager","6.81","Finance","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts12"
"Home Office","Identity & Passport Service","Finance and Performance","2IPS01","SEO","32602","37964","Senior Finance Officer","16.9","Finance","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts13"
"Home Office","Identity & Passport Service","Finance and Performance","2IPS01","HEO","25297","29757","Finance Officer","23.92","Finance","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts14"
"Home Office","Identity & Passport Service","Finance and Performance","2IPS01","EO","20235","23802","Finance Support Officer","18.83","Finance","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts15"
"Home Office","Identity & Passport Service","Finance and Performance","2IPS01","PO3 (AO)","16776","17614","Junior Finance Officer","4.5","Finance","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts16"
"Home Office","Identity & Passport Service","Human Resources","1IPS18","Grade 6","54705","67699","Senior HR Manager","4","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts17"
"Home Office","Identity & Passport Service","Human Resources","1IPS18","Grade 7","44656","55264","HR Manager","11.75","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts18"
"Home Office","Identity & Passport Service","Human Resources","1IPS18","SEO","32602","37964","policy adviser","21.86","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts19"
"Home Office","Identity & Passport Service","Human Resources","1IPS18","HEO","25297","29757","HR Higher Executiver Officer","17.57","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts20"
"Home Office","Identity & Passport Service","Human Resources","1IPS18","EO","20235","23802","HR Executive Officer","31.05","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts21"
"Home Office","Identity & Passport Service","Human Resources","1IPS18","PO3 (AO)","16776","17614","HR Officer","21.35","Human Resources","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts22"
"Home Office","Identity & Passport Service","Corporate Strategy","1IPS05","Grade 6","54705","67699","Senior Strategy & Communication Manager","8","Planning","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts23"
"Home Office","Identity & Passport Service","Corporate Strategy","1IPS05","Grade 7","44656","55264","Strategy & Communication Manager","25","Planning","/data/homeoffice/2011-03-31/government-staff-and-salary-data---March-2011---IPS.xls","juniorPosts24"
