"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 2","16378","34332","Accountant","1","Finance","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts2"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 1","25539","48230","Accountant","2","Finance","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts3"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Head of Department","32127","64500","Accountant","2","Finance","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts4"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 1","25539","48230","Archivist","1","Knowledge and Information Management (KIM)","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts5"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 2","16378","34332","Buyer and Product Developer","1","Operational delivery","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts6"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 1","25539","48230","Buyer and Product Developer","1","Operational delivery","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts7"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 2","16378","34332","Communications support officer","2","Communications","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts8"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 1","25539","48230","Communications Manager","1","Communications","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts9"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 2","16378","34332","Communications support officer","1","Communications","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts10"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 1","25539","48230","Digital Projects Manager","2","Information Technology","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts11"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Director","52630","92908","Director","1","Property and Asset Management","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts12"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 2","16378","34332","Exhibition Officer","1","Operational delivery","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts13"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 3","12011","24461","Finance Support Officer","3","Finance","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts14"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 2","16378","34332","Finance Support Officer","5","Finance","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts15"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Head of Department","32127","64500","Head","5","Information Technology","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts16"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 2","16378","34332","IT Manager","2","Information Technology","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts17"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 1","25539","48230","Knowledge Information Management Support Officer","1","Knowledge and Information Management (KIM)","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts18"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 2","16378","34332","Procurement Support Officer","2","Procurement","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts19"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 3","12011","24461","Retail Assistant","43","Operational delivery","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts20"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 2","16378","34332","Retail Assistant","2","Operational delivery","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts21"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 2","16378","34332","Retail Manager","9","Operational delivery","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts22"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 1","25539","48230","Senior Information Manager","1","Property and Asset Management","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts23"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 1","25539","48230","Technical Adviser","1","Information Technology","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts24"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 3","12011","24461","Technical Adviser","2","Information Technology","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts25"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 3","12011","24461","Visitor Services Assistant","1","Operational delivery","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts26"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 2","16378","34332","Web Manager","1","Information Technology","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts27"
"Department for Culture, Media and Sport","Imperial War Museum","Business and Governance","DBG","Level 1","25539","48230","Web Manager","1","Information Technology","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts28"
"Department for Culture, Media and Sport","Imperial War Museum","Churchill War Rooms/HMSB","DG","Level 1","25539","48230","Business Manager","1","Planning","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts29"
"Department for Culture, Media and Sport","Imperial War Museum","Churchill War Rooms/HMSB","DG","Level 1","25539","48230","Conservation and Collections Care","1","Property and Asset Management","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts30"
"Department for Culture, Media and Sport","Imperial War Museum","Churchill War Rooms/HMSB","DG","Director","52630","92908","Director","1","Operational delivery","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts31"
"Department for Culture, Media and Sport","Imperial War Museum","Churchill War Rooms/HMSB","DG","Level 1","25539","48230","Exhibition Officer","1","Operational delivery","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts32"
"Department for Culture, Media and Sport","Imperial War Museum","Churchill War Rooms/HMSB","DG","Head of Department","32127","64500","Head","1","Operational delivery","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts33"
"Department for Culture, Media and Sport","Imperial War Museum","Churchill War Rooms/HMSB","DG","Level 2","16378","34332","Office Manager","1","Operational delivery","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts34"
"Department for Culture, Media and Sport","Imperial War Museum","Churchill War Rooms/HMSB","DG","Level 1","25539","48230","Operational Manager","1","Operational delivery","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts35"
"Department for Culture, Media and Sport","Imperial War Museum","Churchill War Rooms/HMSB","DG","Level 2","16378","34332","Operational Manager","1","Planning","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts36"
"Department for Culture, Media and Sport","Imperial War Museum","Churchill War Rooms/HMSB","DG","Level 1","25539","48230","Section Head","1","Information Technology","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts37"
"Department for Culture, Media and Sport","Imperial War Museum","Churchill War Rooms/HMSB","DG","Level 2","16378","34332","Technical Adviser","5","Operational delivery","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts38"
"Department for Culture, Media and Sport","Imperial War Museum","Churchill War Rooms/HMSB","DG","Level 2","16378","34332","Visitor Services Assistant","33","Operational delivery","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts39"
"Department for Culture, Media and Sport","Imperial War Museum","Collections and Research","DG","Level 2","16378","34332","Archivist","4","Knowledge and Information Management (KIM)","/data/iwm/2011-09-30/IWM---November-2011.xls","juniorPosts40"
