"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Communities and Local Government","Independent Housing Ombudsman","Housing Ombudsman Service","1","C","51414","64242","Head of Service","1","Operational Delivery","/data/housing-ombudsman/2011-03-31/government-staff-and-salary-data-IHOL---March-2011-(2).xls","juniorPosts2"
"Department for Communities and Local Government","Independent Housing Ombudsman","Housing Ombudsman Service","3","D","42862","55690","Head of Service","1","Operational Delivery","/data/housing-ombudsman/2011-03-31/government-staff-and-salary-data-IHOL---March-2011-(2).xls","juniorPosts3"
"Department for Communities and Local Government","Independent Housing Ombudsman","Housing Ombudsman Service","2","D","42862","55690","Head of Service","1","Operational Delivery","/data/housing-ombudsman/2011-03-31/government-staff-and-salary-data-IHOL---March-2011-(2).xls","juniorPosts4"
"Department for Communities and Local Government","Independent Housing Ombudsman","Housing Ombudsman Service","3","D","42862","55690","Dispute Resolution Manager","3","Operational Delivery","/data/housing-ombudsman/2011-03-31/government-staff-and-salary-data-IHOL---March-2011-(2).xls","juniorPosts5"
"Department for Communities and Local Government","Independent Housing Ombudsman","Housing Ombudsman Service","3","C2","46535","57460","Dispute Resolution Manager","1","Operational Delivery","/data/housing-ombudsman/2011-03-31/government-staff-and-salary-data-IHOL---March-2011-(2).xls","juniorPosts6"
"Department for Communities and Local Government","Independent Housing Ombudsman","Housing Ombudsman Service","3","E","35532","48360","Adjudicator","5.5","Operational Delivery","/data/housing-ombudsman/2011-03-31/government-staff-and-salary-data-IHOL---March-2011-(2).xls","juniorPosts7"
"Department for Communities and Local Government","Independent Housing Ombudsman","Housing Ombudsman Service","4","E","35532","48360","Senior Finance & IT Officer","1","Operational Delivery","/data/housing-ombudsman/2011-03-31/government-staff-and-salary-data-IHOL---March-2011-(2).xls","juniorPosts8"
"Department for Communities and Local Government","Independent Housing Ombudsman","Housing Ombudsman Service","4","E","35532","48360","Planning & Performance Coordinator","1","Operational Delivery","/data/housing-ombudsman/2011-03-31/government-staff-and-salary-data-IHOL---March-2011-(2).xls","juniorPosts9"
"Department for Communities and Local Government","Independent Housing Ombudsman","Housing Ombudsman Service","3","F","29423","41640","Investigator","11","Operational Delivery","/data/housing-ombudsman/2011-03-31/government-staff-and-salary-data-IHOL---March-2011-(2).xls","juniorPosts10"
"Department for Communities and Local Government","Independent Housing Ombudsman","Housing Ombudsman Service","3","C old","34000","45000","Investigator","1","Operational Delivery","/data/housing-ombudsman/2011-03-31/government-staff-and-salary-data-IHOL---March-2011-(2).xls","juniorPosts11"
"Department for Communities and Local Government","Independent Housing Ombudsman","Housing Ombudsman Service","4","F","29423","41640","Finance & IT Officer","1","Operational Delivery","/data/housing-ombudsman/2011-03-31/government-staff-and-salary-data-IHOL---March-2011-(2).xls","juniorPosts12"
"Department for Communities and Local Government","Independent Housing Ombudsman","Housing Ombudsman Service","4","D old","26942","36278","Senior Corporate Services Officer","1","Operational Delivery","/data/housing-ombudsman/2011-03-31/government-staff-and-salary-data-IHOL---March-2011-(2).xls","juniorPosts13"
"Department for Communities and Local Government","Independent Housing Ombudsman","Housing Ombudsman Service","4","G","23315","36143","Corporate Services Officer","1","Operational Delivery","/data/housing-ombudsman/2011-03-31/government-staff-and-salary-data-IHOL---March-2011-(2).xls","juniorPosts14"
"Department for Communities and Local Government","Independent Housing Ombudsman","Housing Ombudsman Service","3","H","16900","26369","Dispute Resolute Support","2","Operational Delivery","/data/housing-ombudsman/2011-03-31/government-staff-and-salary-data-IHOL---March-2011-(2).xls","juniorPosts15"
