"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Work and Pensions","Independent Living Fund","Operations","2","AA","14500","16240","Administrative assistant","1","Operational delivery","/data/ilf/2011-09-30/government-staff-and-salary-data-ILF---30-September-2011.xls","juniorPosts2"
"Department for Work and Pensions","Independent Living Fund","Resources","3","AA","14500","16240","Facilities Assistant","1","Other","/data/ilf/2011-09-30/government-staff-and-salary-data-ILF---30-September-2011.xls","juniorPosts3"
"Department for Work and Pensions","Independent Living Fund","Resources","3","AA","14500","16240","IT User Support Assistant","1","Information Technology","/data/ilf/2011-09-30/government-staff-and-salary-data-ILF---30-September-2011.xls","juniorPosts4"
"Department for Work and Pensions","Independent Living Fund","Operations","2","AA","14500","16240","Service Delivery Assistant","2.65","Operational delivery","/data/ilf/2011-09-30/government-staff-and-salary-data-ILF---30-September-2011.xls","juniorPosts5"
"Department for Work and Pensions","Independent Living Fund","Operations","2","AO","17242","20596","Administrative Officer","0.92","Operational delivery","/data/ilf/2011-09-30/government-staff-and-salary-data-ILF---30-September-2011.xls","juniorPosts6"
"Department for Work and Pensions","Independent Living Fund","Operations","2","AO","17242","20596","Caseworker","39.05","Operational delivery","/data/ilf/2011-09-30/government-staff-and-salary-data-ILF---30-September-2011.xls","juniorPosts7"
"Department for Work and Pensions","Independent Living Fund","Resources","3","AO","17242","20596","Compliance Officer","1","Finance","/data/ilf/2011-09-30/government-staff-and-salary-data-ILF---30-September-2011.xls","juniorPosts8"
"Department for Work and Pensions","Independent Living Fund","Corporate Affairs","1","AO","17242","20596","Diary Secretary to the Chief Executive","1","Other","/data/ilf/2011-09-30/government-staff-and-salary-data-ILF---30-September-2011.xls","juniorPosts9"
"Department for Work and Pensions","Independent Living Fund","Resources","3","AO","17242","20596","Facilities Officer","1","Other","/data/ilf/2011-09-30/government-staff-and-salary-data-ILF---30-September-2011.xls","juniorPosts10"
"Department for Work and Pensions","Independent Living Fund","Resources","3","AO","17242","20596","Finance Officer","0.81","Finance","/data/ilf/2011-09-30/government-staff-and-salary-data-ILF---30-September-2011.xls","juniorPosts11"
"Department for Work and Pensions","Independent Living Fund","Resources","3","AO","17242","20596","Grant Recovery Officer","3.92","Operational delivery","/data/ilf/2011-09-30/government-staff-and-salary-data-ILF---30-September-2011.xls","juniorPosts12"
"Department for Work and Pensions","Independent Living Fund","Resources","3","AO","17242","20596","Human Resources & Payroll Officer","1","Human resources","/data/ilf/2011-09-30/government-staff-and-salary-data-ILF---30-September-2011.xls","juniorPosts13"
"Department for Work and Pensions","Independent Living Fund","Resources","3","AO","17242","20596","IT User Support Officer","1.51","Information Technology","/data/ilf/2011-09-30/government-staff-and-salary-data-ILF---30-September-2011.xls","juniorPosts14"
"Department for Work and Pensions","Independent Living Fund","Resources","3","AO","17242","20596","Learning & Development Officer","2.57","Human resources","/data/ilf/2011-09-30/government-staff-and-salary-data-ILF---30-September-2011.xls","juniorPosts15"
