"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","6","19100","29550","Administration Assistant","2","Operational Delivery","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts2"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","6","19100","29550","Archive And Information Assistant","1","Knowledge and Information Management (KIM)","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts3"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","12","34800","50650","Business Analyst","1","Finance","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts4"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","8","23300","35250","Business And Project Support Officer","1","Human Resources","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts5"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","6","19100","29550","Business Support Assistant","2","Operational Delivery","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts6"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","9","25000","37550","Business Support Officer","1","Operational Delivery","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts7"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","6","19100","29550","Communications Assistant","1","Communications","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts8"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","13","42400","60950","Communications Manager","1","Communications","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts9"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","14","50900","72350","Deputy Head Of Facilities","1","Property and asset management","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts10"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","10","27600","40950","Editorial Web Officer","1","Communications","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts11"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","7","21600","33050","Facilities Administrator","1","Property and asset management","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts12"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","6","19100","29550","Facilities Assistant","2","Property and asset management","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts13"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","10","27600","40950","Facilities Coordinator","4","Property and asset management","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts14"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","10","27600","40950","Facilities Officer","1","Property and asset management","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts15"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","7","21600","33050","Finance Assistant","2","Finance","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts16"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","13","42400","60950","Finance Manager","1","Finance","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts17"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","6","19100","29550","Freedom Of Information Administrator","1","Knowledge and Information Management (KIM)","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts18"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","9","25000","37550","Freedom Of Information Officer","2","Knowledge and Information Management (KIM)","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts19"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","11","30500","44950","Freedom Of Information Team Leader","1","Knowledge and Information Management (KIM)","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts20"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","15","56000","77450","Head of Finance","1","Finance","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts21"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","15","56000","77450","Head of Human Resources","1","Human Resources","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts22"
"Home Office","Independent Police Complaints Commission","Business Services Directorate","110_DCLS1","15","56000","77450","Head Of Ict & Transformation","1","Information Technology","/data/ipcc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011-working.xls","juniorPosts23"
