"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Home Office","Independent Safeguarding Authority","Finance & Corporate Resources","ISA1","Level 1","13685","14743","Mailroom Assistant","1","Finance","/data/isa/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011v.02.2.xls","juniorPosts2"
"Home Office","Independent Safeguarding Authority","Finance & Corporate Resources","ISA1","Level 2","15882","17366","Procurement Administrator","1","Procurement","/data/isa/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011v.02.2.xls","juniorPosts3"
"Home Office","Independent Safeguarding Authority","Finance & Corporate Resources","ISA1","Level 4","25197","29681","Finance Officer","1","Finance","/data/isa/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011v.02.2.xls","juniorPosts4"
"Home Office","Independent Safeguarding Authority","Finance & Corporate Resources","ISA1","Level 4","25197","29681","Procurement Officer","1","Procurement","/data/isa/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011v.02.2.xls","juniorPosts5"
"Home Office","Independent Safeguarding Authority","Finance & Corporate Resources","ISA1","Level 4","25197","29681","IT Support Officer","2","Operational Delivery","/data/isa/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011v.02.2.xls","juniorPosts6"
"Home Office","Independent Safeguarding Authority","Finance & Corporate Resources","ISA1","Level 5","32455","38230","Finance Manager","1","Finance","/data/isa/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011v.02.2.xls","juniorPosts7"
"Home Office","Independent Safeguarding Authority","Finance & Corporate Resources","ISA1","Level 5","32455","38230","Risk Assurance and Business Continuity Manager","1","Internal Audit","/data/isa/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011v.02.2.xls","juniorPosts8"
"Home Office","Independent Safeguarding Authority","Finance & Corporate Resources","ISA1","Level 5","32455","38230","Facilities and Procurement Manager","1","Procurement","/data/isa/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011v.02.2.xls","juniorPosts9"
"Home Office","Independent Safeguarding Authority","Finance & Corporate Resources","ISA1","Level 6","45033","55470","IT Manager","1","Information Technology","/data/isa/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011v.02.2.xls","juniorPosts10"
"Home Office","Independent Safeguarding Authority","Finance & Corporate Resources","ISA1","Level 6","45033","55470","Legal Advisor","1","Law","/data/isa/2011-03-31/Government-staff-and-salary-data-blank-template---March-2011v.02.2.xls","juniorPosts11"
