"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Ministry of Justice","Information Commissioner's Office","Chief Executive","CEO","Band G","44217","59823","Head of Internal Compliance","1","Knowledge and Information Management (KIM)","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts2"
"Ministry of Justice","Information Commissioner's Office","Chief Executive","CEO","Band E","28299","38287","Internal Compliance Manager","2","Knowledge and Information Management (KIM)","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts3"
"Ministry of Justice","Information Commissioner's Office","Chief Executive","CEO","Band D","22330","30211","Lead Internal Compliance Officer","6.6","Knowledge and Information Management (KIM)","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts4"
"Ministry of Justice","Information Commissioner's Office","Chief Executive","CEO","Band C","17687","23929","Internal Compliance Officer","1","Knowledge and Information Management (KIM)","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts5"
"Ministry of Justice","Information Commissioner's Office","Chief Executive","CEO","Band D","22330","30211","Personal Assistant","1","Law","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts6"
"Ministry of Justice","Information Commissioner's Office","Chief Executive","CEO","Band G","44217","59823","Head of IT","1","Information Technology","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts7"
"Ministry of Justice","Information Commissioner's Office","Chief Executive","CEO","Band F","35816","48547","Senior IT manager","1","Information Technology","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts8"
"Ministry of Justice","Information Commissioner's Office","Chief Executive","CEO","Band D","22330","30211","IT Service Manager","0.5","Information Technology","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts9"
"Ministry of Justice","Information Commissioner's Office","Chief Executive","CEO","Band C","17687","23929","IT Service Support","1","Information Technology","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts10"
"Ministry of Justice","Information Commissioner's Office","Chief Executive","CEO","Band E","28299","38287","IT Projects Manager","1","Information Technology","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts11"
"Ministry of Justice","Information Commissioner's Office","Chief Executive","CEO","Band D","22330","30211","IT Development Manager","5","Information Technology","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts12"
"Ministry of Justice","Information Commissioner's Office","Chief Executive","CEO","Band G","44217","59823","Head of Finance","1","Finance","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts13"
"Ministry of Justice","Information Commissioner's Office","Chief Executive","CEO","Band F","35816","48547","Solicitor","2","Law","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts14"
"Ministry of Justice","Information Commissioner's Office","Chief Executive","CEO","Band D","22330","30211","Finance Manager","1","Finance","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts15"
"Ministry of Justice","Information Commissioner's Office","Chief Executive","CEO","Band C","17687","23929","Finance Officer","3","Finance","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts16"
"Ministry of Justice","Information Commissioner's Office","Strategic Liaison","DSL","Band G","44217","59823","Head of Strategic Liaison","1","Policy","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts17"
"Ministry of Justice","Information Commissioner's Office","Strategic Liaison","DSL","Band F","35816","48547","Principal Policy Adviser","1","Policy","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts18"
"Ministry of Justice","Information Commissioner's Office","Strategic Liaison","DSL","Band F","35816","48547","Group Manager","5","Policy","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts19"
"Ministry of Justice","Information Commissioner's Office","Strategic Liaison","DSL","Band E","28299","38287","Senior Policy Officer","7.1","Policy","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts20"
"Ministry of Justice","Information Commissioner's Office","Strategic Liaison","DSL","Band D","22330","30211","Lead Policy Officer","4","Policy","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts21"
"Ministry of Justice","Information Commissioner's Office","Strategic Liaison","DSL","Band C","17687","23929","Policy Officer","2.5","Policy","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts22"
"Ministry of Justice","Information Commissioner's Office","Strategic Liaison","DSL","Band C","17687","23929","Executive Assistant","1","Policy","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts23"
"Ministry of Justice","Information Commissioner's Office","Strategic Liaison","DSL","Band B","14149","19143","Admin Support","1","Policy","/data/justice/2011-09-30/300911-ICO-Organogram-(v0.1).xls","juniorPosts24"
