"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Communities and Local Government","Infrastructure Planning Commission","Chief Executive's Office","11","Gd 7","44000","54000","Head of Commission Support","1","Other","/data/infrastructure/2011-09-30/110930_IPC_Organogram-staff-and-salary-data.xls","juniorPosts2"
"Department for Communities and Local Government","Infrastructure Planning Commission","Chief Executive's Office","11","EO","22500","25000","Personal Assistant","3","Other","/data/infrastructure/2011-09-30/110930_IPC_Organogram-staff-and-salary-data.xls","juniorPosts3"
"Department for Communities and Local Government","Infrastructure Planning Commission","Finance & Corporate Services","12","Gd 7","44000","54000","Head of Finance","1","Finance","/data/infrastructure/2011-09-30/110930_IPC_Organogram-staff-and-salary-data.xls","juniorPosts4"
"Department for Communities and Local Government","Infrastructure Planning Commission","Finance & Corporate Services","12","Gd 7","44000","54000","Head of Human Resources","1","Information Technology","/data/infrastructure/2011-09-30/110930_IPC_Organogram-staff-and-salary-data.xls","juniorPosts5"
"Department for Communities and Local Government","Infrastructure Planning Commission","Finance & Corporate Services","12","Gd 7","44000","54000","Head of ICT","1","Human resources","/data/infrastructure/2011-09-30/110930_IPC_Organogram-staff-and-salary-data.xls","juniorPosts6"
"Department for Communities and Local Government","Infrastructure Planning Commission","Finance & Corporate Services","12","Gd 7","44000","54000","Project Manager","1","Programme and Project Management (PPM)","/data/infrastructure/2011-09-30/110930_IPC_Organogram-staff-and-salary-data.xls","juniorPosts7"
"Department for Communities and Local Government","Infrastructure Planning Commission","Finance & Corporate Services","12","HEO","27000","31500","Finance Officer","1","Finance","/data/infrastructure/2011-09-30/110930_IPC_Organogram-staff-and-salary-data.xls","juniorPosts8"
"Department for Communities and Local Government","Infrastructure Planning Commission","Finance & Corporate Services","12","HEO","27000","31500","HR Officer","1","Human resources","/data/infrastructure/2011-09-30/110930_IPC_Organogram-staff-and-salary-data.xls","juniorPosts9"
"Department for Communities and Local Government","Infrastructure Planning Commission","Finance & Corporate Services","12","HEO","27000","31500","IT Manager","1","Information Technology","/data/infrastructure/2011-09-30/110930_IPC_Organogram-staff-and-salary-data.xls","juniorPosts10"
"Department for Communities and Local Government","Infrastructure Planning Commission","Finance & Corporate Services","12","AO","18000","21000","Finance Officer","1","Finance","/data/infrastructure/2011-09-30/110930_IPC_Organogram-staff-and-salary-data.xls","juniorPosts11"
