"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","AA","14597","14597","administrative Assistant","25.39","Operational Delivery","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts2"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","AO","15637","18117","HR support officer","8.08","Human Resources","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts3"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","AO","15637","18117","Communications Support Officer","1","Communications","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts4"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","AO","15637","18117","IT Support Officer","2.81","Information Technology","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts5"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","AO","15637","18117","Operations Support Officer","7.11","Property and asset management","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts6"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","AO","15637","18117","Operations Support Officer","10.36","Communications","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts7"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","AO","15637","18117","Not In Post","1.81","Operational Delivery","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts8"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","EO","18320","25920","HR Officer","2.86","Human Resources","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts9"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","EO","18320","25920","IT Support Officer","4","Information Technology","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts10"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","EO","18320","25920","Not In Post","1.8","Operational Delivery","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts11"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","EO","18320","25920","Operational manager","5.53","Property and asset management","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts12"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","EO","18320","25920","Operational manager","3.6","Communications","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts13"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","EO","18320","25920","Web Manager","3","Information Technology","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts14"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","EO","18320","25920","Analyst","16","Information Technology","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts15"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","EO","18320","25920","Operational manager","1","Information Technology","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts16"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","HEO","25223","28663","Not In Post","2","Operational Delivery","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts17"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","HEO","25223","28663","Business Manager","0.57","Property and asset management","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts18"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","HEO","25223","28663","Communications Manager","1","Communications","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts19"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","HEO","25223","28663","Executive Assistant","1","Planning","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts20"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","HEO","25223","28663","HR Officer","1.57","Human Resources","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts21"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","HEO","25223","28663","Senior Analyst","39.62","Information Technology","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts22"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","SEO","28855","36527","Business Manager","0.92","Programme and Project Management (PPM)","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts23"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","SEO","28855","36527","Business Manager","1","Communications","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts24"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","SEO","28855","36527","Business Manager","1","Programme and Project Management (PPM)","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts25"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","SEO","28855","36527","Not In Post","2.53","Operational Delivery","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts26"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","SEO","28855","36527","Senior HR Manager","3.65","Human Resources","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts27"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","SEO","28855","36527","Senior IT Manager","13","Information Technology","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts28"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","SEO","28855","36527","Not In Post","0.23","Operational Delivery","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts29"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","Grade 7","42250","53478","Business Manager","1","Property and asset management","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts30"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","3","Grade 7","42250","53478","Not In Post","4","Policy","/data/ipo/2011-03-31/IPO-government-staff-and-salary-template---March-2011.xls","juniorPosts31"
