"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD001","Grade 6","51463","61199","Director of Corporate Services","1","Science & Engineering","/data/jncc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts2"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD001","O","21442","26063","Administrative Officer","2","Science & Engineering","/data/jncc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts3"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD001","AO","16589","19412","administrative Assistant","1","Science & Engineering","/data/jncc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts4"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD001","Grade 7","43268","51454","Head of Resources","1","Finance","/data/jncc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts5"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD001","S","34071","40517","Finance Team Leader","1","Finance","/data/jncc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts6"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD001","H","26533","32073","Finance Adviser","1","Finance","/data/jncc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts7"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD001","O","21442","26063","Finance Officer","2","Finance","/data/jncc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts8"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD001","AO","16589","19412","Administrative Officer","1","Finance","/data/jncc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts9"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD001","S","34071","40517","Communications Manager","1","Communications","/data/jncc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts10"
"Department for Environment, Food and Rural Affairs","Joint Nature Conservation Committee","Directorate","MD001","H","26533","32073","Officer","1","Communications","/data/jncc/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---March-2011.xls","juniorPosts11"
